POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2600,0,34,0,34,..,11,0,13,0,13,..,11,0,19,0,19,..,47,0,50,0,49,..,124,5,132,0,130,..,1314,86,1397,12,1415,..,24,0,25,476,502,6340,1336,90,1428,493,8255
POA2601,0,32,0,32,..,29,12,38,0,38,..,4,0,4,0,4,..,51,0,51,0,51,..,141,0,142,0,143,..,2279,110,2394,10,2402,..,13,4,17,1027,1041,4238,2297,117,2412,1033,7680
POA2602,0,92,0,92,..,69,10,82,0,82,..,23,3,20,0,20,..,372,103,474,8,478,..,1254,142,1398,27,1428,..,5990,736,6723,82,6807,..,147,15,170,1166,1334,26396,6137,752,6887,1248,34540
POA2603,0,37,0,37,..,10,0,14,0,14,..,21,0,19,0,19,..,60,0,64,0,64,..,202,22,229,0,234,..,1983,130,2114,18,2130,..,32,7,36,313,356,7817,2015,133,2151,331,10306
POA2604,3,35,0,35,..,26,3,29,0,29,..,23,0,23,0,19,..,48,14,64,0,68,..,311,26,334,9,344,..,2400,167,2565,28,2597,..,58,4,59,1002,1069,9373,2459,175,2632,1033,13034
POA2605,12,89,3,87,..,16,3,18,0,18,..,0,0,0,0,0,..,39,0,47,0,46,..,403,25,432,5,430,..,2246,183,2429,26,2454,..,42,7,50,360,408,9623,2287,191,2479,389,12488
POA2606,8,121,0,122,..,23,10,27,0,35,..,11,0,10,0,10,..,54,16,68,0,72,..,542,46,588,10,598,..,3730,315,4044,53,4100,..,91,6,95,435,529,7445,3820,326,4142,485,12071
POA2607,13,143,0,143,..,38,6,33,0,36,..,19,4,17,0,17,..,46,5,51,0,51,..,454,44,494,10,503,..,3063,273,3336,24,3357,..,61,4,68,490,558,10798,3123,279,3401,512,14717
POA2609,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,7,0,8,0,8,..,35,4,36,4,43,..,113,12,131,5,133,..,0,0,0,295,300,703,116,12,130,297,1136
POA2611,7,185,0,189,..,87,18,103,0,103,..,28,7,37,0,38,..,154,27,177,0,177,..,1145,115,1263,36,1297,..,7938,731,8667,109,8779,..,120,16,131,1168,1298,26460,8058,745,8806,1272,36535
