POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA2600,88,317,333,1626,13,2377,5,3,3,71,0,82,305,15,23,28,0,371,63,5,4,39,0,111,52,21,15,42,0,130,640,284,284,1830,12,3050,42,0,3,0,0,45,49,10,10,20,0,89,128,23,22,199,0,372,88,25,9,68,0,190,18,5,0,10,0,33,259,14,8,9,0,290,163,79,66,937,0,1245,138,49,14,131,0,332,33,0,8,0,0,41,7,4,0,10,0,21,18,7,0,3,0,28,13,4,5,10,0,32,15,0,0,0,0,15,35,12,9,0,0,56,71,17,5,24,0,117,36,4,4,13,0,57,3,0,0,0,0,3,161,97,65,674,7,1004,27,0,4,0,0,31,37,9,3,3,0,52,36,11,0,0,0,47,30,4,0,0,0,34,63,3,7,4,0,77,36,13,4,42,0,95,732,94,111,119,8,1064,16,0,0,16,462,494,2747,635,578,3806,496,8262
POA2601,61,323,272,1218,8,1882,0,8,7,55,4,74,1347,16,30,21,5,1419,16,0,3,13,0,32,49,25,16,30,0,120,418,283,192,1011,10,1914,46,3,7,0,0,56,32,9,9,11,0,61,68,35,31,134,0,268,18,19,10,43,0,90,8,0,3,12,0,23,317,4,11,0,0,332,110,85,57,490,5,747,50,29,23,105,0,207,126,0,9,0,0,135,15,3,7,10,0,35,5,0,0,7,0,12,4,5,0,10,0,19,4,0,0,0,0,4,23,11,7,3,0,44,26,11,14,23,0,74,22,3,0,10,0,35,3,0,0,0,0,3,123,67,48,360,0,598,4,0,0,0,0,4,31,11,3,5,0,50,24,4,4,3,0,35,32,5,3,4,0,44,68,0,8,0,0,76,27,6,8,20,0,61,754,91,116,103,0,1064,33,0,0,7,1022,1062,3243,587,483,2322,1049,7684
POA2602,331,1704,1396,7738,44,11213,8,42,17,467,8,542,1483,78,146,117,10,1834,240,43,37,118,0,438,253,131,76,264,0,724,2285,1421,1247,7308,47,12308,200,9,53,13,0,275,156,36,32,92,0,316,516,191,134,867,10,1718,249,48,37,193,4,531,83,28,20,49,0,180,710,33,40,30,0,813,545,472,371,3629,19,5036,424,168,94,524,3,1213,184,4,29,3,0,220,25,17,15,39,0,96,47,14,7,16,0,84,52,21,24,59,0,156,42,14,7,9,0,72,124,59,50,29,0,262,208,42,58,132,11,451,102,9,13,50,0,174,40,12,3,3,0,58,634,419,360,2684,17,4114,116,20,13,18,0,167,107,20,18,13,0,158,114,18,6,37,3,178,86,10,12,13,0,121,488,23,30,12,4,557,109,49,38,155,0,351,3698,585,554,716,24,5577,126,19,11,70,1183,1409,11201,3193,2686,16127,1333,34540
POA2603,65,461,393,2104,17,3040,0,8,0,77,0,85,480,25,43,37,0,585,63,11,3,47,0,124,67,27,15,63,0,172,648,442,339,2209,20,3658,62,5,16,11,0,94,68,19,17,24,0,128,147,41,31,246,0,465,119,31,12,83,4,249,31,8,3,12,0,54,294,15,23,10,0,342,154,110,95,1092,0,1451,219,58,26,216,0,519,51,5,6,3,0,65,18,0,0,16,0,34,32,0,5,5,0,42,17,8,7,16,0,48,16,0,6,0,0,22,37,12,11,7,0,67,89,15,18,31,0,153,21,7,0,15,0,43,4,0,0,0,0,4,205,121,87,798,5,1216,34,13,7,9,0,63,25,12,4,3,0,44,36,3,5,0,0,44,56,6,4,9,0,75,77,4,6,0,0,87,30,14,3,40,0,87,1079,143,166,213,6,1607,31,4,6,15,317,373,3506,911,757,4774,362,10310
POA2604,128,548,484,2575,16,3751,5,13,12,199,3,232,476,32,34,33,0,575,73,11,6,38,0,128,78,52,22,77,0,229,827,509,386,2626,21,4369,140,8,20,9,4,181,102,23,21,45,0,191,149,50,54,334,5,592,79,22,15,74,0,190,34,10,8,18,0,70,316,8,12,10,0,346,240,141,124,1307,3,1815,201,60,35,228,0,524,76,0,12,5,0,93,34,7,5,14,0,60,29,0,3,15,0,47,24,10,3,18,0,55,18,5,5,0,0,28,45,21,15,7,0,88,88,28,17,42,0,175,59,5,12,17,0,93,23,0,0,0,0,23,252,147,117,987,3,1506,51,4,0,5,0,60,36,5,5,3,0,49,66,3,14,8,0,91,53,0,6,0,0,59,83,0,4,3,0,90,32,12,8,57,0,109,1363,178,188,197,7,1933,61,4,12,38,1021,1136,4228,1079,917,5734,1073,13031
POA2605,131,529,536,2993,35,4224,0,3,12,115,0,130,378,20,51,34,0,483,67,11,4,36,0,118,83,44,20,75,0,222,823,457,381,2518,28,4207,135,4,21,5,0,165,52,17,16,39,0,124,152,62,46,307,3,570,97,19,7,75,0,198,21,12,6,13,0,52,525,20,13,6,0,564,210,144,111,1335,8,1808,174,56,29,195,5,459,50,3,10,0,0,63,11,3,5,42,0,61,18,5,0,5,0,28,20,7,3,13,0,43,8,0,3,0,0,11,49,15,23,9,0,96,82,18,26,24,0,150,31,0,7,10,0,48,12,3,4,3,0,22,244,126,136,976,8,1490,36,0,4,7,0,47,35,3,13,4,0,55,30,3,0,16,0,49,44,4,4,0,0,52,70,3,9,0,0,82,43,9,14,46,0,112,1299,186,164,196,8,1853,43,3,0,26,384,456,4112,1010,940,5966,461,12489
POA2606,129,399,322,2056,23,2929,3,17,6,157,4,187,618,21,21,21,4,685,77,9,8,42,5,141,66,26,18,63,0,173,668,354,296,2073,15,3406,401,4,31,11,0,447,46,5,5,32,0,88,128,51,36,261,0,476,111,26,18,67,0,222,19,5,6,3,0,33,659,13,7,3,0,682,141,97,64,986,14,1302,149,38,20,176,4,387,97,0,12,0,0,109,20,6,0,6,0,32,23,4,4,10,0,41,19,6,5,18,4,52,16,10,4,4,0,34,27,8,12,8,0,55,66,11,13,35,4,129,18,3,0,4,0,25,8,7,0,0,0,15,198,106,88,719,9,1120,63,4,4,9,0,80,30,13,5,4,0,52,93,10,5,30,0,138,69,4,0,3,0,76,99,7,8,5,0,119,33,18,10,48,0,109,2370,112,109,168,12,2771,73,3,4,16,420,516,5656,784,648,4494,486,12068
POA2607,136,604,532,3114,12,4398,3,14,3,177,3,200,570,27,69,46,0,712,107,18,6,65,0,196,99,45,22,71,0,237,902,510,367,3026,17,4822,183,0,23,11,0,217,52,17,13,37,0,119,180,67,44,345,9,645,137,28,21,92,0,278,46,13,8,30,0,97,651,20,18,4,0,693,217,149,110,1468,9,1953,261,60,43,281,3,648,61,0,13,0,0,74,32,10,3,13,0,58,46,0,4,13,0,63,32,7,0,26,0,65,38,6,3,7,0,54,27,21,14,3,0,65,110,12,11,44,0,177,55,10,4,11,0,80,14,3,0,0,0,17,253,154,116,1052,9,1584,54,14,0,0,0,68,27,4,9,3,0,43,67,9,10,17,3,106,70,7,10,3,0,90,61,0,7,12,0,80,38,15,7,59,0,119,1866,166,154,229,9,2424,53,10,13,30,486,592,5374,1143,929,6723,549,14718
POA2609,14,29,32,233,4,312,3,3,0,24,0,30,16,0,0,0,0,16,0,0,0,6,0,6,4,0,9,4,0,17,64,24,24,208,0,320,30,0,4,0,0,34,0,0,0,0,0,0,9,0,0,24,0,33,8,0,0,4,0,12,0,0,0,0,0,0,9,0,0,0,0,9,4,5,5,92,0,106,11,5,0,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,8,0,4,0,0,12,11,0,0,0,0,11,3,0,0,6,0,9,0,0,4,0,0,4,0,0,0,0,0,0,17,4,3,53,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,74,8,5,17,0,104,0,0,0,4,296,300,251,48,52,483,304,1138
POA2611,376,1475,1276,8541,54,11722,10,22,21,490,9,552,1456,68,122,114,5,1765,246,37,12,131,0,426,221,88,75,222,0,606,2095,1270,976,7351,64,11756,554,13,48,15,0,630,155,40,32,100,4,331,432,142,102,923,10,1609,151,27,17,130,0,325,104,42,9,86,0,241,1865,39,30,30,0,1964,463,335,222,3288,13,4321,398,159,98,540,5,1200,199,10,21,4,0,234,68,25,3,30,0,126,66,11,7,18,0,102,38,24,21,54,0,137,38,20,6,17,0,81,95,53,44,42,0,234,208,57,39,107,0,411,98,15,14,34,0,161,57,0,4,3,0,64,599,397,320,2599,20,3935,113,22,13,32,4,184,94,27,32,8,0,161,148,27,17,56,0,248,176,15,12,22,0,225,226,6,19,13,0,264,108,48,25,154,0,335,4747,417,431,580,28,6203,165,9,4,110,1185,1473,13310,2773,2251,16843,1356,36533
