POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA2600,799,36,20,5,0,0,0,862
POA2601,92,9,0,0,0,0,0,102
POA2602,3322,183,77,17,0,0,11,3605
POA2603,1059,61,21,3,0,0,5,1146
POA2604,991,78,16,0,0,0,0,1086
POA2605,1536,79,24,7,3,0,0,1653
POA2606,1082,64,14,9,0,0,3,1170
POA2607,1678,99,50,14,0,0,9,1850
POA2609,43,5,0,0,0,0,0,52
POA2611,4352,282,118,35,4,0,7,4792
POA2612,1035,63,20,0,0,0,0,1123
POA2614,2201,141,49,19,0,0,9,2424
POA2615,5448,440,253,52,4,3,28,6224
POA2617,3332,221,85,23,0,0,14,3671
POA2618,173,12,4,0,0,0,0,197
POA2900,235,33,6,0,0,0,5,281
POA2902,1599,162,85,16,4,0,9,1878
POA2903,1052,90,62,9,0,0,10,1216
POA2904,1581,126,60,20,0,0,10,1800
POA2905,3307,275,180,31,5,0,17,3821
POA2906,2149,195,123,29,0,0,8,2508
POA2911,701,31,21,5,0,0,4,760
POA2912,856,67,26,13,0,0,0,961
POA2913,5048,325,171,48,7,0,20,5618
POA2914,5030,301,161,37,3,9,16,5558
