POA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2614,27,125,177,122,71,98,147,153,62,979,24,122,257,150,92,127,190,148,59,1162,10,125,350,219,161,181,187,174,53,1449,4,134,324,201,156,169,153,108,28,1279,7,54,354,271,229,164,154,88,24,1336,0,9,226,293,247,178,113,57,9,1127,0,14,344,722,753,387,134,51,11,2421,0,0,52,132,169,94,36,18,0,493,0,5,30,247,329,169,43,16,5,846,29,77,179,112,82,94,84,102,79,847,1085,1236,2865,2893,2664,2117,1905,1569,610,16948
POA2615,80,276,382,288,260,235,392,205,55,2168,77,332,617,519,368,358,386,202,31,2890,35,326,897,700,561,464,389,177,25,3561,5,243,838,793,565,448,314,94,17,3321,6,126,879,891,705,487,254,72,10,3429,0,30,624,822,617,377,137,41,4,2656,0,35,828,1689,1398,661,174,43,6,4833,0,3,88,257,210,139,32,5,0,738,0,3,86,325,294,182,34,17,0,945,95,120,283,257,228,148,133,77,23,1362,2720,2589,6734,7672,6151,4718,4169,2072,481,37301
POA2617,76,425,628,205,124,162,292,148,50,2106,56,462,858,332,173,217,291,141,54,2578,35,446,1294,516,288,277,304,114,31,3309,8,389,1048,446,303,256,261,77,33,2814,4,191,1017,590,332,285,212,64,18,2718,5,72,648,536,371,247,129,28,18,2036,4,64,887,1251,932,550,191,41,14,3931,0,5,96,217,194,116,50,11,4,683,5,8,93,337,308,181,56,24,12,1015,83,225,416,213,148,124,125,84,61,1485,1962,4230,8820,5406,3736,3197,3168,1432,577,32527
POA2618,0,8,6,6,5,9,21,16,3,64,3,9,13,11,12,17,15,7,0,82,0,7,4,19,20,15,26,8,0,105,0,6,12,9,32,15,8,0,0,91,0,8,17,15,22,13,11,8,0,93,0,0,7,19,16,9,6,3,0,62,0,0,13,29,43,31,7,0,0,131,0,0,5,0,14,4,0,0,0,24,0,0,0,21,30,25,9,3,0,93,0,0,6,9,18,12,10,10,0,64,108,66,108,170,239,173,175,94,18,1140
POA2900,6,33,49,18,9,20,23,24,7,192,7,52,130,32,26,29,45,31,8,359,0,66,168,65,32,43,40,24,3,454,0,47,165,54,32,47,30,20,10,392,0,33,150,74,55,48,26,7,7,402,0,4,91,55,48,30,20,10,0,258,0,8,106,127,111,63,25,0,0,446,0,0,12,18,12,10,12,0,0,65,0,0,15,33,27,18,6,0,0,103,4,16,48,17,12,21,26,42,19,196,109,345,1051,590,419,419,408,272,105,3720
POA2902,32,83,119,89,78,89,183,93,15,790,20,115,155,120,122,152,197,84,25,986,6,111,239,174,165,174,211,65,19,1168,3,85,217,192,167,145,149,42,12,1010,0,35,260,245,189,179,108,47,0,1061,0,10,151,209,204,139,76,17,0,800,0,6,265,496,498,302,94,16,4,1686,0,0,29,73,94,58,16,3,0,272,0,0,23,129,166,91,31,7,0,451,42,30,84,99,79,48,69,36,20,499,913,837,1855,2131,2100,1798,2020,887,191,12729
POA2903,10,50,64,39,54,58,103,32,10,423,10,74,95,66,64,86,116,45,5,560,6,66,158,113,108,122,132,31,10,742,0,48,185,112,84,119,94,31,5,665,0,18,160,169,125,112,73,23,0,674,0,7,120,141,97,81,65,10,0,513,0,4,149,333,295,192,59,4,3,1034,0,0,21,49,56,35,12,3,0,186,0,0,21,77,67,56,21,3,0,253,20,18,57,52,56,46,43,20,3,312,546,487,1215,1338,1185,1218,1186,404,106,7688
POA2904,14,60,86,56,46,99,128,84,22,609,20,80,97,84,68,115,172,71,25,731,8,87,163,152,118,181,169,40,24,939,3,62,181,151,120,149,138,30,16,850,0,32,202,193,185,170,121,27,8,944,0,11,155,194,170,150,86,15,4,781,0,9,221,478,445,362,90,16,0,1620,0,0,30,75,90,88,16,0,0,296,0,0,35,129,131,122,32,4,6,466,17,25,51,49,31,45,37,77,118,444,714,640,1451,1773,1577,1837,1615,701,349,10667
POA2905,51,203,229,156,129,207,192,87,24,1282,51,243,424,249,234,296,237,51,23,1811,32,232,558,406,358,438,233,35,10,2307,15,190,583,417,341,372,150,38,13,2111,0,85,589,477,440,427,142,25,6,2198,0,24,395,413,376,371,90,5,0,1676,0,22,470,829,889,618,97,13,0,2940,0,0,56,103,141,101,31,0,0,427,0,7,44,187,169,161,18,3,0,584,74,70,145,156,127,93,77,56,27,830,1777,1732,4123,3918,3731,4058,2396,931,319,22996
POA2906,49,148,148,113,97,122,104,63,28,868,38,162,258,133,151,168,103,50,9,1070,13,165,307,242,247,263,105,31,7,1380,12,135,388,275,248,230,83,10,4,1378,0,85,352,322,327,258,66,6,0,1417,0,15,219,275,286,210,45,5,0,1057,0,9,265,543,687,411,52,0,0,1976,0,3,18,64,105,70,8,0,0,267,3,0,27,95,164,108,17,3,0,419,36,44,89,82,73,48,52,58,38,526,1161,1206,2484,2449,2724,2405,1231,610,208,14472
POA2911,8,32,53,31,9,9,16,9,3,170,0,36,62,41,26,22,18,15,3,225,0,26,112,81,26,22,28,15,9,315,0,41,101,81,31,18,20,11,0,302,0,10,112,115,51,21,15,3,0,329,0,3,80,123,66,16,6,4,3,302,0,0,116,280,176,65,6,0,3,648,0,0,15,57,25,10,6,0,0,119,0,0,28,112,58,21,0,0,0,229,8,8,28,20,14,9,5,7,5,96,208,241,861,1060,555,284,218,140,38,3612
POA2912,14,89,189,60,39,43,26,7,0,460,10,106,328,121,52,38,19,9,4,687,13,116,372,141,80,49,22,9,0,794,4,89,278,148,78,38,19,3,0,667,0,44,222,140,81,49,15,4,0,557,0,8,126,124,102,43,12,0,0,414,0,12,187,248,229,112,22,0,0,806,0,0,28,46,62,16,3,0,0,159,0,7,25,71,82,29,3,0,0,215,29,32,100,62,41,21,8,17,0,310,448,812,2390,1415,996,632,357,148,33,7224
POA2913,53,248,461,270,203,171,204,102,16,1718,46,324,676,414,295,239,188,78,18,2276,30,325,972,609,412,330,192,52,13,2928,12,284,880,684,399,285,139,46,3,2728,4,136,938,754,508,312,129,29,3,2809,7,43,553,732,489,301,77,20,5,2221,0,28,806,1538,1168,585,128,21,0,4281,0,5,103,304,273,147,18,13,0,856,0,0,101,396,420,220,49,4,0,1187,60,109,322,248,137,102,87,44,8,1123,2131,2583,7091,6922,4975,3547,2376,1055,226,30911
POA2914,39,199,374,247,162,91,69,34,6,1230,45,275,584,439,235,121,93,28,5,1828,32,322,808,620,368,161,87,21,0,2423,11,197,752,647,341,148,65,10,0,2176,4,102,677,709,411,176,45,6,4,2142,0,29,487,725,456,177,35,5,5,1912,0,20,679,1687,1241,352,47,0,0,4027,0,0,81,367,249,71,8,0,0,782,0,0,76,488,417,128,13,0,0,1124,81,107,308,255,135,64,46,13,5,1020,2138,2111,5932,7059,4566,2007,1136,431,72,25448
