POA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA2600,0,4,0,8,178,15,201,0,3,0,3,184,14,210,47,9,0,59,396,35,489,212,4,3,222,222,37,482,212,5,11,224,291,39,555,53,30,4,80,436,32,547,8,88,0,104,379,36,514,0,38,0,37,231,22,291,0,5,0,5,83,0,88,530,193,19,741,2400,226,3370,0,11,0,16,214,11,240,4,12,0,14,204,25,238,66,21,0,91,360,52,502,308,4,15,328,201,32,557,201,12,15,227,324,34,587,23,56,0,81,424,19,526,4,182,3,186,395,39,616,4,34,0,39,266,20,328,0,0,0,0,140,12,151,604,333,32,973,2514,243,3734,3,19,0,24,398,26,438,3,10,0,16,387,43,448,118,27,3,149,759,88,989,523,10,20,553,425,61,1033,412,18,17,450,614,75,1138,75,89,0,163,860,53,1072,12,271,6,285,768,70,1126,3,71,0,75,499,39,610,0,4,0,4
POA2601,0,13,0,13,659,148,813,0,8,0,8,885,182,1078,21,4,0,28,812,86,927,40,6,0,45,243,23,319,24,0,0,31,162,16,205,6,5,0,10,121,13,138,0,19,0,19,79,4,98,0,6,0,6,24,4,39,0,0,0,0,7,0,10,96,53,0,154,2990,477,3619,0,26,0,26,996,221,1246,0,7,0,12,960,215,1186,29,6,0,37,690,75,800,44,3,0,50,187,30,258,14,5,0,20,126,8,156,0,8,0,8,115,8,137,0,18,0,20,62,5,87,0,3,0,7,27,0,35,0,0,0,0,6,0,8,91,79,0,180,3169,568,3912,0,37,0,37,1651,377,2065,0,17,0,18,1842,403,2262,49,10,0,65,1498,164,1718,90,7,0,97,430,55,582,39,8,0,49,287,16,355,6,11,0,23,233,19,277,0,34,0,38,142,8,184,0,16,0,12,53,5,71,0,0,0,0
POA2602,0,45,0,45,795,22,861,4,22,0,26,1318,65,1408,319,67,9,395,2481,145,3025,1176,33,52,1261,1136,108,2507,885,39,36,960,1119,48,2133,192,78,8,278,1338,70,1689,26,198,0,223,905,56,1180,0,60,0,60,491,41,595,0,6,0,6,286,34,332,2599,551,99,3248,9866,602,13720,0,56,0,57,720,16,803,24,56,4,76,1629,55,1764,481,105,30,615,2424,133,3171,1504,81,96,1684,922,82,2690,910,77,54,1045,1202,65,2309,94,214,0,308,1432,56,1798,16,344,0,362,886,48,1287,3,82,0,89,686,68,838,0,3,0,8,427,65,497,3029,1025,185,4238,10324,590,15156,0,98,0,99,1519,36,1658,27,76,4,101,2951,122,3175,801,170,37,1005,4904,286,6192,2676,116,148,2944,2055,196,5195,1798,118,88,2006,2324,112,4445,281,294,8,583,2767,131,3480,37,548,0,588,1782,101,2473,3,140,0,149,1169,112,1434,0,12,0,12
POA2603,0,20,0,20,343,8,375,3,10,0,17,299,11,326,66,12,0,79,677,33,788,266,11,5,282,283,21,585,308,17,13,337,367,21,731,83,27,0,117,516,21,648,11,99,0,110,362,18,485,6,36,0,38,217,9,265,0,5,0,5,88,0,97,747,235,15,998,3158,146,4302,0,22,0,20,289,12,316,3,6,0,9,251,6,265,105,23,0,129,661,36,825,362,22,9,398,247,19,666,315,17,7,345,365,26,734,38,79,3,120,537,22,670,7,158,0,170,329,16,513,3,40,0,47,242,16,301,0,3,0,3,210,10,227,837,374,16,1229,3129,162,4518,0,35,0,44,628,19,693,4,15,0,25,545,22,592,164,38,5,207,1340,65,1613,634,35,8,676,534,41,1251,630,39,17,686,734,44,1463,121,106,4,232,1048,38,1323,18,259,0,280,692,33,999,10,75,0,84,458,28,563,0,8,0,8
POA2604,0,8,0,8,246,10,264,0,10,0,9,330,33,376,103,24,0,130,1100,118,1343,373,21,13,405,545,81,1029,265,10,3,282,464,60,807,67,31,0,102,546,56,699,8,79,0,86,401,55,546,0,24,0,24,200,39,266,0,0,0,0,50,33,84,820,206,18,1044,3885,483,5412,0,17,0,19,219,17,254,8,7,0,15,378,45,435,177,42,9,229,1123,105,1456,462,32,28,518,508,71,1104,248,19,8,275,497,50,829,35,90,0,122,601,54,776,3,112,0,118,401,50,562,3,29,0,35,243,39,312,0,5,0,5,128,63,195,930,351,45,1324,4097,495,5915,5,26,0,28,464,28,520,9,13,0,25,705,78,806,281,65,4,354,2222,225,2800,832,53,43,925,1053,153,2132,516,26,12,556,964,118,1632,97,121,0,222,1142,109,1476,13,193,0,205,802,103,1110,4,55,0,59,444,72,575,0,5,0,5
POA2605,0,13,0,18,291,8,311,0,9,0,7,299,13,320,97,12,0,110,490,26,632,534,7,13,553,250,26,838,384,9,12,407,381,30,822,74,43,0,122,571,19,713,11,101,0,107,387,28,522,3,27,0,32,316,18,368,0,3,0,3,184,8,194,1102,227,30,1361,3175,184,4724,0,27,0,25,340,11,379,3,21,0,24,275,10,307,160,24,0,190,422,28,642,606,21,41,668,243,34,943,357,19,18,397,439,35,872,34,109,0,147,576,24,740,9,137,0,148,400,26,567,0,48,0,46,444,23,519,0,0,0,0,331,20,352,1171,404,63,1644,3466,207,5310,0,39,0,40,628,16,688,6,26,0,29,576,19,627,259,37,3,302,913,54,1268,1141,32,58,1225,495,66,1782,745,33,30,808,823,65,1697,111,153,4,269,1145,45,1452,14,239,0,253,783,54,1094,0,80,0,81,761,41,886,0,3,0,3
POA2606,0,14,0,14,202,8,223,8,7,0,13,390,22,427,178,30,0,207,1185,74,1472,375,13,10,399,539,51,983,200,9,5,208,407,38,654,40,27,0,72,439,30,541,12,58,0,69,277,9,353,0,20,0,20,226,24,266,0,3,0,3,96,8,108,810,178,20,1008,3770,259,5036,0,9,0,13,215,10,237,12,17,0,31,419,26,475,292,43,4,341,1178,72,1592,406,21,12,440,412,24,873,210,23,7,239,449,31,719,14,68,0,90,442,13,545,7,104,0,108,311,22,441,4,24,0,27,309,13,354,0,0,0,0,106,8,116,945,319,28,1293,3842,215,5348,0,29,0,30,412,18,458,18,26,0,45,810,55,910,470,73,7,554,2367,142,3058,781,37,26,840,949,68,1857,411,26,14,449,862,66,1379,61,93,0,161,881,41,1079,10,160,0,177,594,32,797,4,45,0,51,532,36,620,0,8,0,8
POA2607,0,21,0,22,438,19,478,3,16,0,14,363,15,397,158,26,0,191,620,54,857,508,19,9,536,317,34,889,362,17,15,394,511,38,947,81,56,5,145,702,37,877,12,136,3,148,498,26,668,0,58,0,55,441,28,531,0,5,0,5,178,15,203,1125,353,31,1507,4071,268,5847,3,23,0,29,321,10,354,5,28,0,39,352,15,399,219,45,7,272,516,36,823,646,11,33,691,283,33,1016,398,49,21,472,508,37,1012,34,145,3,177,745,23,950,5,206,0,209,506,30,748,3,78,6,84,590,30,702,0,8,0,8,221,25,254,1316,580,68,1972,4040,233,6249,3,48,0,46,753,28,835,11,41,0,49,713,32,796,375,69,12,459,1132,91,1680,1155,36,44,1233,604,66,1905,761,66,36,869,1021,71,1957,116,197,8,323,1444,62,1826,15,343,3,356,1011,54,1417,3,129,6,142,1032,56,1229,0,7,0,7
POA2609,0,3,0,3,23,6,28,0,0,0,0,45,17,64,3,6,0,7,61,31,97,18,0,0,18,32,35,82,15,0,0,15,58,32,100,3,6,0,15,74,38,126,0,3,0,3,46,23,70,0,0,0,0,33,11,41,0,0,0,0,6,0,9,50,18,0,64,376,186,628,0,6,0,6,20,9,28,3,0,0,5,24,13,44,10,5,0,9,29,19,58,14,0,0,18,22,13,48,7,4,0,11,32,15,58,0,5,0,5,41,21,70,0,8,0,8,49,13,71,0,0,0,0,28,6,31,0,0,0,0,3,0,3,37,24,0,62,244,111,412,0,3,0,3,40,12,59,6,3,0,5,67,27,104,17,4,0,24,87,45,153,39,0,0,37,49,46,132,29,4,0,31,94,41,161,3,14,0,16,117,64,204,0,12,0,12,87,39,138,0,0,0,0,64,12,79,0,0,0,0
POA2611,6,46,0,57,915,33,1002,16,32,0,42,854,51,948,507,52,17,571,1970,133,2675,1678,49,59,1787,1087,96,2977,932,41,25,998,1210,60,2273,143,97,7,256,1201,52,1506,19,238,0,257,993,56,1314,7,101,0,104,753,59,915,0,3,0,3,258,30,294,3315,660,102,4078,9253,577,13903,3,61,0,67,815,30,916,35,48,0,88,841,47,973,854,105,41,993,1815,134,2943,1930,75,103,2110,880,94,3083,859,84,30,971,1291,68,2331,70,260,3,334,1311,64,1712,19,423,3,435,1084,72,1601,4,133,3,137,864,76,1078,0,0,0,0,367,42,412,3773,1189,187,5147,9265,630,15039,11,108,0,126,1729,68,1918,49,81,0,129,1694,97,1918,1358,159,56,1567,3782,267,5620,3616,122,159,3894,1968,198,6062,1792,130,56,1977,2506,127,4606,214,360,9,589,2515,123,3219,34,662,8,694,2084,129,2909,12,233,4,247,1621,132,1996,0,6,0,6
