POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA2600,0,3,0,0,0,0,0,0,0,11,0,0,5,11,11,9,5,0,0,35,0,0,0,5,8,0,0,0,0,18,0,0,0,8,3,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,9,22,7,11,5,9,0,76,0,0,0,3,4,6,3,0,0,21,0,0,0,0,0,0,4,0,0,11,0,0,0,0,4,4,3,0,0,10,0,8,8,41,27,18,6,10,5,119,8,14,21,67,39,32,27,21,3,248,151,389,407,971,555,547,514,291,88,3911,0,0,0,0,0,0,0,0,0,0,141,354,390,648,370,344,371,194,86,2896,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,4,3,3,9,4,11,0,0,34
POA2601,0,0,23,12,3,0,0,0,0,33,0,0,9,3,0,0,0,0,0,21,0,0,10,13,0,0,0,0,0,22,0,0,8,10,5,0,0,0,0,18,0,0,5,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,17,21,8,0,0,0,0,52,0,0,3,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,17,48,13,0,0,0,0,89,0,0,325,108,9,11,4,4,0,469,31,35,1891,1245,205,138,98,39,10,3689,0,0,0,0,0,0,0,0,0,0,30,19,1314,339,69,76,58,25,4,1931,0,0,3,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,8
POA2602,0,3,0,16,4,3,0,0,0,34,0,3,14,23,20,3,6,0,0,71,0,6,8,37,9,10,5,0,0,69,0,0,7,20,0,0,0,0,0,25,0,3,9,19,4,6,0,0,0,39,0,0,0,5,0,0,0,0,0,16,5,34,24,70,32,21,8,0,3,196,0,8,17,49,33,23,20,0,4,155,0,0,0,3,3,5,3,0,0,16,0,0,0,10,3,4,0,0,0,19,11,61,53,364,89,64,47,27,18,725,30,45,72,227,48,71,60,41,30,619,921,2040,2269,5530,2133,1689,1180,595,332,16679,0,0,7,11,5,0,3,0,0,22,758,1601,2034,3686,1590,1198,811,463,260,12411,0,4,4,23,4,0,0,0,0,39,0,0,0,9,0,8,3,6,0,20,0,0,0,11,3,0,0,0,0,16,0,0,0,5,0,4,4,0,0,18,0,3,5,28,24,16,11,4,0,84
POA2603,0,0,4,6,0,6,0,0,0,14,0,0,3,9,7,0,0,0,0,22,0,0,6,8,7,8,3,0,0,35,0,0,0,6,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,10,0,10,7,16,9,4,6,3,0,59,0,0,0,7,5,3,0,0,0,20,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,9,12,39,39,28,15,16,3,161,0,23,25,51,20,26,16,9,0,162,173,598,699,1375,731,648,485,265,97,5071,0,0,0,4,0,0,0,0,0,4,166,435,441,955,473,434,333,189,153,3577,0,0,0,7,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,5,4,0,0,0,0,6,0,3,0,9,3,4,0,0,0,28
POA2604,0,0,0,3,4,3,0,0,0,15,0,0,6,18,7,0,5,0,0,34,0,4,0,15,7,3,0,0,0,42,0,3,0,13,4,0,0,0,0,19,0,5,6,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,12,25,13,3,8,3,0,69,0,0,0,10,4,7,8,0,0,20,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,14,13,68,46,26,16,13,0,192,10,39,33,181,57,60,54,27,19,474,265,605,640,2375,807,699,546,266,84,6283,0,0,0,0,0,0,0,0,0,0,267,417,517,1634,491,491,343,180,103,4444,0,3,0,7,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,13,3,0,0,0,0,19,0,0,0,0,0,5,0,0,0,6,0,3,0,11,3,0,7,0,0,33
POA2605,0,4,4,0,4,0,0,0,0,11,0,4,3,4,6,0,5,0,0,29,0,0,0,19,5,9,0,3,0,37,0,0,0,4,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,18,4,14,6,5,5,4,0,68,0,4,0,9,0,0,4,0,0,20,0,0,0,0,0,0,3,4,5,11,0,0,0,4,0,0,0,0,0,7,3,24,14,74,25,24,24,14,12,222,4,13,14,46,28,22,33,19,9,191,311,953,630,1463,822,713,522,368,194,5988,0,0,0,0,0,0,0,0,0,5,295,737,552,902,591,504,366,304,210,4468,0,0,4,13,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,5,4,9,8,3,0,4,0,39
POA2606,0,5,0,5,0,0,0,0,0,22,0,0,6,4,5,3,3,0,0,27,0,0,5,32,4,4,17,8,0,60,0,0,0,6,0,0,0,0,0,6,0,0,5,11,0,0,0,0,0,14,0,0,0,3,5,0,0,0,0,11,4,0,7,22,3,0,0,7,0,37,0,0,11,7,0,3,3,0,0,27,0,0,0,0,0,0,0,4,0,4,0,0,6,0,4,0,0,0,0,9,4,28,31,180,35,24,6,19,8,334,13,16,29,94,37,28,10,22,9,246,333,495,653,2451,654,541,353,266,108,5872,0,4,0,0,5,0,0,0,0,7,295,405,483,1147,433,314,230,189,57,3546,0,5,0,23,4,0,0,0,0,36,0,0,0,5,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,12,0,0,3,4,0,0,0,0,0,7,0,0,0,10,0,0,0,5,0,18
POA2607,0,0,0,9,0,7,7,0,0,23,0,5,0,8,0,5,3,0,0,27,0,0,0,16,11,12,18,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,8,0,24,12,11,9,5,0,65,0,0,0,3,5,3,9,0,0,23,0,0,0,4,0,0,0,5,0,8,0,0,0,0,4,0,0,0,0,10,0,28,19,105,44,39,33,33,15,305,14,32,30,68,26,37,27,23,18,271,392,1019,875,1745,947,877,668,531,203,7258,0,0,0,5,0,0,0,0,0,4,297,753,594,1060,676,596,440,419,138,4977,0,0,3,9,7,5,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,3,12,0,8,0,3,0,34
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0,3,3,7,0,0,0,22,0,4,24,61,27,42,16,14,0,197,11,34,96,178,100,126,70,41,9,668,0,0,0,0,0,0,0,0,0,0,13,27,41,48,35,37,36,19,3,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,3,3,16,8,4,0,3,0,41,0,10,9,25,22,11,5,6,0,95,0,11,9,61,18,12,13,4,0,131,0,0,0,4,5,3,3,0,0,17,0,5,5,24,0,0,0,0,0,39,0,0,0,6,6,0,0,0,0,11,9,24,9,44,9,14,6,5,0,132,0,8,4,18,10,10,3,0,0,61,0,0,0,12,6,7,8,0,0,29,0,0,3,18,10,9,0,0,0,30,5,42,52,222,87,66,55,41,29,597,27,71,72,206,52,51,48,52,22,607,1250,2647,1957,5650,2273,1506,1314,915,294,17806,0,3,0,9,0,4,0,0,0,11,1130,2114,1448,3523,1570,1053,1017,640,220,12722,0,5,5,56,8,3,4,0,0,81,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,22,0,0,3,3,0,0,0,0,0,13,0,6,9,31,11,8,6,8,4,69
