POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
POA2600,0,0,0,8,0,6,3,0,0,0,0,0,0,0,0,31,3,0,5,6,9,0,0,0,0,0,0,0,0,0,0,27,0,0,5,4,0,0,3,4,4,0,0,0,0,0,0,20,0,5,6,7,13,8,22,4,3,0,0,0,0,0,0,72,0,0,0,7,5,8,14,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,17,0,0,0,0,7,6,0,5,0,0,0,0,0,0,0,24,22,55,105,87,66,36,51,23,7,6,3,0,6,3,7,474,0,0,14,10,13,13,31,18,0,4,5,15,27,8,0,161,0,0,0,20,15,6,3,0,0,0,0,0,0,0,0,45,8,14,40,40,30,59,45,35,3,16,9,23,15,6,12,364,61,157,252,264,269,287,362,215,37,66,36,81,80,21,28,2219
POA2601,0,0,0,0,0,8,4,3,5,0,9,4,4,0,0,41,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,25,6,3,3,6,0,6,9,3,71,0,0,0,3,3,4,23,10,0,0,0,4,0,0,0,46,0,0,0,0,0,8,9,12,0,5,11,4,0,0,0,51,0,0,0,0,5,0,6,10,3,4,0,0,0,0,0,42,0,0,0,0,5,0,16,10,6,4,5,3,4,0,0,50,5,8,20,9,16,24,132,32,4,0,5,11,6,3,0,264,0,0,0,3,4,4,33,11,3,5,3,5,13,8,0,96,0,0,0,4,7,0,8,7,0,4,0,5,6,0,0,37,0,0,4,7,11,21,85,46,10,21,16,23,21,0,4,285,0,21,44,58,92,169,664,501,198,251,315,278,203,44,40,2890
POA2602,0,0,3,5,23,16,42,34,10,0,13,8,4,0,0,166,3,5,0,5,26,6,14,6,0,0,4,0,0,0,3,68,0,0,5,7,13,12,12,15,3,8,0,3,4,0,0,81,0,5,0,23,25,23,44,12,0,5,9,9,0,0,5,157,0,0,0,0,25,19,29,22,11,8,5,5,0,0,6,134,0,0,0,0,4,5,13,14,0,4,0,0,0,0,0,58,0,0,0,10,4,12,32,16,3,7,7,4,0,0,4,102,41,121,282,228,152,132,229,111,18,16,16,18,13,6,44,1418,0,5,19,42,42,60,82,77,14,17,14,19,18,7,5,421,0,0,0,38,61,51,67,54,25,31,20,17,3,0,7,371,26,62,108,171,152,199,265,305,73,125,185,207,92,12,48,2025,103,391,714,784,881,986,1556,1390,354,482,513,485,250,51,215,9170
POA2603,0,0,0,0,8,8,5,14,6,4,3,5,3,3,0,54,0,0,0,0,18,4,0,5,0,0,3,0,0,0,0,36,3,0,0,6,8,4,12,7,3,0,0,0,0,0,0,48,0,5,4,7,11,8,8,3,0,0,0,0,4,0,0,52,0,0,0,8,13,16,15,8,0,6,3,0,0,0,0,79,0,0,0,0,4,3,10,4,3,0,0,0,0,0,0,29,0,0,0,3,0,0,6,5,0,0,0,3,0,0,0,23,16,34,103,69,51,50,70,40,0,4,4,4,12,3,5,468,0,3,9,12,18,9,23,18,5,4,10,6,5,3,0,121,0,0,0,10,15,0,8,3,0,0,3,0,4,0,0,56,15,19,46,56,51,52,91,57,17,10,22,32,11,0,4,483,66,134,262,272,348,308,510,392,89,96,104,91,65,25,31,2789
POA2604,0,0,0,8,23,9,16,26,8,3,7,11,0,0,0,117,3,4,4,4,19,0,6,3,0,0,0,0,0,0,0,47,0,0,0,8,8,5,11,7,0,0,3,0,0,0,0,43,0,3,0,3,9,17,21,8,0,4,0,0,0,5,0,70,0,0,0,7,9,20,14,21,0,0,3,0,0,0,0,81,0,0,0,0,0,0,9,7,9,5,6,0,0,0,0,36,0,0,0,0,0,0,9,8,4,7,0,5,0,0,0,42,19,55,118,81,64,57,65,48,4,8,6,11,6,3,15,554,0,3,4,9,18,20,25,15,4,13,11,6,6,0,3,145,0,0,0,22,8,11,4,5,0,0,4,0,0,0,0,58,6,13,55,66,50,95,108,105,13,22,33,27,25,11,18,665,46,152,259,292,337,414,640,510,123,153,170,146,69,28,92,3426
POA2605,0,0,0,6,13,7,16,27,5,6,13,12,3,0,0,109,3,0,6,6,14,0,7,0,0,0,0,0,0,0,0,30,0,0,7,9,5,0,3,4,0,0,0,0,0,0,0,34,0,0,3,9,9,6,14,8,7,0,0,0,0,0,0,62,0,0,4,0,16,13,24,5,0,3,3,4,6,0,4,72,0,0,0,0,9,0,4,4,0,0,0,0,0,0,0,17,0,0,0,0,9,6,3,6,0,0,0,0,0,0,0,35,24,69,151,91,61,36,52,42,8,6,9,7,0,0,23,586,0,0,14,14,13,16,25,22,0,10,9,5,0,0,4,136,0,0,0,8,9,9,12,6,0,0,0,4,0,0,0,43,17,33,57,51,57,46,67,61,22,25,39,48,26,0,15,573,81,224,366,311,343,279,578,468,129,157,163,142,75,18,76,3409
POA2606,0,0,0,6,13,16,65,110,28,32,42,24,9,6,6,355,0,0,0,5,12,6,0,0,0,0,0,0,0,0,0,27,0,0,0,6,4,10,4,6,3,0,0,0,0,3,0,43,0,0,0,5,0,13,17,7,0,0,4,0,0,0,3,62,0,0,0,6,30,19,26,21,3,5,0,13,0,0,0,124,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,17,0,0,0,0,4,4,10,10,0,0,5,0,4,0,5,40,10,38,103,46,48,33,47,36,6,5,7,0,3,0,4,388,0,0,7,11,7,15,19,9,3,3,0,8,0,4,0,87,0,0,0,16,6,10,4,12,8,0,0,0,0,0,0,62,18,31,50,45,47,72,107,126,44,63,84,95,36,12,8,846,53,151,251,249,332,367,697,886,286,397,427,306,127,44,74,4639
POA2607,0,0,0,5,14,7,30,42,16,7,10,12,7,0,3,166,0,0,4,12,13,6,0,0,0,0,0,0,0,0,0,38,0,0,3,9,18,4,9,3,0,3,0,0,0,0,0,49,0,0,3,3,9,7,18,10,6,8,0,3,0,0,0,72,0,0,3,10,46,29,33,16,0,0,0,0,0,4,0,139,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,7,5,11,13,10,3,0,0,0,0,0,0,50,22,86,162,84,93,50,53,42,8,9,15,7,0,3,11,628,0,4,8,15,14,13,23,15,0,9,0,11,0,0,0,120,0,0,6,28,13,3,13,3,0,0,3,0,0,0,0,60,21,43,90,84,79,88,106,82,26,47,35,44,24,0,11,786,95,263,438,369,555,440,690,540,163,209,161,154,78,13,80,4251
POA2609,0,0,0,0,4,0,10,4,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,10,5,0,9,3,3,0,6,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,4,0,4,4,11,0,3,0,0,0,4,0,48,6,10,22,22,16,20,39,33,0,6,6,0,0,17,6,200
POA2611,0,0,0,14,46,28,83,135,49,29,20,27,15,16,12,476,4,4,3,4,44,6,13,4,0,0,4,0,0,0,0,88,0,4,8,11,11,5,12,23,0,0,5,0,0,0,3,80,0,3,8,25,24,28,52,18,0,4,3,7,7,0,6,184,0,0,8,4,28,39,78,66,4,4,3,6,3,8,0,255,0,0,0,3,5,5,12,15,0,4,3,5,0,0,0,50,0,3,4,3,13,25,34,25,5,0,0,7,9,0,9,128,39,141,369,202,158,101,160,131,21,10,14,11,8,3,28,1390,6,6,16,25,25,44,47,38,6,15,12,14,27,3,0,279,0,0,0,22,21,16,33,29,3,6,3,0,0,0,8,153,25,64,202,150,173,191,354,268,50,64,51,61,34,25,44,1750,145,392,905,690,936,967,2300,1936,411,373,346,331,207,125,232,10297
