POA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA2600,10,10,23,3,4,10,0,11,15,0,33,39,5,74,78,6,44,51,28,54,76,18,61,82,38,89,124,57,93,156,58,109,171,64,88,151,195,243,437,174,16,192,186,74,255,132,14,148,1050,165,1218,120,23,141,10,20,27,2163,1229,3392
POA2601,14,47,59,9,9,14,4,11,19,3,21,22,0,25,21,9,19,26,11,19,29,12,42,50,29,56,90,30,86,115,32,102,131,34,90,128,111,215,320,90,16,101,86,68,151,68,18,85,229,117,350,36,20,59,4,7,10,809,984,1799
POA2602,28,82,115,24,41,69,19,133,157,29,231,258,71,474,548,78,278,354,161,236,401,193,303,502,266,383,648,343,417,761,305,461,772,374,410,777,878,806,1687,784,130,917,754,209,962,687,74,763,2925,378,3305,431,157,587,38,75,108,8389,5289,13683
POA2603,14,20,40,7,11,8,5,16,26,4,38,43,8,77,86,6,44,53,19,48,68,31,49,78,42,75,113,77,137,217,73,144,220,83,150,227,216,310,533,223,33,253,223,68,286,164,16,183,1299,180,1483,159,21,180,13,18,27,2670,1448,4119
POA2604,18,33,48,3,16,16,5,32,37,13,66,82,31,140,165,19,97,116,46,65,114,50,115,164,83,130,216,101,181,284,102,243,346,129,232,359,348,572,919,274,46,318,314,169,482,264,33,301,1225,310,1528,138,61,204,16,28,46,3173,2569,5745
POA2605,19,18,34,4,14,20,0,22,27,5,51,58,24,114,134,26,92,122,40,72,115,58,104,161,76,116,188,135,83,222,107,90,197,110,70,175,308,154,462,234,11,245,270,51,317,230,10,228,1426,72,1497,174,18,187,12,18,27,3244,1168,4411
POA2606,24,41,57,15,16,30,3,21,29,12,68,75,27,122,145,26,102,125,56,118,176,61,140,203,98,186,282,167,239,408,140,255,392,139,220,356,430,392,825,342,27,368,297,98,390,222,32,251,825,137,958,190,35,222,27,29,52,3079,2265,5347
POA2607,18,36,55,14,10,23,6,22,32,4,60,66,15,173,190,30,106,138,77,109,185,93,134,228,132,185,318,193,111,307,172,112,281,190,113,304,424,198,620,343,11,354,340,40,380,291,9,308,1395,103,1500,214,17,230,19,34,54,3977,1592,5570
POA2609,0,3,5,0,0,0,0,5,7,0,11,14,3,33,35,6,44,46,15,9,23,12,18,27,13,30,45,10,16,29,3,9,9,8,6,21,12,13,26,15,0,15,18,0,15,5,5,12,20,3,26,15,0,16,0,8,6,161,208,371
POA2611,42,64,103,17,30,47,13,70,83,37,136,178,57,336,392,83,227,313,193,222,412,216,258,475,302,313,618,493,298,796,396,321,708,433,261,694,1074,572,1648,931,64,996,983,104,1083,840,36,870,3203,186,3389,496,63,559,47,55,104,9855,3610,13463
POA2612,32,81,111,8,20,24,13,72,82,3,117,118,23,176,196,27,135,161,52,125,177,53,134,176,105,233,332,142,348,490,127,386,509,151,350,505,431,920,1350,380,153,533,420,284,703,317,88,405,1489,422,1910,217,139,355,12,31,44,3990,4205,8191
POA2614,23,45,66,12,18,29,10,55,58,10,97,109,54,229,280,44,189,233,130,191,317,137,229,368,211,220,435,315,195,517,236,188,432,255,189,442,614,311,924,495,42,540,518,61,581,410,17,430,1625,108,1735,229,54,285,25,37,61,5353,2474,7830
POA2615,48,92,141,33,34,60,37,95,131,46,203,253,118,475,594,160,295,453,368,309,676,384,350,730,507,375,880,721,359,1078,627,368,998,679,306,988,1670,574,2247,1552,50,1605,1386,102,1487,1141,36,1171,2705,128,2830,621,73,692,55,90,143,12857,4308,17164
POA2617,55,129,176,27,40,62,24,83,103,39,159,193,67,305,371,105,218,327,251,257,511,259,289,549,404,434,834,575,469,1046,499,537,1035,539,439,975,1222,744,1967,1045,123,1168,928,200,1129,822,71,896,2203,223,2425,459,170,631,42,60,101,9560,4950,14514
POA2618,0,0,0,0,0,0,0,5,3,0,6,6,0,10,9,0,7,8,6,8,13,10,6,15,18,10,22,18,7,23,13,8,15,11,0,8,38,3,47,32,0,32,36,3,36,28,0,28,131,0,136,18,3,19,7,0,7,363,70,434
POA2900,4,9,14,0,7,3,0,7,7,3,27,25,8,71,80,11,55,67,34,41,72,32,76,107,42,121,162,79,122,194,72,112,190,82,92,168,190,153,346,140,11,151,105,25,137,62,10,73,177,32,209,56,14,71,0,12,18,1111,997,2107
POA2902,14,36,50,5,17,30,10,37,42,13,80,93,46,193,234,54,119,167,124,120,243,126,147,269,207,137,349,281,102,385,212,110,323,210,96,305,542,180,718,431,19,447,446,37,489,352,12,367,1013,47,1060,216,13,225,15,42,55,4321,1534,5852
POA2903,9,24,32,7,3,14,13,24,36,3,51,57,26,125,149,34,58,86,56,69,122,65,58,121,110,64,171,135,73,207,139,63,198,137,58,201,328,87,414,290,9,295,291,16,308,222,5,221,645,32,673,143,10,158,16,24,36,2658,843,3505
POA2904,12,17,28,11,10,21,6,21,32,12,39,50,20,124,144,25,75,98,90,70,158,100,106,203,136,97,233,186,73,262,125,80,204,182,66,248,392,108,498,385,10,394,401,26,430,347,3,349,1097,42,1138,201,19,222,15,13,36,3754,1005,4757
POA2905,24,51,83,17,18,28,23,53,69,22,116,136,74,291,369,97,139,235,195,130,330,186,183,365,327,205,530,393,215,611,422,240,666,384,206,593,1054,323,1374,924,35,957,896,64,958,687,10,695,1668,81,1745,448,30,476,41,42,81,7881,2429,10307
POA2906,18,30,49,9,7,19,8,32,37,12,56,69,35,169,205,47,86,130,137,91,230,114,102,217,183,131,318,246,115,363,249,138,385,246,113,359,600,191,794,569,5,577,609,25,629,433,3,439,1203,41,1239,255,8,271,31,30,60,4997,1398,6393
POA2911,5,3,15,3,6,3,0,5,3,0,6,15,3,20,24,6,24,31,10,15,28,20,31,53,41,41,82,44,43,86,56,23,81,63,37,99,144,62,208,117,6,122,137,11,143,122,3,121,453,28,481,66,8,76,7,7,11,1303,383,1689
POA2912,15,26,40,7,11,19,5,18,25,5,27,36,15,44,65,35,36,71,48,53,97,65,81,143,82,106,184,122,109,235,111,113,222,121,77,199,326,158,480,243,41,283,217,35,249,149,7,159,490,61,557,128,16,143,7,10,17,2192,1034,3225
POA2913,61,84,139,20,18,39,22,63,87,25,112,140,88,247,333,100,166,265,248,162,406,251,216,470,351,232,576,493,263,753,487,367,853,488,290,782,1433,550,1984,1164,78,1237,1116,111,1224,939,36,976,2679,145,2825,568,57,625,38,45,84,10561,3247,13809
