POA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
POA2617,3,3,7,15,15,30,44,37,29,183,6,3,4,7,25,48,62,57,33,245,62,622,673,384,264,182,147,57,19,2410,0,0,0,4,11,10,30,32,32,119,90,252,343,296,258,258,308,154,67,2026,2184,2027,2898,1639,1030,786,545,162,52,11323,158,201,230,120,91,97,82,38,15,1032,2613,3198,4257,2624,1844,1695,1689,767,341,19028,6,35,86,168,284,483,819,497,221,2599,362,572,733,495,322,295,309,141,48,3277,0,12,38,63,90,173,332,174,70,952,0,0,0,0,5,4,30,80,86,205,7,41,62,114,164,278,416,220,65,1367,6,15,19,33,68,155,340,296,155,1087,9,6,18,31,29,48,94,73,50,358,8,7,11,17,38,78,132,95,53,439,153,908,1043,660,470,327,234,88,28,3911,0,0,3,9,15,26,65,79,59,256,236,394,530,509,451,456,526,254,98,3454,4511,4232,6393,3551,2187,1559,1087,323,101,23944
POA2618,0,0,0,0,4,0,7,4,0,15,0,0,0,0,0,5,3,3,0,11,3,16,7,9,4,14,3,5,0,61,0,0,0,0,0,0,0,0,0,0,0,4,3,5,14,8,12,7,0,53,108,63,37,67,67,49,39,4,0,434,14,0,4,6,8,3,6,3,0,44,132,88,53,96,119,84,96,46,5,719,0,0,3,4,17,24,35,34,4,121,15,13,10,18,19,12,13,12,0,112,0,0,0,0,5,7,13,11,3,39,0,0,0,0,0,0,0,4,3,7,0,0,0,5,0,4,14,8,4,35,4,5,0,0,4,5,12,19,4,53,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,8,13,8,0,29,7,19,11,16,17,15,8,3,0,96,0,0,0,0,0,0,5,3,0,8,3,4,4,11,20,18,21,16,0,97,210,133,80,121,151,97,71,17,0,880
POA2900,0,0,4,3,0,0,8,5,7,27,0,0,0,3,0,10,10,12,7,42,7,72,96,58,42,32,15,16,5,343,0,0,0,0,0,0,8,7,9,24,3,23,49,31,30,27,26,26,17,232,188,133,336,163,109,109,73,25,13,1149,14,7,26,21,10,14,10,19,10,131,227,236,521,285,225,241,213,148,61,2157,0,12,18,22,45,60,107,85,32,381,31,52,101,51,47,32,50,24,11,399,0,3,3,6,16,23,41,31,10,133,0,0,0,0,0,0,11,23,16,50,0,0,15,19,26,43,52,37,10,202,0,0,3,8,14,34,66,54,33,212,0,0,4,4,4,10,14,9,14,59,0,4,0,9,10,14,25,23,10,95,5,93,156,93,73,46,30,26,8,530,0,0,0,6,4,4,10,14,18,56,18,33,84,48,47,38,61,55,22,406,375,286,702,373,216,205,130,51,16,2354
POA2902,0,0,0,6,11,18,19,28,8,90,0,0,5,6,10,32,43,36,9,141,35,170,210,205,181,92,75,38,3,1009,0,0,0,6,4,11,15,15,6,57,59,77,119,160,159,150,175,71,11,981,1133,496,510,591,528,385,365,115,16,4139,101,52,45,63,52,47,61,17,8,446,1418,818,905,1086,1078,928,1109,457,98,7897,7,12,41,81,207,329,577,291,81,1626,226,171,215,242,224,189,199,89,20,1575,9,9,14,19,56,93,247,120,25,592,0,0,0,3,6,8,13,23,15,68,7,13,19,42,126,147,256,146,28,784,0,8,7,20,50,100,225,179,44,633,0,0,8,12,20,27,45,54,15,181,3,0,10,9,20,63,95,80,18,298,76,290,321,315,305,204,143,52,6,1712,0,0,4,4,14,21,23,37,12,115,160,133,192,245,275,293,315,127,28,1768,2307,1139,1153,1271,1103,792,646,218,24,8653
POA2903,0,5,0,6,7,12,10,18,5,63,4,0,0,0,4,20,28,21,4,81,19,107,122,114,94,75,39,13,7,590,0,0,0,0,0,4,5,9,0,18,47,47,68,77,81,141,98,27,11,597,709,264,341,409,280,259,219,49,9,2539,56,34,34,38,35,21,33,10,3,264,878,463,595,695,572,653,622,200,62,4740,4,5,21,60,107,235,342,139,49,962,148,111,136,170,141,133,109,41,11,1000,0,3,4,16,27,76,121,55,17,319,0,0,0,0,0,0,5,12,13,30,3,10,18,37,58,132,172,68,26,524,5,4,8,13,23,86,143,71,24,377,0,5,0,11,12,21,35,24,4,112,9,0,3,4,14,32,61,37,3,163,61,167,191,183,158,134,84,23,5,1006,0,0,6,3,7,11,32,16,0,75,111,88,105,122,151,228,181,61,17,1064,1491,647,782,840,635,514,390,96,17,5412
POA2904,0,0,0,6,3,16,22,24,16,87,0,0,0,0,13,25,21,33,11,103,39,108,119,157,131,107,57,37,30,785,0,0,0,0,4,8,10,11,18,51,37,58,90,134,121,151,128,87,69,875,1019,445,447,524,425,437,312,81,32,3722,52,25,37,30,38,48,34,27,19,310,1224,648,718,913,816,999,832,399,238,6787,4,10,27,82,146,353,453,259,149,1483,209,109,163,189,141,194,143,76,27,1251,0,0,8,23,44,111,149,98,53,486,0,0,0,0,0,6,16,57,79,158,0,10,19,36,91,160,227,102,39,684,4,6,8,11,37,113,209,130,108,626,5,0,6,8,15,26,59,37,24,180,0,3,0,3,21,42,64,58,20,211,70,183,195,246,209,162,103,59,37,1264,0,0,0,0,7,19,33,36,35,130,118,104,139,206,206,270,255,140,90,1528,2058,958,928,1108,873,808,575,144,52,7504
POA2905,0,5,8,14,15,36,34,33,21,166,6,4,6,18,30,64,67,48,26,269,77,365,428,351,281,289,107,34,10,1942,0,0,3,4,12,22,18,20,11,90,123,167,206,250,289,351,199,92,43,1720,2273,971,1248,1099,989,914,383,102,21,8000,186,103,105,100,101,70,51,32,19,767,2820,1649,2108,1961,1952,2158,1205,533,205,14591,6,37,89,186,375,761,643,348,132,2577,439,343,485,510,407,396,256,98,31,2965,3,8,25,52,101,237,257,119,39,841,0,0,0,0,0,9,16,34,40,99,5,23,55,112,222,409,366,165,54,1411,5,18,17,39,81,227,296,182,92,957,7,5,13,15,29,56,80,61,29,295,7,7,12,32,55,107,142,88,44,494,172,570,630,559,454,437,206,57,25,3110,0,3,5,11,21,45,70,43,19,217,298,277,337,411,482,610,377,147,69,3008,4537,2271,2650,2332,2023,1808,784,178,37,16620
POA2906,0,0,7,9,17,15,16,16,9,89,0,0,0,12,24,35,40,25,14,150,61,242,271,241,214,172,55,22,6,1284,0,0,0,4,11,10,18,19,5,67,73,84,158,185,233,215,121,60,21,1150,1441,719,712,721,709,497,204,69,10,5082,100,62,54,66,60,45,34,34,23,478,1782,1148,1276,1305,1434,1195,649,342,124,9255,6,14,51,121,284,445,354,207,86,1568,257,213,312,287,297,242,132,53,22,1815,3,8,15,36,81,144,112,75,27,501,0,0,0,0,0,3,12,26,21,62,8,12,33,68,174,263,183,107,29,877,9,7,11,20,84,127,162,129,68,617,0,0,11,18,29,37,43,36,17,191,3,0,3,14,33,64,76,44,15,252,120,359,410,382,360,281,106,32,9,2059,0,4,0,8,19,23,36,29,13,132,192,162,224,294,396,384,224,95,29,2000,2904,1603,1545,1461,1449,1067,402,122,17,10570
POA2911,0,0,0,4,0,3,8,11,0,26,0,0,0,0,0,0,0,6,0,6,11,33,55,49,17,14,5,7,0,191,0,0,0,0,0,0,0,0,9,9,16,19,37,57,40,25,22,13,0,229,520,153,323,387,161,62,50,13,8,1677,23,14,22,23,13,5,3,6,4,113,593,226,456,547,254,139,126,88,27,2456,0,0,17,24,30,47,52,46,12,228,75,34,71,87,35,24,21,23,0,370,0,0,4,15,5,11,11,23,4,73,0,0,0,0,0,3,0,8,4,15,0,3,3,18,25,26,30,18,0,123,0,4,3,8,10,19,18,29,4,95,0,4,0,5,0,9,7,6,0,31,0,0,0,4,4,0,10,9,3,30,16,48,79,66,36,22,9,12,4,292,0,0,0,0,3,0,0,0,5,8,36,23,55,84,62,47,38,24,0,369,1017,333,645,768,376,131,80,33,7,3390
POA2912,0,0,0,0,3,3,9,5,3,23,0,0,0,3,0,4,10,3,0,20,10,113,137,88,67,35,15,4,3,472,0,0,0,0,3,0,0,0,0,3,21,52,76,57,36,44,38,9,6,339,573,422,867,486,275,146,76,26,5,2876,43,43,61,35,29,15,8,11,0,245,665,646,1160,694,473,310,201,82,19,4250,0,4,22,27,74,99,84,41,15,366,62,112,152,86,87,49,27,14,3,592,6,8,6,7,22,33,24,13,7,126,0,0,0,0,4,0,3,4,7,18,0,4,18,25,48,58,55,23,3,234,0,4,3,10,18,24,36,23,15,133,0,0,3,0,10,14,4,9,3,43,0,4,7,3,5,7,17,4,9,56,25,172,214,136,111,71,25,5,4,763,0,0,0,0,7,3,3,8,0,21,46,77,132,92,98,69,57,24,8,603,1166,882,1851,1045,595,317,130,43,7,6036
POA2913,0,0,10,18,12,24,37,29,11,141,3,0,7,15,22,38,68,41,13,207,88,428,532,461,342,193,106,34,3,2187,0,5,3,9,10,23,26,25,4,105,137,178,321,381,307,265,209,91,25,1914,3457,1515,2500,2202,1443,838,482,120,19,12576,218,122,170,157,125,73,67,31,3,966,4084,2290,3633,3445,2541,1839,1302,561,126,19821,5,23,104,214,423,570,578,364,99,2380,539,420,637,625,430,325,212,87,28,3303,3,9,26,55,140,185,198,134,29,779,0,0,0,0,0,9,12,40,21,82,14,30,64,219,308,385,355,199,39,1613,20,18,22,43,120,171,235,207,71,907,8,0,16,30,33,55,71,67,20,300,11,7,9,26,35,72,122,89,23,394,187,636,837,723,548,334,161,72,11,3509,0,6,7,12,17,43,57,60,11,213,349,295,495,618,557,494,363,161,44,3376,7029,3305,5056,4669,2943,1688,889,243,34,25856
POA2914,3,0,8,16,20,10,18,6,4,85,4,0,3,10,14,28,27,18,6,110,110,325,387,389,265,96,36,10,4,1622,0,0,3,8,9,14,9,9,0,52,169,159,245,352,268,179,101,40,4,1517,3751,1459,2109,2409,1269,473,221,51,7,11749,242,120,153,172,105,40,33,8,0,873,4465,2125,3020,3574,2198,1018,613,234,38,17285,10,25,82,211,341,316,258,163,28,1434,554,336,484,567,363,167,128,49,7,2655,8,3,20,61,77,100,68,49,13,399,0,0,0,0,0,6,11,12,8,37,21,13,55,194,272,217,193,79,5,1049,9,0,13,44,99,130,143,89,16,543,5,3,8,22,41,27,28,23,5,162,4,4,9,17,25,39,42,38,6,184,221,475,601,610,436,173,65,24,0,2605,3,4,4,8,26,34,24,27,3,133,420,258,380,582,497,306,184,67,12,2706,7537,3063,4344,4945,2770,954,400,95,18,24126
