POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
POA2600,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,17,4,23,10,0,6,5,3,4,0,0,0,0,0,0,0,55,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,16,0,0,0,4,6,0,9,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,15,15,12,15,3,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,5,4,6,0,3,0,0,0,16,0,11,7,0,0,0,0,0,0,5,0,0,0,0,0,26,3,7,13,16,19,27,13,7,0,0,3,0,0,0,0,115,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8
POA2601,6,0,4,5,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,5,4,0,0,0,5,0,0,4,0,0,3,0,0,22,0,0,0,0,0,0,6,5,0,0,0,0,7,0,0,30,0,0,0,0,0,3,39,26,3,4,3,8,3,0,3,98,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,4,17,15,8,10,16,13,11,3,0,110,0,0,0,0,0,0,0,3,0,5,8,4,0,0,0,26,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,5,9,4,11,37,17,0,3,0,3,4,3,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,0,3,0,0,22
POA2602,6,3,9,0,7,0,0,67,0,0,0,0,0,9,0,3,9,0,0,0,0,0,0,23,0,3,6,4,15,6,12,8,0,0,0,3,0,0,0,78,7,38,41,12,0,9,3,24,0,4,4,0,0,0,8,151,0,0,0,6,15,14,15,13,0,4,6,0,0,0,0,72,0,0,0,10,19,22,46,44,3,0,0,5,7,0,3,148,0,0,3,5,3,0,3,0,0,0,0,0,0,0,0,18,0,0,19,24,44,22,27,32,7,8,4,8,0,0,6,196,0,0,0,0,0,0,15,48,28,64,56,22,0,0,10,238,0,32,12,16,9,11,15,11,0,0,0,0,9,0,0,115,4,12,47,59,84,59,90,45,5,0,13,8,4,10,15,451,0,0,7,4,3,4,6,0,0,0,0,0,3,0,0,20,0,0,0,0,4,15,17,33,0,6,16,7,4,0,3,101
POA2603,0,3,0,0,0,0,0,35,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,15,0,0,0,4,0,3,9,0,0,0,0,0,0,0,0,21,0,25,29,7,0,0,0,6,0,0,0,0,0,0,0,82,0,0,0,0,3,5,5,0,0,0,0,0,4,0,0,28,0,0,0,0,12,7,6,4,4,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,9,26,8,8,5,0,6,0,3,0,0,0,78,0,0,0,0,0,0,6,15,13,15,25,10,0,0,0,83,5,14,5,0,0,5,4,9,0,0,0,0,0,0,0,38,0,3,10,17,26,21,28,10,0,3,3,0,0,5,6,127,0,0,0,7,4,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,3,4,8,11,0,0,0,0,3,0,0,42
POA2604,0,0,0,0,4,4,0,31,0,0,0,0,0,4,4,18,5,0,0,0,0,0,0,37,0,0,9,5,9,0,3,5,0,0,0,3,0,0,0,35,0,11,17,3,4,3,3,4,0,3,0,7,0,0,0,60,0,0,0,5,4,6,18,10,0,0,0,0,0,0,0,48,0,0,0,7,5,10,17,19,0,0,3,0,0,0,0,63,0,0,0,0,4,3,6,0,5,0,0,0,0,0,0,11,0,0,9,12,15,7,12,10,6,3,4,0,0,0,0,83,0,0,0,0,0,0,7,22,21,36,18,9,0,0,3,112,3,12,5,0,4,5,3,5,0,0,0,4,0,0,0,45,0,4,5,13,29,37,41,16,4,6,3,7,0,0,11,182,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,5,0,15,4,0,3,5,4,0,3,47
POA2605,3,0,4,0,3,0,0,17,0,0,0,0,0,0,0,11,0,0,0,4,5,0,0,22,0,3,3,4,5,3,9,4,0,0,0,0,0,0,0,36,3,31,17,4,0,0,0,0,0,0,0,0,0,0,3,69,0,5,0,0,6,4,8,5,0,0,0,0,0,0,0,39,0,0,0,0,3,7,15,6,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,21,8,14,3,10,0,5,0,3,0,0,93,0,0,0,0,0,0,12,38,26,52,28,7,4,0,0,173,0,16,3,3,0,0,0,3,0,0,0,0,0,0,0,30,6,3,13,36,23,25,42,12,9,0,3,0,0,0,6,179,0,0,4,3,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,13,17,0,10,3,6,0,0,0,43
POA2606,3,5,0,0,0,0,0,28,0,0,0,0,0,4,9,3,0,0,6,0,0,0,0,21,0,3,0,3,0,4,0,6,0,0,0,0,0,0,0,27,0,24,9,11,0,0,4,7,0,0,0,0,0,0,0,68,0,0,0,0,0,8,10,7,0,0,0,0,0,0,0,33,0,0,0,0,5,0,28,24,3,5,3,3,0,0,9,85,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,10,0,0,11,9,17,12,15,22,10,6,3,5,0,0,3,119,0,0,0,0,0,0,26,115,70,169,155,53,16,0,12,619,0,8,8,0,3,0,4,0,0,0,0,6,0,0,0,26,0,4,9,25,23,19,23,4,5,5,4,0,0,5,4,136,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,28,27,9,0,5,3,5,3,0,84
POA2607,0,5,0,3,0,0,0,28,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,10,0,6,4,6,7,3,5,10,0,0,0,0,0,0,0,45,7,38,36,3,3,0,5,0,0,0,0,0,0,0,0,95,0,0,0,0,0,4,7,3,5,0,0,0,0,0,0,21,0,0,0,0,7,7,19,5,3,0,0,0,0,0,0,46,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,16,0,0,6,19,40,13,16,4,0,3,4,0,0,0,0,108,0,0,0,0,0,0,14,61,42,46,47,17,9,0,0,237,3,12,5,3,5,4,0,0,0,0,0,0,0,0,0,36,4,4,18,22,31,33,19,25,6,3,0,9,0,0,3,171,0,0,0,0,15,3,7,0,0,0,0,0,0,0,0,25,0,0,0,0,3,14,13,16,9,11,6,0,3,0,0,72
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,4,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,4
POA2611,0,0,4,0,5,0,0,131,0,0,0,0,4,9,31,9,15,7,8,0,0,0,0,82,0,7,11,4,13,8,14,19,4,0,0,0,0,0,0,85,8,45,55,16,3,4,9,19,0,0,0,0,4,0,4,173,0,0,0,0,11,11,26,10,3,0,0,0,3,0,0,60,0,0,0,5,13,18,66,31,6,5,0,0,3,5,0,156,0,0,0,3,13,0,3,6,0,0,0,0,0,0,0,29,0,6,24,25,43,21,33,44,7,0,9,0,11,13,17,244,0,0,0,0,0,0,73,131,63,85,80,41,10,0,3,491,0,38,3,4,8,3,8,5,0,0,0,0,0,0,3,70,3,6,44,64,67,66,62,43,5,3,4,5,8,0,6,376,0,0,0,3,16,9,4,3,0,0,0,0,0,0,0,30,0,0,0,3,0,11,85,68,10,6,4,7,0,5,3,217
