POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
POA2612,0,3,0,4,8,0,0,58,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,4,5,5,9,9,0,0,0,0,4,0,0,35,4,12,16,5,0,0,9,10,3,0,0,0,0,0,0,61,0,0,0,4,4,14,15,8,3,3,0,4,0,0,0,54,0,0,0,3,10,17,68,37,9,12,8,6,8,0,12,176,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,7,0,5,15,23,12,38,27,6,5,15,15,11,0,3,175,0,0,0,0,5,0,6,12,7,15,22,10,0,0,0,76,3,16,3,0,3,5,6,3,0,3,5,0,0,0,0,39,0,5,9,28,41,55,50,25,8,6,10,0,15,11,3,274,0,0,5,0,0,5,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,12,0,13,4,14,4,7,0,0,4,59
POA2614,0,0,0,3,0,0,0,48,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,18,0,3,7,5,6,3,5,5,0,0,0,3,0,0,0,42,0,50,42,16,3,0,0,3,0,3,0,0,0,0,9,132,0,0,0,5,5,12,14,7,0,4,0,0,0,0,3,46,0,0,0,5,11,3,15,11,0,0,0,0,0,0,5,52,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,8,7,22,26,12,10,9,4,4,0,0,0,0,0,98,0,0,0,0,0,0,8,54,35,44,47,18,6,0,4,220,5,21,9,0,3,4,7,0,0,0,0,0,0,0,3,60,3,9,29,25,40,29,34,20,5,0,3,0,0,0,11,211,0,0,8,6,3,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,14,40,24,11,7,7,0,0,0,109
POA2615,0,5,9,6,0,0,0,67,0,0,0,0,0,6,46,13,8,0,12,0,0,0,0,93,0,0,19,14,23,9,20,23,0,3,0,0,0,0,0,108,4,45,66,29,10,3,8,15,0,0,0,0,0,0,0,183,0,0,0,3,4,8,24,14,0,0,0,0,0,0,0,74,0,0,0,3,16,7,29,18,0,0,8,0,5,0,0,84,0,0,9,0,4,8,16,4,0,6,0,0,0,0,3,41,0,0,27,26,33,32,37,21,3,4,3,0,0,0,0,183,0,0,0,0,0,0,38,70,39,63,30,24,5,0,10,288,0,50,17,7,10,0,4,3,4,3,0,0,0,0,3,106,3,9,32,71,94,87,78,75,8,7,6,4,4,0,9,489,0,0,12,5,3,9,6,3,0,0,0,0,0,0,0,31,0,0,0,0,3,15,90,83,20,15,15,6,3,6,5,259
POA2617,11,12,17,18,9,3,0,169,0,0,0,0,4,0,6,10,6,0,0,4,0,0,0,35,0,0,6,6,4,5,13,13,0,0,0,5,0,0,0,58,0,68,70,29,15,6,4,13,0,3,8,6,0,0,7,235,0,0,0,5,7,14,20,15,0,0,4,4,5,0,0,74,0,0,0,7,16,32,86,105,13,14,17,17,9,0,7,316,0,0,6,12,4,8,6,4,3,4,4,0,5,0,0,52,6,4,11,37,48,13,47,37,23,20,15,12,8,0,4,290,0,0,0,0,0,3,40,168,130,252,187,90,17,0,22,916,0,34,3,6,10,4,14,9,3,0,0,0,0,0,3,84,0,5,20,51,41,62,85,64,9,9,9,6,0,7,12,384,0,0,17,15,3,7,3,0,0,0,0,0,0,0,0,45,0,0,0,3,3,16,46,85,24,25,30,18,15,6,0,278
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2900,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,11,15,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,0,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,36,27,25,17,6,0,0,4,123,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,11,6,8,4,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,20
POA2902,0,5,0,0,0,0,0,17,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,0,0,0,5,10,0,0,5,0,0,0,0,0,0,0,27,0,21,21,8,0,0,6,0,0,0,0,0,0,0,0,57,0,0,0,3,3,5,10,3,0,0,0,0,0,0,0,31,0,0,0,0,4,4,10,7,0,0,0,0,0,0,0,31,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,17,0,3,7,12,20,4,6,4,0,0,0,0,4,0,0,72,0,0,0,0,0,0,15,29,8,22,22,9,0,0,0,107,0,16,9,7,4,0,3,3,0,0,0,0,0,0,0,40,0,6,12,29,36,27,29,22,0,6,0,5,0,0,5,169,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,20
POA2903,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,17,3,16,33,8,3,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,4,7,5,0,0,0,0,0,0,0,16,0,0,0,5,6,4,14,4,0,0,0,0,0,0,0,30,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,13,0,0,5,14,11,3,4,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,9,29,11,7,19,6,8,0,0,80,0,15,4,0,8,0,4,0,0,0,0,0,0,0,0,25,0,0,5,26,20,21,19,7,0,0,0,5,0,0,4,93,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,4,3,3,12,7,0,0,4,0,3,0,0,31
POA2904,0,3,0,0,0,0,0,21,0,0,0,0,4,0,8,15,6,0,0,0,0,0,0,37,0,3,4,4,14,3,6,10,0,0,0,0,0,0,3,48,0,18,21,4,3,3,0,0,0,0,0,0,0,0,5,53,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,19,0,0,0,0,6,7,3,0,0,0,3,0,0,0,0,23,0,0,7,3,14,5,10,0,0,0,0,0,0,0,4,49,0,0,10,15,8,0,6,3,0,0,0,0,0,0,0,57,0,0,0,0,0,0,6,12,4,5,11,3,0,0,0,38,0,21,8,8,6,0,0,0,0,0,0,0,0,0,0,41,0,3,19,25,26,26,22,20,0,3,0,0,0,0,3,131,0,0,3,4,5,0,0,4,0,0,3,0,0,0,0,14,0,0,0,0,0,10,7,11,0,7,0,0,0,0,0,37
POA2905,0,3,0,0,0,0,0,31,0,0,0,0,0,8,34,30,32,3,6,0,0,0,0,117,0,0,3,13,8,3,4,14,0,0,0,3,0,0,0,44,0,15,28,10,4,0,3,6,0,0,0,0,0,0,4,74,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,0,0,0,7,0,13,3,0,0,0,0,0,0,0,27,0,0,4,18,27,6,20,6,0,0,0,0,0,0,0,88,0,6,19,17,42,7,10,6,0,0,0,8,0,0,0,121,0,0,0,0,0,0,14,31,12,23,21,7,4,0,3,115,0,37,12,3,4,0,4,4,0,0,0,0,0,0,0,63,0,0,24,55,76,52,44,25,5,3,7,0,0,0,12,306,0,0,0,8,3,4,0,0,0,0,0,0,0,0,0,21,0,0,0,3,0,7,20,11,0,0,4,0,0,0,0,49
POA2906,0,0,0,0,0,0,0,32,0,0,0,0,5,24,19,0,6,6,0,8,0,0,0,63,0,6,3,4,0,3,3,5,0,0,0,0,0,0,0,26,0,12,16,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,10,0,0,0,3,5,0,8,3,0,0,0,0,0,0,0,25,0,0,11,7,25,4,10,4,0,0,0,0,0,0,0,68,0,0,0,0,0,0,14,24,11,13,8,4,0,0,0,73,5,14,17,4,0,0,0,0,0,0,0,0,0,0,0,43,0,3,12,27,45,33,34,21,4,0,0,0,0,0,4,201,0,3,0,4,0,0,3,3,0,0,0,0,0,0,0,19,0,0,0,0,0,15,19,10,0,0,3,0,0,0,0,57
POA2911,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,11,0,3,7,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,17,18,0,0,0,0,0,0,0,40,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,4,6,6,3,0,6,0,0,0,0,0,0,0,36,0,0,0,0,0,0,11,7,0,6,3,0,0,0,0,37,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,7,6,4,18,0,0,5,0,0,0,0,47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,35,15,9,0,3,0,4,0,4,88
POA2912,0,4,4,10,4,0,0,60,0,0,0,0,3,0,4,4,0,7,3,6,0,0,0,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,10,6,0,0,0,0,0,0,0,17,0,0,0,3,6,17,89,74,13,12,10,22,7,0,4,256,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,10,6,9,8,4,11,3,10,10,0,0,81,0,0,0,0,5,0,21,96,65,107,74,40,0,0,3,418,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,5,5,17,15,24,8,0,0,3,0,0,0,0,81,0,0,0,0,4,3,8,0,0,4,0,0,0,0,0,15,0,0,0,0,0,3,13,54,12,6,14,21,11,0,0,142
