POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,..,54,61,5,4,9,0,3,8,141,..,23,82,74,66,96,128,127,92,690,3,15,14,4,4,6,3,4,0,50,573,414,440,518,543,485,544,296,147,3959,..,3,181,588,718,648,690,340,70,3253,..,49,241,131,83,86,59,14,0,662,..,0,8,42,61,42,26,18,11,201,1078,..,..,..,..,..,..,..,..,1078,..,410,..,..,..,..,..,..,..,410,..,139,83,32,21,10,4,0,0,286,..,16,10,6,11,4,9,4,8,73,..,15,18,4,0,0,3,0,0,40,..,95,129,10,9,12,7,9,4,278,..,43,171,126,127,168,185,166,133,1110,5,19,23,15,15,16,10,6,0,111,1085,783,874,954,1045,977,991,555,228,7497
POA2601,..,85,90,14,0,4,0,0,0,190,..,55,129,53,38,38,21,13,6,362,0,165,20,3,6,7,0,3,0,200,71,429,563,196,135,123,75,30,6,1629,..,7,184,153,140,120,95,35,8,743,..,145,410,90,34,21,10,3,0,707,..,0,4,12,25,8,0,0,0,56,132,..,..,..,..,..,..,..,..,132,..,39,..,..,..,..,..,..,..,39,..,12,11,7,0,0,0,0,0,24,..,25,19,0,0,0,0,3,0,43,..,20,43,5,0,0,0,0,0,64,..,153,200,35,6,8,0,0,0,401,..,100,297,147,107,73,42,18,13,801,4,264,32,10,7,8,3,3,0,337,131,758,1193,448,318,239,160,62,18,3342
POA2602,..,892,571,74,32,40,20,14,4,1656,..,107,395,265,256,426,414,334,210,2406,33,69,87,40,26,36,26,17,9,336,2587,2449,3006,2546,2210,1679,1210,744,375,16809,..,48,1330,2692,2360,1549,1158,611,205,9959,..,379,1545,882,646,438,163,40,9,4103,..,13,85,277,412,226,80,49,65,1204,5353,..,..,..,..,..,..,..,..,5353,..,1465,..,..,..,..,..,..,..,1465,..,560,311,96,74,64,15,0,0,1120,..,143,159,44,37,71,68,54,37,618,..,172,325,65,31,24,7,3,0,624,..,1541,1235,187,100,101,45,18,7,3232,..,182,725,551,535,697,666,456,290,4102,65,118,154,97,50,63,59,29,13,652,5416,4629,5852,4900,4243,3234,2270,1269,625,32430
POA2603,..,66,108,10,4,8,3,3,4,210,..,18,165,97,69,107,103,91,69,714,6,5,14,7,6,8,7,0,5,54,684,529,782,629,697,626,458,245,122,4771,..,7,328,718,926,829,620,308,76,3808,..,74,382,150,135,85,52,6,0,889,..,3,16,53,115,61,10,16,9,277,1390,..,..,..,..,..,..,..,..,1390,..,642,..,..,..,..,..,..,..,642,..,176,126,26,20,16,3,0,0,355,..,32,45,11,8,15,16,18,19,162,..,26,43,0,8,3,0,0,0,84,..,131,259,22,15,15,8,3,4,456,..,54,292,191,154,197,166,129,81,1250,5,21,39,11,13,16,10,4,6,131,1393,1165,1518,1183,1387,1231,889,480,194,9448
POA2604,..,115,190,29,12,26,3,3,0,387,..,67,273,225,149,214,177,116,64,1281,15,28,36,20,5,21,10,0,0,140,791,620,1329,1015,754,702,493,262,98,6057,..,17,492,876,756,662,540,272,40,3650,..,128,828,335,182,130,46,10,3,1659,..,4,35,129,168,83,21,11,17,472,1567,..,..,..,..,..,..,..,..,1567,..,464,..,..,..,..,..,..,..,464,..,200,92,45,20,15,3,0,0,371,..,37,48,22,10,7,21,9,3,161,..,24,55,21,3,6,0,0,0,110,..,199,408,71,26,46,21,3,0,771,..,105,527,419,311,346,275,161,71,2212,30,45,63,33,26,29,18,6,0,244,1591,1217,2545,1951,1496,1322,946,476,140,11678
POA2605,..,28,35,8,8,12,9,4,0,104,..,15,35,47,57,115,129,170,100,664,15,24,15,11,11,10,4,12,0,101,1156,658,604,891,821,698,510,432,174,5941,..,18,440,1230,1092,879,606,414,122,4800,..,54,235,179,161,121,60,26,0,840,..,0,28,87,121,77,33,23,25,395,2363,..,..,..,..,..,..,..,..,2363,..,720,..,..,..,..,..,..,..,720,..,270,166,35,38,26,4,0,0,541,..,34,46,18,13,27,22,19,15,195,..,40,80,18,4,4,0,0,0,143,..,63,104,16,16,21,20,13,5,256,..,23,71,78,126,179,212,235,132,1063,24,35,29,28,20,24,13,21,4,184,2387,1260,1198,1685,1591,1364,972,746,308,11508
POA2606,..,81,147,25,11,9,12,0,0,281,..,59,268,144,137,165,141,144,59,1119,16,20,33,11,9,4,9,5,0,110,819,684,1538,850,679,512,410,337,113,5934,..,67,1061,950,631,500,416,323,101,4061,..,167,584,220,131,62,30,10,5,1214,..,0,35,103,136,60,21,23,11,397,1606,..,..,..,..,..,..,..,..,1606,..,400,..,..,..,..,..,..,..,400,..,197,128,34,31,19,0,0,0,411,..,83,94,30,28,22,27,17,5,302,..,79,172,24,11,9,0,0,0,293,..,155,309,80,33,25,17,4,0,623,..,110,507,310,278,297,219,188,88,2001,25,34,62,29,18,12,17,6,0,206,1627,1302,2945,1788,1301,1005,750,579,215,11504
POA2607,..,36,49,13,17,15,8,15,0,148,..,13,50,45,79,139,194,245,122,904,11,17,10,10,15,7,10,15,0,95,1165,729,790,978,975,896,699,653,214,7095,..,27,616,1225,1199,1089,871,685,159,5871,..,88,289,230,210,148,59,19,6,1051,..,7,29,106,171,100,35,35,19,504,2495,..,..,..,..,..,..,..,..,2495,..,824,..,..,..,..,..,..,..,824,..,379,240,60,50,28,5,0,0,760,..,65,71,32,12,40,28,30,24,296,..,51,84,19,7,9,0,0,0,171,..,80,126,47,39,34,12,19,0,351,..,35,119,97,163,251,293,334,162,1442,23,32,33,22,22,18,16,18,5,191,2519,1574,1598,1834,1876,1706,1324,1136,377,13951
POA2609,..,0,0,0,3,0,0,0,0,11,..,3,3,0,9,14,30,10,3,69,0,0,0,4,0,0,0,0,0,6,49,38,33,38,41,50,49,28,3,331,..,6,21,28,41,39,37,15,0,191,..,3,14,18,10,20,6,0,0,73,..,0,7,7,9,6,5,9,0,32,78,..,..,..,..,..,..,..,..,78,..,20,..,..,..,..,..,..,..,20,..,11,9,0,4,3,0,0,0,30,..,6,3,0,0,0,4,0,0,22,..,7,3,0,4,0,0,0,0,13,..,3,4,4,4,9,5,6,0,34,..,6,15,16,30,46,44,31,6,189,5,0,0,9,4,3,0,0,0,28,80,68,68,77,113,130,102,64,6,704
POA2611,..,130,197,38,19,39,19,12,8,458,..,61,276,171,211,274,400,349,166,1913,38,37,56,22,15,41,18,22,3,251,3572,1807,2816,2975,2243,1608,1477,959,286,17749,..,50,1966,3971,2760,1822,1700,1069,196,13534,..,331,1355,729,514,255,111,38,4,3334,..,24,126,345,455,238,101,65,41,1395,7267,..,..,..,..,..,..,..,..,7267,..,1741,..,..,..,..,..,..,..,1741,..,797,419,168,117,43,11,0,0,1552,..,161,177,43,40,77,96,74,26,691,..,141,234,65,18,15,6,4,0,480,..,243,450,112,66,59,43,17,8,998,..,112,527,360,437,460,587,476,229,3179,80,81,101,54,44,58,42,39,6,503,7347,3678,5352,5839,4445,3034,2686,1781,515,34677
