POA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA2600,223,0,0,0,0,0,0,18,240,212,0,0,0,0,0,0,29,238,204,4,0,0,0,0,0,30,246,162,30,26,10,3,0,0,26,256,89,54,57,20,12,0,0,19,257,72,48,119,35,13,3,0,14,299,68,40,98,39,9,4,0,16,271,57,41,130,49,7,4,0,20,308,42,31,86,52,8,5,6,12,241,53,45,93,50,20,4,0,12,283,51,38,99,53,21,4,5,13,281,51,27,128,73,24,5,0,25,336,20,18,72,52,15,9,3,11,193,13,11,36,35,28,3,0,12,132,18,8,41,37,24,10,3,4,151,1328,403,993,514,180,44,21,254,3734
POA2601,1005,0,0,0,0,0,0,241,1246,953,0,0,0,0,0,0,231,1186,449,5,0,0,0,0,0,59,513,230,20,5,0,0,0,0,21,282,106,26,13,4,0,0,0,18,164,64,8,8,0,0,0,0,10,96,34,14,14,4,0,0,0,3,71,26,15,21,8,3,0,0,0,77,28,10,23,12,3,0,0,3,80,12,8,26,4,0,4,0,0,56,6,9,8,6,6,0,0,0,40,6,10,18,16,6,0,0,3,45,0,4,14,3,0,0,0,0,20,3,3,4,0,0,0,0,0,15,0,0,0,5,0,0,0,4,8,2927,141,152,62,19,4,3,599,3912
POA2602,750,0,0,0,0,0,0,46,803,1613,19,8,0,0,0,0,123,1764,1449,99,23,8,8,0,4,101,1690,924,267,150,32,3,3,0,99,1481,449,324,449,120,15,7,6,56,1430,305,199,492,167,33,7,4,54,1259,230,192,464,181,44,9,4,35,1145,269,197,447,160,47,3,3,41,1168,233,149,330,132,40,8,4,33,929,188,152,297,138,46,15,4,33,868,150,98,230,134,49,12,4,30,697,90,86,219,111,47,13,12,15,592,59,35,160,94,38,14,3,32,440,28,28,110,101,44,28,17,40,399,32,36,114,129,74,23,29,61,497,6769,1885,3492,1519,493,133,93,782,15156
POA2603,301,0,0,0,0,0,0,14,316,239,0,0,0,0,0,0,19,265,412,27,0,0,0,0,0,30,468,240,60,32,7,0,0,0,19,354,139,67,77,31,5,0,0,8,332,79,47,134,45,8,7,0,9,337,65,64,131,69,14,0,0,17,359,54,52,167,63,21,3,0,20,376,59,37,149,84,18,0,0,9,367,55,57,98,61,23,8,4,13,306,32,27,96,63,18,0,0,12,258,35,32,106,53,21,3,0,9,262,25,16,62,38,15,7,8,4,174,9,10,40,39,11,6,0,7,126,27,13,58,53,34,17,17,10,227,1776,508,1154,613,186,48,32,199,4518
POA2604,231,0,0,0,0,0,0,27,254,373,6,0,0,0,0,0,49,435,650,34,13,0,0,0,0,58,761,480,102,47,11,4,0,0,52,694,283,123,127,24,3,5,0,47,603,170,93,151,42,12,5,4,29,500,131,68,140,50,10,4,0,35,440,92,72,130,52,10,4,0,24,391,89,67,152,61,22,6,3,31,421,62,59,118,59,27,4,0,29,358,57,44,89,57,16,6,0,24,294,41,32,75,65,26,9,5,25,270,21,21,73,31,13,0,7,28,193,7,14,38,27,14,8,3,18,120,7,8,34,35,24,12,9,66,195,2681,745,1180,511,167,59,39,534,5915
POA2605,356,0,0,0,0,0,0,17,379,283,4,0,0,0,0,0,20,307,207,27,7,0,6,0,0,23,267,192,81,74,17,4,0,0,17,376,97,98,202,56,5,0,0,13,471,62,64,210,81,27,0,0,21,469,48,49,197,76,13,0,0,13,393,69,58,217,85,18,7,4,16,476,61,58,148,80,21,5,0,13,380,67,37,150,68,21,0,4,11,364,48,49,122,51,21,9,3,11,307,36,32,93,59,13,3,5,13,258,29,18,92,58,30,7,3,18,261,26,17,76,73,36,12,6,9,259,33,33,85,81,57,18,24,22,352,1613,617,1669,793,269,68,46,237,5310
POA2606,217,3,0,0,0,0,0,12,237,438,9,0,0,0,0,0,30,475,714,73,5,0,0,0,0,51,843,411,179,93,14,4,6,0,40,746,221,121,132,32,7,0,0,17,528,103,62,111,34,9,0,3,15,345,106,63,110,43,20,6,0,13,360,82,65,126,42,17,8,0,19,359,77,51,104,51,13,9,0,5,309,45,35,84,42,11,4,0,14,240,33,36,84,53,21,7,0,14,243,29,20,82,39,14,8,0,12,196,19,18,69,53,19,12,0,9,199,11,7,44,41,22,8,9,3,151,9,8,30,30,14,6,16,11,116,2508,762,1078,483,165,70,33,253,5348
POA2607,332,0,0,0,0,0,0,18,354,352,11,0,0,0,0,0,32,399,301,49,17,4,0,0,0,17,388,202,99,83,22,4,0,0,22,427,117,116,189,59,8,0,3,12,508,77,86,202,90,21,11,3,15,505,71,69,242,84,31,4,0,22,533,88,57,192,92,27,9,5,7,480,73,71,208,110,31,11,0,15,519,57,69,149,96,35,9,0,14,424,58,39,131,72,33,3,0,10,351,55,33,148,90,30,10,6,20,400,39,24,173,118,45,15,6,12,430,14,20,81,70,48,17,7,18,274,22,9,70,55,42,18,13,20,254,1867,753,1889,979,352,103,45,258,6249
POA2609,26,0,0,0,0,0,0,9,28,25,0,0,0,0,0,0,15,44,18,0,0,0,0,0,0,15,37,5,4,0,0,0,0,0,8,23,7,3,3,0,0,4,0,0,18,9,3,3,0,3,0,0,4,32,9,3,7,4,0,0,0,12,34,7,4,7,5,0,0,0,4,22,6,4,4,7,7,0,0,4,36,0,5,4,6,0,0,0,17,37,7,0,12,7,0,0,0,9,46,0,6,6,3,3,0,0,3,23,0,0,3,0,3,0,0,9,18,0,0,0,5,0,0,0,3,13,0,0,0,0,0,0,0,0,3,117,48,61,50,25,4,0,104,412
POA2611,835,3,0,0,0,0,0,69,916,864,29,8,0,0,0,0,66,973,1061,171,47,18,3,0,0,81,1387,708,389,292,79,14,3,0,74,1555,368,346,686,174,36,4,5,58,1664,231,239,617,218,46,14,3,39,1417,216,174,525,225,53,22,13,36,1265,211,132,431,182,52,12,8,39,1068,144,139,318,153,51,18,3,38,868,120,109,317,175,64,16,11,32,847,81,76,261,159,50,11,8,36,686,100,80,366,206,97,20,9,39,911,55,54,225,179,79,17,24,35,658,28,32,117,120,55,21,24,28,415,31,46,104,95,47,34,27,38,412,5056,2029,4312,1971,655,186,133,702,15039
