POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2612,2508,4948,10,71,101,442,13,45,691,2478,814,3032,41,180,131,459,130,399,313,1037,1123,4075,0,0,22,60,4,8,141,296,167,360,10,28,63,124,97,205,165,350,329,718,74,149,4035,9884
POA2614,2184,4396,23,126,245,1138,33,162,1446,5505,1752,6932,107,464,215,737,338,1094,669,2295,2424,9227,8,28,55,171,19,70,292,729,375,996,36,106,95,200,284,619,409,929,787,1923,76,158,5466,15701
POA2615,4595,9298,94,510,579,2677,167,759,3758,14519,4589,18466,286,1195,428,1474,920,2993,1635,5665,6224,24134,51,221,179,571,68,252,789,2064,1085,3108,99,321,194,434,760,1663,1054,2419,2134,5524,177,376,13132,39328
POA2617,4646,9346,46,262,291,1314,44,210,2304,8620,2680,10412,143,605,301,1004,542,1756,986,3365,3671,13775,19,79,76,250,25,87,501,1228,616,1643,46,149,141,299,436,945,622,1401,1245,3045,215,450,9771,26614
POA2618,153,300,3,22,26,132,0,17,84,346,120,513,18,81,19,69,49,150,80,305,197,813,0,0,4,6,0,0,3,8,9,17,0,5,3,3,18,39,19,46,26,66,0,6,378,1190
POA2900,601,1207,0,10,9,50,3,20,205,713,224,793,3,12,17,68,41,113,57,191,281,984,0,6,19,38,0,4,91,197,108,249,3,3,34,73,73,157,111,232,219,483,22,50,1126,2720
POA2902,1701,3428,32,189,197,900,44,197,998,3918,1266,5199,90,389,151,550,369,1166,610,2107,1878,7306,16,60,64,202,20,69,291,726,384,1056,31,91,63,130,289,624,373,851,761,1910,65,139,4402,12785
POA2903,1063,2134,18,97,131,621,38,178,684,2651,873,3545,66,260,86,285,195,611,344,1157,1216,4708,10,56,26,85,15,42,138,389,188,566,19,59,48,104,163,356,227,518,409,1082,37,66,2725,7994
POA2904,1482,2960,27,137,152,690,38,149,981,3840,1194,4816,105,455,157,550,340,1109,608,2114,1800,6931,10,34,44,124,23,67,153,409,223,642,17,70,49,108,221,480,294,658,513,1294,36,82,3832,11269
POA2905,2736,5519,66,355,375,1760,91,407,2031,7807,2556,10329,181,761,279,941,805,2627,1269,4335,3821,14660,13,63,125,426,50,188,513,1326,704,2007,76,245,126,267,507,1120,710,1625,1413,3627,116,237,8085,24049
POA2906,1695,3426,33,186,217,960,79,352,1284,5003,1610,6501,147,657,228,762,524,1744,899,3155,2508,9658,11,62,62,222,29,103,344,880,452,1275,47,135,88,193,314,694,446,1024,897,2294,47,96,5150,15474
POA2911,427,858,3,21,64,297,12,45,548,2080,625,2441,23,101,49,163,59,198,134,456,760,2898,0,0,6,21,0,8,77,167,86,199,5,10,18,35,21,39,39,85,122,281,11,27,1325,4065
POA2912,958,1933,13,72,91,406,14,58,601,2217,720,2755,39,160,89,304,111,359,241,835,961,3584,9,30,21,63,0,7,119,273,152,373,12,36,31,67,93,195,137,300,280,674,53,114,2254,6305
POA2913,3646,7344,65,344,483,2179,96,449,3527,13473,4172,16446,275,1145,492,1694,687,2237,1453,5079,5618,21530,14,83,107,338,28,88,652,1597,800,2107,69,232,143,306,449,987,663,1528,1462,3630,141,315,10873,32814
POA2914,2423,4884,83,442,621,2795,84,391,3721,14390,4502,18013,198,858,435,1528,427,1392,1061,3779,5558,21794,18,88,110,366,26,92,521,1316,678,1858,54,168,126,283,264,582,436,1035,1112,2889,118,252,9206,29818
