POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA2612,1697,4754,240,481,905,1915,1138,2394,675,1105,1438,2418,1688,2850,1526,2604,3,9,5332,8983,0,0,0,0,0,0,0,5,0,5,15,31,8191,16164,1430,..,9622,16164
POA2614,5689,15478,1091,1966,299,722,1394,2688,489,879,79,135,166,285,0,0,12,21,738,1323,0,0,0,0,0,0,0,0,0,0,7,10,7830,19500,507,..,8342,19500
POA2615,14580,40669,1987,3913,300,698,2289,4618,146,255,129,220,0,0,0,0,11,19,279,497,0,0,0,0,0,0,0,0,0,0,15,53,17164,45824,862,..,18026,45824
POA2617,7134,20189,897,1726,2270,5393,3166,7124,391,905,709,1244,2140,3771,938,1735,21,63,4196,7716,0,0,0,0,0,0,0,0,0,0,14,30,14514,35058,1054,..,15570,35058
POA2618,409,1273,15,20,3,3,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,434,1323,57,..,496,1323
POA2900,68,157,349,684,364,830,709,1510,157,360,157,277,549,905,459,756,0,0,1320,2300,0,0,0,0,0,0,0,0,0,0,3,11,2107,3984,245,..,2349,3984
POA2902,4953,13386,662,1221,111,234,777,1456,80,94,15,16,0,0,0,0,19,38,114,149,0,0,0,0,0,0,0,0,0,0,4,8,5852,15003,290,..,6138,15003
POA2903,3159,8651,174,305,147,256,319,554,15,22,0,0,0,0,0,0,5,14,23,41,0,0,0,0,0,0,0,0,0,0,0,0,3505,9244,170,..,3670,9244
POA2904,4398,12065,178,311,124,262,305,578,14,27,29,41,0,0,0,0,0,9,50,76,0,0,0,0,0,0,0,0,0,0,10,12,4757,12732,200,..,4961,12732
POA2905,8800,24559,873,1677,397,898,1263,2580,222,450,0,0,0,0,0,0,16,39,240,487,0,0,0,0,0,0,0,0,0,0,5,7,10307,27631,431,..,10741,27631
POA2906,4802,14138,1148,2375,186,432,1332,2810,251,507,0,0,0,0,0,0,0,3,257,511,0,0,0,0,0,0,0,0,0,0,4,5,6393,17465,212,..,6607,17465
POA2911,1170,3705,20,57,244,536,261,594,45,74,89,148,119,157,0,0,6,9,250,386,0,0,0,0,0,0,0,0,0,0,0,0,1689,4693,66,..,1757,4693
POA2912,1142,3703,41,102,522,1446,559,1550,21,41,196,348,687,1352,593,1216,0,0,1498,2956,0,3,0,0,0,0,0,12,3,14,19,30,3225,8256,304,..,3534,8256
POA2913,9482,28455,1915,4165,1394,3455,3305,7619,59,116,590,1188,350,735,0,0,6,8,1007,2050,0,0,0,0,0,0,0,0,0,0,21,55,13809,38177,619,..,14426,38177
POA2914,7765,25990,448,1118,1509,4008,1957,5126,76,161,453,1041,599,1211,0,0,0,0,1119,2418,0,0,0,0,0,0,0,0,0,0,12,28,10857,33554,376,..,11233,33554
