POA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
POA2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,15,0,0,4,10,5,7,3,3,0,0,0,0,5,5,0,49,0,3,5,0,8,18,54,17,5,5,7,11,0,0,0,132,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,4,0,0,0,0,0,3,0,0,0,11,7,17,9,5,5,5,10,0,4,3,0,0,0,0,0,62,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,8,11,3,4,0,3,0,0,4,0,0,36,0,0,5,15,16,38,43,34,0,7,3,5,4,0,4,177,0,0,0,5,0,0,0,7,4,0,0,0,9,0,0,31,0,0,0,0,9,3,5,4
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,0,0,6,4,7,0,0,35,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,6,26,92,207,112,133,164,112,64,9,7,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,4,4,0,0,3,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,5,14,13,11,4,8,8,5,9,0,4,86,0,0,0,0,3,14,59,41,14,18,23,46,31,0,3,257,0,0,0,0,4,4,7,8,0,8,10,3,5,0,0,53,0,0,0,0,4,0,5,4
POA2602,0,0,0,0,5,3,15,20,0,0,0,0,3,0,0,47,0,0,0,0,0,8,20,26,0,7,3,0,8,0,0,83,0,4,13,18,16,40,26,21,0,10,0,4,0,4,4,166,0,0,0,6,32,85,162,205,70,71,58,50,21,0,21,786,0,17,41,16,5,12,3,6,0,0,0,0,0,0,0,98,0,0,0,0,0,0,7,0,7,4,0,0,0,0,0,20,0,3,0,0,12,8,4,5,7,0,0,0,0,0,0,51,19,51,20,12,15,28,37,16,9,6,0,10,0,0,11,237,0,21,49,15,0,0,0,3,0,0,0,0,0,0,4,105,0,0,4,13,26,22,18,12,6,8,10,6,0,4,0,135,0,0,9,20,17,60,144,103,37,54,54,49,14,3,10,584,0,0,0,0,14,10,28,34,9,19,16,11,26,0,5,164,0,0,0,0,3,10,7,18
POA2603,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,5,14,4,0,3,0,0,0,0,0,31,0,0,0,3,7,8,6,7,0,0,0,8,0,0,0,50,0,0,0,0,13,20,55,42,11,15,10,6,9,0,0,189,0,0,5,5,0,6,0,0,0,0,0,0,0,0,0,18,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,18,14,6,4,7,3,4,8,3,0,0,0,6,6,0,0,68,0,10,17,0,3,0,0,0,0,0,0,0,0,0,0,39,0,4,0,0,12,5,8,12,0,0,3,0,0,0,0,51,0,3,6,16,15,18,68,65,13,12,5,3,8,0,3,230,4,0,3,0,0,0,4,5,0,3,4,0,0,0,0,35,0,0,0,0,3,8,11,4
POA2604,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,5,11,8,8,0,6,0,0,0,0,35,0,0,3,5,12,10,13,6,3,8,5,4,0,0,0,60,0,0,3,3,9,28,60,34,12,6,9,12,4,0,8,175,0,5,6,4,0,0,4,6,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,5,7,6,0,0,0,0,0,0,0,6,20,6,12,0,6,8,7,19,3,0,0,0,0,0,0,0,72,0,7,3,3,3,3,0,0,0,0,0,0,0,0,0,26,0,0,0,6,23,11,9,6,0,4,0,0,0,0,0,69,3,0,3,0,9,20,87,52,10,17,36,20,4,4,5,262,0,0,0,0,0,0,6,0,3,0,4,0,0,0,5,35,0,0,0,0,4,4,3,8
POA2605,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,7,5,0,0,0,0,0,0,34,0,0,3,14,6,3,11,16,0,0,8,0,8,0,0,65,0,0,4,6,17,22,50,34,14,15,3,4,0,0,3,175,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,4,9,5,5,0,0,0,0,0,0,0,0,24,14,26,13,6,3,5,7,3,0,0,0,0,0,0,5,77,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,3,7,4,8,4,0,0,0,0,0,0,0,38,5,8,4,11,13,32,131,104,30,21,37,26,8,11,4,432,0,0,5,0,0,3,8,8,0,0,0,4,5,0,0,32,0,0,0,0,3,3,0,4
POA2606,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,20,0,0,0,0,0,11,19,22,3,3,0,3,0,0,0,69,0,0,0,3,7,7,9,0,0,3,0,0,0,0,0,32,0,6,0,5,23,44,75,61,15,18,10,20,9,6,8,279,0,4,10,7,0,4,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,4,6,0,7,0,0,0,0,0,14,0,0,0,3,6,6,5,0,0,0,0,0,0,0,0,27,13,18,7,0,8,3,0,3,0,0,0,0,0,0,0,63,0,8,16,5,4,0,0,7,0,0,0,0,0,0,3,49,0,0,0,3,8,13,6,14,0,0,0,0,0,0,0,56,0,0,3,13,21,31,110,185,58,65,82,58,30,10,8,664,0,0,0,0,4,5,8,9,0,0,7,3,0,0,0,30,0,0,0,0,0,0,4,13
POA2607,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,16,0,0,0,0,4,6,11,12,5,8,0,0,0,0,0,51,0,0,5,11,5,3,8,16,0,0,4,0,0,0,0,56,3,9,0,5,24,46,74,38,0,3,6,0,4,0,3,228,4,3,16,0,0,4,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,4,15,5,10,0,0,0,0,0,0,0,0,39,23,27,8,6,9,6,3,0,0,0,0,0,0,0,0,83,0,16,24,6,0,0,0,0,0,0,0,0,0,0,5,62,0,0,8,11,16,8,8,10,0,4,0,0,4,0,3,75,0,3,9,10,35,43,155,119,22,40,28,40,15,3,15,544,0,0,0,3,3,3,4,6,0,0,0,0,0,0,0,38,0,0,3,0,4,3,3,4
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,0,0,0,8,11,4,0,3,0,0,0,3,0,28,0,0,0,3,8,23,79,25,8,5,4,6,5,0,0,161,0,4,10,15,10,13,32,18,0,5,5,0,8,0,4,126,0,0,5,5,54,71,205,147,40,30,21,32,3,4,8,635,0,12,56,9,3,9,4,0,0,0,0,0,0,0,7,99,3,0,4,4,6,4,6,5,3,0,0,0,0,0,0,34,0,0,0,0,12,11,17,12,0,0,0,0,0,4,11,76,35,45,21,13,16,21,10,13,0,4,4,5,0,0,10,193,0,16,25,8,0,0,3,9,0,0,0,0,0,0,4,67,0,0,6,7,36,28,30,36,3,4,3,6,4,0,3,156,6,0,11,24,32,107,578,494,91,77,85,80,32,13,25,1650,0,6,6,5,4,12,19,5,3,0,0,4,5,14,0,87,0,0,4,3,24,21,34,29
