POA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA2600,0,0,0,0,201,201,0,0,0,0,210,210,81,9,7,0,395,489,285,10,32,0,145,482,404,14,50,0,84,555,389,17,70,9,68,547,407,13,50,14,25,514,236,0,20,23,6,291,49,0,5,29,6,88,1857,67,240,73,1138,3370,0,0,0,0,240,240,3,0,0,0,237,238,116,7,10,0,368,502,349,14,37,0,156,557,399,18,52,8,100,587,352,10,86,12,64,526,415,5,79,75,39,616,165,8,33,114,5,328,24,0,8,113,9,151,1826,65,310,320,1213,3734,0,0,0,0,438,438,3,0,0,0,443,448,200,14,20,0,763,989,638,22,70,0,305,1033,804,37,103,11,190,1138,744,31,155,15,126,1072,826,21,130,88,66,1126,403,10,58,138,14,610,75,0,13,141,9,238,3681,132,548,395,2351,7110
POA2601,0,0,0,0,813,813,0,0,0,0,1072,1078,127,4,6,0,790,927,105,12,21,0,185,319,101,12,30,0,55,205,88,9,24,6,16,138,63,7,15,3,10,98,27,0,0,6,0,39,3,0,0,9,0,10,519,40,98,22,2938,3619,0,0,0,0,1246,1246,8,0,0,0,1180,1186,148,5,9,0,633,800,98,5,21,3,134,258,87,12,28,0,27,156,81,0,28,7,17,137,56,3,11,13,8,87,17,0,8,13,0,35,0,0,3,7,0,8,493,28,111,38,3246,3912,0,0,0,0,2065,2065,5,0,0,0,2252,2262,271,7,16,0,1428,1718,197,21,34,3,323,582,190,26,57,0,79,355,170,8,53,7,28,277,124,8,29,12,17,184,40,0,7,18,0,71,3,0,3,5,0,23,1007,66,209,52,6185,7527
POA2602,0,0,0,0,856,861,28,0,0,0,1378,1408,704,28,34,0,2256,3025,1457,59,123,3,865,2507,1256,100,207,6,567,2133,910,70,250,15,438,1689,702,40,176,51,206,1180,384,14,81,60,55,595,173,7,22,124,11,332,5616,316,891,258,6636,13720,0,0,0,0,796,803,48,0,7,0,1715,1764,890,32,51,0,2202,3171,1527,96,191,10,865,2690,1282,102,272,30,629,2309,820,66,353,90,456,1798,627,54,277,166,166,1287,316,18,151,306,45,838,94,4,61,329,10,497,5602,379,1359,930,6883,15156,3,0,0,0,1656,1658,75,4,7,0,3089,3175,1591,67,81,0,4451,6192,2984,154,310,16,1729,5195,2539,201,475,37,1198,4445,1734,133,601,108,897,3480,1328,88,461,215,375,2473,704,35,227,364,98,1434,263,15,84,449,21,828,11218,699,2249,1193,13523,28876
POA2603,0,0,0,0,375,375,3,0,0,0,318,326,173,9,10,0,602,788,349,19,32,0,185,585,509,29,71,0,117,731,464,29,58,5,91,648,358,10,54,16,42,485,210,7,10,26,14,265,62,0,10,20,6,97,2137,103,254,72,1740,4302,0,0,0,0,316,316,16,0,0,0,251,265,206,3,26,0,588,825,423,19,41,3,179,666,483,44,76,5,122,734,463,22,103,19,71,670,349,11,75,43,36,513,148,5,30,106,12,301,38,0,12,165,8,227,2125,105,358,345,1581,4518,0,0,0,0,693,693,21,0,0,0,574,592,376,12,36,0,1184,1613,771,44,80,3,358,1251,996,74,147,14,238,1463,929,47,161,23,162,1323,709,23,125,65,74,999,365,4,42,127,21,563,98,0,19,188,20,326,4264,208,610,419,3326,8817
POA2604,0,0,0,0,264,264,5,0,0,0,365,376,245,8,30,0,1055,1343,497,33,79,0,422,1029,452,52,96,0,202,807,411,33,116,9,122,699,359,18,80,24,67,546,185,5,24,30,11,266,38,3,3,40,0,84,2200,145,424,110,2528,5412,0,0,0,0,254,254,16,0,0,0,420,435,340,24,27,0,1062,1456,506,48,93,6,447,1104,438,44,119,19,204,829,397,27,203,21,126,776,306,17,121,60,57,562,138,3,53,111,11,312,26,3,23,146,4,195,2158,166,638,360,2591,5915,0,0,0,0,520,520,22,0,0,0,790,806,588,36,59,3,2120,2800,1004,80,170,6,875,2132,895,96,213,22,408,1632,809,58,322,33,253,1476,664,36,199,81,129,1110,325,8,75,142,22,575,65,7,23,188,5,280,4361,317,1063,474,5120,11329
POA2605,0,0,0,0,311,311,10,0,0,0,309,320,206,9,8,0,403,632,641,18,24,0,152,838,568,23,59,0,164,822,509,26,63,3,116,713,350,17,76,24,61,522,258,10,29,45,22,368,108,0,12,77,6,194,2661,102,268,143,1548,4724,0,0,0,0,379,379,21,0,0,0,291,307,304,14,10,0,314,642,681,32,60,5,169,943,595,26,103,13,134,872,460,26,118,31,110,740,340,13,102,64,55,567,222,9,66,194,30,519,47,0,25,246,23,352,2667,108,479,560,1498,5310,0,0,0,0,688,688,33,0,0,0,599,627,511,21,20,0,719,1268,1322,47,85,6,325,1782,1168,54,161,14,299,1697,964,51,177,37,228,1452,688,23,178,88,115,1094,482,16,99,242,53,886,159,0,34,322,24,547,5326,212,752,706,3049,10034
POA2606,0,0,0,0,223,223,23,0,0,0,407,427,580,13,21,0,857,1472,568,30,59,3,323,983,321,43,96,5,194,654,294,38,76,7,125,541,227,22,52,19,34,353,199,6,19,29,18,266,76,0,9,29,0,108,2294,147,340,84,2179,5036,0,0,0,0,237,237,71,0,0,0,404,475,696,15,36,0,843,1592,479,30,71,9,285,873,377,46,129,7,163,719,277,25,119,28,98,545,232,12,84,63,40,441,166,6,47,117,14,354,37,0,8,73,0,116,2335,146,494,297,2078,5348,0,0,0,0,458,458,94,0,3,0,809,910,1272,31,56,3,1695,3058,1047,60,130,11,605,1857,701,87,222,14,355,1379,576,63,193,29,223,1079,461,35,141,87,71,797,366,15,69,143,33,620,112,0,18,95,0,225,4630,286,831,382,4251,10386
POA2607,0,0,0,0,476,478,10,0,0,0,390,397,333,6,11,0,515,857,617,26,27,0,214,889,652,37,90,3,166,947,598,29,110,4,138,877,502,20,68,28,53,668,405,8,49,49,9,531,127,0,8,48,8,203,3238,131,356,141,1978,5847,0,0,0,0,354,354,30,0,0,0,371,399,394,7,17,0,406,823,695,40,70,7,208,1016,632,51,144,14,173,1012,599,30,167,28,115,950,448,15,130,104,51,748,354,11,78,242,20,702,61,0,16,172,8,254,3201,154,628,563,1701,6249,0,0,0,0,829,835,37,0,0,0,754,796,726,13,25,0,921,1680,1313,66,98,7,422,1905,1285,85,232,14,336,1957,1195,55,275,37,256,1826,950,35,197,132,100,1417,759,20,126,292,39,1229,182,6,24,223,14,453,6448,287,979,706,3672,12090
POA2609,0,0,0,0,28,28,0,0,0,0,63,64,8,0,0,0,84,97,24,13,10,0,38,82,20,14,15,0,48,100,36,5,57,0,32,126,26,7,21,6,8,70,15,3,13,9,3,41,0,0,0,3,0,9,131,50,122,14,307,628,0,0,0,0,28,28,0,0,0,0,39,44,18,0,0,0,37,58,20,5,11,0,13,48,23,10,8,7,14,58,29,9,12,8,11,70,24,8,25,12,6,71,7,0,10,13,0,31,0,0,0,0,0,3,122,32,75,40,147,412,0,0,0,0,59,59,5,0,0,0,98,104,32,3,0,0,115,153,42,19,23,0,54,132,45,21,26,7,61,161,62,20,69,8,43,204,48,14,48,14,17,138,21,6,26,20,9,79,0,0,4,7,0,10,255,80,198,53,458,1042
POA2611,0,0,0,0,1002,1002,24,0,0,0,925,948,933,29,40,0,1667,2675,2103,66,116,5,686,2977,1482,86,257,8,443,2273,1004,51,198,20,238,1506,963,31,167,61,94,1314,677,32,96,86,29,915,171,6,26,88,10,294,7352,303,896,262,5089,13903,3,0,0,0,911,916,52,6,0,0,915,973,1300,39,41,4,1564,2943,2107,116,192,4,655,3083,1415,120,338,26,430,2331,1031,67,294,89,233,1712,919,46,290,235,104,1601,507,13,171,341,36,1078,78,4,41,274,15,412,7405,412,1372,974,4868,15039,3,0,0,0,1915,1918,77,5,0,0,1837,1918,2238,67,83,6,3228,5620,4210,186,310,9,1342,6062,2896,209,595,36,876,4606,2036,118,486,111,475,3219,1878,78,455,294,202,2909,1182,45,264,426,66,1996,248,14,63,362,23,702,14757,714,2274,1237,9959,28945
