POA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA2600,3911,4348,8255,151,161,315,389,447,838,201,240,438,210,238,448,489,502,989,482,557,1033,555,587,1138,547,526,1072,514,616,1126,291,328,610,88,151,238,3694,4144,7838,214,206,421,42,38,79,3,5,4,4,3,6,47,45,91,2638,2896,5535,1032,1191,2219,3050,3294,6340,617,792,1415,3456,3823,7281,62,57,119,372,425,801,169,215,380,102,125,226,189,249,436,2731,2895,5626,113,151,261,201,305,502,56,93,149,43,59,100,5,8,9,3563,4004,7568,448,435,885
POA2601,3689,3992,7680,31,40,79,35,38,76,813,1246,2065,1078,1186,2262,927,800,1718,319,258,582,205,156,355,138,137,277,98,87,184,39,35,71,10,8,23,3461,3660,7121,230,333,560,23,45,73,0,3,3,0,0,4,26,48,71,1834,1931,3766,1393,1500,2890,2081,2158,4238,1135,1266,2402,2398,2524,4923,11,4,18,34,30,66,659,1016,1670,797,843,1639,407,368,784,3007,3228,6243,44,28,75,62,70,131,16,8,26,0,5,7,7,7,10,1611,1456,3067,2363,2685,5043
POA2602,16679,17855,34540,921,823,1738,2040,1882,3926,861,803,1658,1408,1764,3175,3025,3171,6192,2507,2690,5195,2133,2309,4445,1689,1798,3480,1180,1287,2473,595,838,1434,332,497,828,15947,17103,33043,734,761,1495,260,259,515,5,6,16,12,14,22,282,274,555,11752,12411,24158,4309,4858,9170,12797,13607,26396,3215,3591,6807,14373,15500,29872,285,262,549,1982,1816,3800,731,681,1412,821,1118,1931,1117,1519,2635,10929,12112,23038,496,455,956,1004,1146,2154,367,398,769,261,356,612,64,85,152,15636,16805,32440,890,876,1766
POA2603,5071,5235,10306,173,179,350,598,535,1137,375,316,693,326,265,592,788,825,1613,585,666,1251,731,734,1463,648,670,1323,485,513,999,265,301,563,97,227,326,4856,5037,9896,217,196,407,44,38,78,0,4,6,4,0,7,44,42,87,3610,3577,7191,1303,1492,2789,3917,3898,7817,979,1151,2130,4569,4631,9200,56,68,124,563,513,1077,324,289,607,175,139,310,272,357,635,3508,3576,7083,178,196,376,290,353,642,89,125,217,58,78,133,8,16,27,4719,4816,9541,508,566,1076
POA2604,6283,6757,13034,265,295,562,605,542,1145,264,254,520,376,435,806,1343,1456,2800,1029,1104,2132,807,829,1632,699,776,1476,546,562,1110,266,312,575,84,195,280,5990,6432,12425,286,323,609,109,118,228,0,0,3,6,4,11,113,122,240,4195,4444,8639,1604,1819,3426,4519,4855,9373,1225,1369,2597,5295,5708,11000,86,70,159,552,507,1062,220,203,426,150,175,318,416,533,945,4167,4529,8690,194,182,374,410,484,895,98,129,225,64,105,172,17,17,35,5632,6063,11689,719,767,1491
POA2605,5988,6502,12488,311,306,620,953,883,1837,311,379,688,320,307,627,632,642,1268,838,943,1782,822,872,1697,713,740,1452,522,567,1094,368,519,886,194,352,547,5758,6246,12002,230,252,485,64,57,126,0,0,0,3,4,8,74,61,133,4206,4468,8672,1592,1819,3409,4636,4984,9623,1164,1293,2454,5307,5762,11065,116,114,229,931,852,1784,270,335,597,168,184,355,265,308,575,3777,4036,7816,155,206,360,396,537,935,128,154,281,68,128,198,8,25,36,5586,5955,11536,643,764,1405
POA2606,5872,6198,12071,333,323,654,495,530,1032,223,237,458,427,475,910,1472,1592,3058,983,873,1857,654,719,1379,541,545,1079,353,441,797,266,354,620,108,116,225,5630,5962,11584,245,240,485,72,97,175,9,4,9,6,9,14,89,105,190,3429,3546,6978,2185,2453,4637,3681,3763,7445,1915,2186,4100,4508,4774,9278,68,73,147,478,505,981,185,192,378,176,204,382,433,556,989,3974,4215,8185,192,174,371,392,474,867,110,119,235,84,116,197,30,36,66,5570,5939,11506,251,223,466
POA2607,7258,7459,14717,392,321,712,1019,893,1918,478,354,835,397,399,796,857,823,1680,889,1016,1905,947,1012,1957,877,950,1826,668,748,1417,531,702,1229,203,254,453,6965,7197,14166,289,266,553,108,103,207,4,3,8,0,4,6,113,109,225,4977,4977,9955,2003,2244,4251,5381,5424,10798,1575,1780,3357,6334,6546,12882,114,87,201,980,864,1840,401,305,705,217,222,435,289,411,691,4391,4692,9083,288,226,517,599,707,1306,158,200,363,114,142,254,24,36,57,6889,7128,14016,226,222,447
POA2609,668,467,1136,11,14,23,34,41,68,28,28,59,64,44,104,97,58,153,82,48,132,100,58,161,126,70,204,70,71,138,41,31,79,9,3,10,630,453,1083,42,13,57,13,17,31,0,0,0,0,0,0,14,15,31,363,260,623,110,89,200,416,283,703,61,67,133,449,324,766,0,10,8,25,33,61,13,17,34,26,14,41,33,24,52,250,167,415,34,28,52,106,70,175,31,31,52,24,14,38,0,4,4,357,333,696,338,175,507
POA2611,17806,18734,36535,1250,1195,2453,2647,2496,5143,1002,916,1918,948,973,1918,2675,2943,5620,2977,3083,6062,2273,2331,4606,1506,1712,3219,1314,1601,2909,915,1078,1996,294,412,702,17232,18152,35382,576,582,1153,265,249,510,16,12,28,13,11,25,291,274,566,12311,12722,25033,4891,5403,10294,12937,13519,26460,4228,4550,8779,15733,16483,32214,357,376,735,2541,2408,4949,830,775,1602,428,462,887,894,1156,2048,10590,11268,21859,598,590,1184,1371,1642,3015,407,475,882,272,324,597,43,56,105,16961,17802,34762,633,770,1406
