POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2600,..,1108,1108,1178,76,1254,390,23,416,403,9,418,135,3,135,54,0,57,2163,1229,3392
POA2601,..,799,799,649,151,796,113,35,144,44,6,45,5,0,5,0,0,0,809,984,1799
POA2602,..,4103,4103,3876,520,4402,1794,427,2222,1917,168,2089,618,46,661,189,19,204,8389,5289,13683
POA2603,..,1250,1250,1338,142,1477,527,34,559,536,16,544,207,3,215,65,0,67,2670,1448,4119
POA2604,..,2208,2208,1816,277,2091,650,59,712,516,15,533,143,8,149,47,0,48,3173,2569,5745
POA2605,..,1062,1062,1304,64,1370,651,28,677,884,11,890,311,6,314,95,0,95,3244,1168,4411
POA2606,..,2001,2001,1562,173,1735,681,70,749,573,14,584,186,8,192,90,0,88,3079,2265,5347
POA2607,..,1439,1439,1751,99,1852,832,31,857,925,17,941,322,0,327,143,0,145,3977,1592,5570
POA2609,..,191,191,89,13,100,33,0,32,23,0,23,8,0,8,9,0,9,161,208,371
POA2611,..,3182,3182,4069,295,4362,2165,97,2263,2419,30,2452,886,5,888,317,3,318,9855,3610,13463
POA2612,..,3185,3185,2576,627,3203,723,264,987,480,90,571,168,31,195,49,5,56,3990,4205,8191
POA2614,..,2136,2136,2320,196,2519,1191,84,1280,1236,34,1270,425,20,435,181,8,183,5353,2474,7830
POA2615,..,3814,3814,5122,344,5466,2911,100,3011,3077,35,3113,1190,8,1198,552,8,563,12857,4308,17164
POA2617,..,3840,3840,4700,603,5296,2036,338,2377,1869,116,1990,662,27,690,293,26,319,9560,4950,14514
POA2618,..,64,64,136,8,144,67,0,67,86,0,86,48,0,48,27,0,27,363,70,434
POA2900,..,916,916,693,62,758,243,17,257,129,4,134,35,0,38,13,0,13,1111,997,2107
POA2902,..,1387,1387,1910,110,2018,933,26,956,936,3,941,387,0,392,147,3,156,4321,1534,5852
POA2903,..,768,768,1128,55,1184,589,13,598,588,3,595,242,0,247,111,0,116,2658,843,3505
POA2904,..,930,930,1618,54,1672,771,14,782,891,7,897,343,0,345,135,0,136,3754,1005,4757
POA2905,..,2194,2194,3087,173,3260,1871,50,1917,1842,14,1851,730,5,737,345,0,345,7881,2429,10307
POA2906,..,1299,1299,1868,82,1943,1174,15,1187,1273,7,1275,459,0,459,220,0,220,4997,1398,6393
POA2911,..,327,327,450,28,483,303,20,315,384,9,392,120,0,120,49,0,45,1303,383,1689
POA2912,..,814,814,919,122,1034,526,43,571,489,31,521,167,16,179,95,16,105,2192,1034,3225
POA2913,..,2748,2748,3742,297,4043,2585,116,2698,2701,57,2759,1065,24,1087,462,4,466,10561,3247,13809
POA2914,..,1538,1538,2426,202,2628,2116,96,2209,2786,44,2834,1114,23,1132,499,15,513,8944,1916,10857
