POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2600,66,96,57,39,40,22,9,339,30,38,30,13,31,6,3,164,37,49,24,21,25,16,3,170,137,158,98,66,99,59,32,650,0,0,0,0,0,0,0,5,275,350,210,139,202,105,53,1324,5,0,0,6,3,0,0,22,0,4,4,7,8,0,0,24,0,3,3,5,5,0,0,18,8,21,16,8,24,9,4,100,0,0,0,0,0,0,0,5,12,33,23,29,37,9,6,159,292,383,240,163,238,114,60,1483
POA2601,30,17,10,3,0,0,0,64,0,0,3,0,0,0,0,9,14,3,0,0,0,0,0,18,15,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,60,31,14,3,5,3,0,116,4,4,4,0,4,0,5,22,0,4,0,0,4,0,0,7,0,0,0,0,0,5,0,9,3,0,3,4,5,4,0,12,0,0,0,0,0,0,0,0,4,6,3,9,12,12,5,55,64,38,18,9,12,16,6,169
POA2602,292,328,195,110,143,57,30,1164,169,198,115,72,106,33,16,706,205,207,121,71,94,46,22,766,813,869,496,328,394,151,61,3115,0,0,0,4,3,0,0,7,1475,1609,930,581,741,290,128,5753,28,64,36,27,38,16,12,222,30,29,39,18,36,7,3,168,4,26,15,5,21,14,3,87,79,130,99,93,111,32,21,559,10,5,4,0,0,0,0,24,153,250,195,150,201,71,37,1057,1629,1865,1125,734,939,356,164,6813
POA2603,74,113,70,53,86,30,13,442,35,49,36,21,38,20,13,216,47,44,45,24,28,17,8,214,151,214,149,119,163,72,42,909,0,0,0,0,0,0,0,0,303,421,302,220,311,140,75,1779,4,11,12,9,21,6,9,68,5,13,3,5,11,5,0,42,0,6,3,7,6,5,3,30,12,18,18,11,30,11,3,113,3,0,0,0,0,0,0,3,27,53,38,23,70,31,18,253,330,476,337,243,378,174,90,2025
POA2604,103,103,73,55,55,24,12,431,52,41,23,14,27,7,4,169,63,54,36,31,28,10,7,232,235,186,119,69,94,44,26,767,0,0,0,0,0,0,0,3,456,390,249,163,207,88,53,1603,7,23,18,14,21,7,5,102,11,11,14,9,13,5,0,60,5,9,10,0,13,0,0,45,30,63,39,27,33,11,3,207,3,0,0,0,0,0,0,9,69,108,79,52,81,29,18,429,525,497,324,216,285,118,64,2033
POA2605,151,204,111,52,46,28,12,617,71,75,61,36,33,14,12,300,62,94,77,32,42,24,9,340,277,409,238,153,232,96,59,1472,3,3,0,0,0,0,0,10,567,790,494,277,357,159,92,2737,11,19,12,12,19,6,0,72,7,12,4,9,5,4,0,44,0,9,9,3,9,10,0,37,14,37,38,27,26,17,8,178,4,3,5,0,0,0,0,14,33,80,72,55,59,37,11,339,595,872,559,328,414,198,105,3078
POA2606,302,199,90,49,49,35,26,747,32,32,16,12,34,6,4,131,49,30,22,16,19,0,3,146,186,156,119,69,80,32,18,656,4,0,0,0,0,0,0,9,569,417,254,148,177,78,46,1689,12,13,12,5,21,13,0,91,9,9,3,4,6,0,4,32,0,7,3,7,7,0,0,32,25,35,37,20,28,4,6,156,4,3,0,0,0,0,0,7,52,66,59,37,61,25,12,314,625,486,307,182,240,99,60,2007
POA2607,182,226,133,67,73,50,26,756,59,74,40,27,33,17,14,269,75,79,63,36,50,19,14,329,324,364,266,172,224,96,47,1488,0,3,0,0,0,0,0,6,638,747,505,298,376,178,101,2848,4,20,20,17,12,9,7,83,7,11,16,3,10,5,3,51,4,4,12,10,9,6,4,50,18,67,48,37,63,23,11,274,5,8,4,0,0,0,0,10,42,111,93,60,92,42,24,463,678,858,600,362,473,219,128,3317
POA2609,5,8,4,0,3,3,0,23,0,0,4,0,6,0,3,6,3,3,0,4,4,0,0,10,9,13,3,0,0,0,0,30,0,0,0,0,0,0,0,0,11,20,14,7,10,8,4,77,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,17,0,0,0,0,0,0,0,0,4,8,0,0,3,0,0,21,19,30,13,6,17,4,4,98
POA2611,692,791,355,214,241,120,65,2471,164,198,97,71,84,32,4,652,206,210,105,63,75,31,22,711,1103,1106,594,385,479,188,58,3910,6,0,5,0,0,0,0,17,2166,2302,1153,732,879,372,151,7751,21,68,35,28,45,23,15,227,15,37,17,20,28,8,5,131,15,29,19,15,12,5,5,96,118,215,143,99,128,48,31,780,4,8,0,0,0,0,0,19,175,360,211,166,208,81,55,1256,2340,2657,1371,901,1087,452,208,9009
