POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2600,833,256,247,0,0,1344,558,105,280,0,0,946,139,70,443,0,0,661,40,55,8,0,0,106,0,6,0,0,0,10,68,23,101,0,0,187,10,4,16,0,0,27,0,0,0,0,0,0,255,161,571,0,0,986,28,39,14,0,5,88,13,8,5,0,0,28,1693,579,1117,0,3,3392
POA2601,0,0,277,0,0,277,0,0,375,0,0,375,0,0,864,0,3,863,0,0,4,0,0,4,0,0,5,0,0,7,0,0,207,0,0,213,0,0,13,0,0,15,0,0,7,0,0,4,0,0,1099,0,6,1110,0,0,19,0,0,19,0,0,16,0,0,16,0,0,1788,0,6,1799
POA2602,2739,620,298,0,4,3660,2783,977,770,0,0,4522,846,641,1033,0,7,2521,429,407,264,0,0,1106,47,49,30,0,0,126,518,293,357,0,8,1175,75,47,61,0,0,185,14,6,4,0,0,27,1928,1443,1753,0,16,5133,80,59,118,0,0,254,59,26,22,0,0,115,7590,3122,2953,0,20,13683
POA2603,916,104,256,0,0,1268,744,131,462,0,0,1336,137,130,708,0,3,983,30,37,66,0,0,135,0,0,4,0,0,7,52,33,152,0,0,232,3,4,28,0,0,43,0,0,4,0,0,4,224,208,963,0,3,1399,21,15,43,0,0,79,17,0,14,0,0,30,1917,452,1740,0,12,4119
POA2604,512,159,559,0,0,1222,636,144,1036,0,0,1810,219,79,1397,0,0,1695,224,43,24,0,0,295,19,6,40,0,0,65,94,32,293,0,0,424,10,4,47,0,0,63,9,5,3,0,0,13,570,171,1810,0,0,2555,35,52,27,0,0,116,22,4,12,0,0,36,1771,524,3451,0,0,5745
POA2605,1461,125,101,0,0,1682,1246,140,88,0,0,1475,290,136,254,0,0,680,101,36,48,0,0,191,3,0,0,0,0,10,117,42,54,0,0,218,9,13,7,0,0,31,6,0,0,0,0,7,532,232,363,0,5,1134,35,22,24,0,0,84,24,5,5,0,0,30,3289,529,585,0,6,4411
POA2606,698,289,245,0,3,1236,587,396,721,0,3,1708,211,433,819,0,3,1461,73,80,48,0,0,199,7,6,7,0,0,17,105,154,218,0,0,473,18,24,40,0,0,80,0,3,0,0,0,3,406,697,1127,0,5,2242,19,25,73,0,0,120,15,10,26,0,0,52,1733,1416,2194,0,8,5347
POA2607,1724,297,89,0,0,2117,1497,330,61,0,0,1892,322,238,166,0,0,730,130,119,10,0,0,256,3,31,0,0,0,38,138,108,36,0,0,280,17,14,12,0,0,44,4,5,0,0,0,9,613,510,221,0,0,1345,39,24,102,0,0,159,34,15,12,0,0,59,3907,1173,485,0,0,5570
POA2609,94,0,0,88,3,190,16,0,0,0,0,20,12,3,0,4,0,20,0,0,0,18,0,19,0,0,0,0,0,0,32,0,0,4,6,38,10,21,0,33,3,66,0,0,0,0,0,0,54,23,0,54,3,145,10,0,0,3,0,13,0,0,0,0,0,3,177,34,0,148,10,371
POA2611,3215,377,215,0,0,3806,4572,948,842,0,5,6367,658,324,498,0,0,1475,317,383,67,0,0,769,20,27,12,0,0,57,279,107,142,4,3,538,86,42,21,0,0,155,13,5,0,0,0,14,1377,884,747,4,5,3005,84,44,48,0,0,173,63,27,24,0,0,113,9309,2275,1864,4,15,13463
POA2612,720,257,577,0,0,1554,497,311,1398,0,4,2206,179,329,2244,0,7,2760,40,44,299,0,3,384,3,15,44,0,0,68,104,122,579,0,0,811,125,25,93,0,3,249,0,0,12,0,0,15,449,539,3279,0,11,4281,28,29,55,0,0,107,4,12,31,0,0,49,1697,1138,5332,0,15,8191
POA2614,2318,527,122,0,0,2960,2078,354,172,0,4,2608,541,211,229,0,0,983,218,91,105,0,0,418,18,7,9,0,0,32,365,96,82,0,0,545,42,12,11,0,0,63,7,3,0,0,0,13,1195,426,431,0,4,2060,54,71,7,0,0,134,43,17,9,0,0,69,5689,1394,738,0,7,7830
POA2615,4261,468,27,0,0,4756,7346,832,74,0,4,8253,1079,390,83,0,0,1556,888,286,13,0,6,1190,54,13,30,0,0,94,613,195,46,0,3,857,93,25,3,0,3,130,17,3,0,0,0,18,2749,914,175,0,9,3849,123,53,0,0,0,173,114,26,3,0,0,138,14580,2289,279,0,15,17164
