,,,,,,2016,2017,2018,2019,2020,2021,3 yr,yr 1,yr 2,2011-2021,,,,Area,Population density 2021
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,#REF!,#REF!,#REF!,no.,,%,,km2,persons/km2
,,,,,,,,,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,210,Melbourne - North West,381178,393353,405480,418083,427688,428954,3.13%,2.30%,0.30%,97672,-2.83%,29.5,,1619.7,264.8
1,New South Wales,1GSYD,Greater Sydney,126,Sydney - Ryde,189648,193633,197932,202731,204438,202922,2.25%,0.84%,-0.74%,31572,-2.99%,18.4,,69.3,2926.6
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,791564,813934,836134,858561,874998,870480,2.75%,1.91%,-0.52%,186050,-3.27%,27.2,,1922.3,452.8
2,Victoria,2GMEL,Greater Melbourne,208,Melbourne - Inner South,425967,430013,434106,437390,437813,427156,0.89%,0.10%,-2.43%,31950,-3.32%,8.1,,161.5,2645
1,New South Wales,1GSYD,Greater Sydney,125,Sydney - Parramatta,466477,480132,490373,499599,502165,496672,2.31%,0.51%,-1.09%,82786,-3.40%,20,,162.8,3050.2
3,Queensland,3GBRI,Greater Brisbane,305,Brisbane Inner City,264952,273893,282851,291645,299078,298121,3.25%,2.55%,-0.32%,61371,-3.57%,25.9,,81.7,3647.2
1,New South Wales,1GSYD,Greater Sydney,118,Sydney - Eastern Suburbs,284380,284872,282794,279752,275238,263656,-0.55%,-1.61%,-4.21%,-4488,-3.66%,-1.7,,57.7,4566.7
2,Victoria,2GMEL,Greater Melbourne,207,Melbourne - Inner East,379590,384233,387372,390690,391067,377713,0.97%,0.10%,-3.41%,21468,-4.38%,6,,146.7,2574
1,New South Wales,1GSYD,Greater Sydney,117,Sydney - City and Inner South,335285,343344,346961,348935,348020,335429,1.34%,-0.26%,-3.62%,51645,-4.96%,18.2,,66.1,5074.3
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,633471,648872,661128,670035,670368,627671,1.89%,0.05%,-6.37%,95320,-8.26%,17.9,,142.5,4406
