Australian Bureau of Statistics

"2006 Census - Counting Dwellings, Place of Enumeration"
"State Suburbs by LLDD Landlord Type"
"Counting: Dwellings Place of Enumeration"

Filters:
"Default Summation","Dwellings Place of Enumeration"

"LLDD Landlord Type","Real estate agent","State or territory housing authority","Person not in the same household-parent/other relative","Person not in the same household-other person","Residential park (includes caravan parks and marinas)","Employer-Government (includes Defence Housing Authority)","Employer-other employer","Housing co-operative/community/church group","Not stated","Not applicable","Total",
"State Suburbs",
"Acton - ACT",0,3,0,0,0,7,9,0,3,10,32,
"Ainslie",201,388,26,150,0,3,4,34,10,1284,2099,
"Amaroo - ACT",196,50,19,64,0,93,5,4,3,1439,1874,
"Aranda",70,18,16,71,0,0,0,0,4,761,945,
"Banks",128,75,31,52,0,12,7,3,3,1453,1775,
"Barton",198,0,4,58,0,0,0,0,3,299,565,
"Belconnen",475,238,44,153,0,5,14,3,15,720,1666,
"Bonner",0,0,0,0,0,0,0,0,0,17,20,
"Bonython",165,79,26,75,0,13,3,0,0,916,1291,
"Braddon",437,298,30,150,0,7,11,51,10,1033,2026,
"Bruce",214,5,23,83,0,32,7,0,4,726,1094,
"Calwell",159,51,49,74,0,20,3,0,11,1748,2118,
"Campbell",206,36,13,67,0,168,0,6,5,1052,1546,
"Chapman",47,0,7,4,0,0,5,0,0,889,952,
"Charnwood",83,208,29,44,0,0,9,0,8,886,1264,
"Chifley - ACT",176,53,24,73,0,3,6,3,3,727,1064,
"Chisholm",108,142,31,66,0,10,10,0,4,1528,1894,
"City",176,7,3,46,0,0,10,7,3,254,513,
"Conder",117,67,16,51,0,22,0,0,3,1392,1669,
"Cook",156,66,23,77,0,0,3,0,11,1023,1362,
"Curtin",223,72,31,109,0,0,7,3,12,1709,2166,
"Deakin",115,58,3,44,0,0,3,0,11,922,1167,
"Dickson",146,103,11,100,0,0,6,10,5,542,927,
"Downer",185,135,23,129,0,0,0,4,11,1027,1519,
"Duffy",82,65,15,31,0,12,3,3,3,988,1202,
"Dunlop",124,101,29,45,0,24,8,0,4,1749,2085,
"Evatt",135,131,46,74,0,0,9,6,7,1620,2023,
"Fadden",51,0,5,17,0,3,0,0,11,1012,1100,
"Farrer",101,44,14,57,0,0,3,4,5,1082,1317,
"Fisher",111,47,15,60,0,0,10,0,5,1058,1302,
"Florey",219,246,32,129,0,3,8,3,6,1287,1929,
"Flynn",67,59,6,39,0,0,0,0,3,1093,1277,
"Forrest - ACT",69,7,4,27,0,0,3,0,4,426,545,
"Franklin - ACT",0,0,0,0,0,0,0,0,0,0,0,
"Fraser",22,28,8,18,0,0,0,0,0,682,765,
"Fyshwick",0,0,0,3,0,0,3,0,0,4,12,
"Garran",189,46,14,70,0,12,3,3,5,990,1337,
"Gilmore - ACT",49,102,12,26,0,10,4,0,6,751,962,
"Giralang",98,59,18,60,0,0,3,0,6,1021,1267,
"Gordon - ACT",275,150,68,97,0,38,7,6,5,2228,2885,
"Gowrie",51,58,14,31,0,0,0,0,9,978,1139,
"Greenway",128,31,5,62,0,3,0,0,5,363,601,
"Griffith - ACT",381,221,30,129,0,9,5,13,4,1251,2060,
"Gungahlin",221,30,14,71,0,92,8,4,3,1129,1584,
"Hackett",110,71,18,100,0,0,12,12,7,970,1299,
"Hall",5,6,3,0,0,0,3,0,0,103,118,
"Harrison",12,6,4,5,0,7,0,0,0,84,108,
"Hawker - ACT",130,48,15,56,0,0,5,3,6,990,1255,
"Higgins",84,98,22,51,0,0,10,0,3,975,1255,
"Holder",114,36,18,26,0,0,7,0,9,916,1129,
"Holt",181,176,43,83,0,7,11,5,10,1640,2156,
"Hughes",144,75,15,54,0,3,4,3,5,912,1215,
"Hume",0,0,0,0,0,0,0,0,0,4,5,
"Isaacs",84,27,12,26,0,3,8,0,4,799,958,
"Isabella Plains",155,47,33,77,0,8,8,0,7,1227,1571,
"Kaleen",210,145,54,164,0,0,15,6,18,2147,2754,
"Kambah",359,522,113,202,0,6,23,10,17,4778,6030,
"Kingston - ACT",593,77,33,141,0,7,12,3,9,817,1685,
"Latham - ACT",90,87,22,60,0,0,9,0,6,1145,1423,
"Lawson - ACT",0,0,0,0,0,0,0,0,0,0,0,
"Lyneham",348,283,30,157,0,20,10,14,9,1169,2035,
"Lyons",204,143,19,102,0,3,3,6,11,751,1249,
"Macarthur - ACT",19,3,3,12,0,6,0,0,0,453,504,
"Macgregor",63,85,31,37,0,0,3,0,7,1039,1259,
"Macquarie",130,140,19,73,0,0,6,3,6,646,1025,
"Mawson",197,93,20,99,0,5,8,3,7,924,1361,
"McKellar",58,87,9,33,0,3,3,3,3,742,939,
"Melba",81,86,16,52,0,0,0,0,5,1036,1282,
