suburb,year_2006,year_2011,year_2016,year_2021
Acton,9.375,5.454545454545454,0.0,0.0
Ainslie,18.484992853739875,15.266485998193316,14.586994727592268,13.442044953724109
Amaroo,2.6680896478121667,3.674540682414698,2.7777777777777777,3.7674418604651163
Aranda,1.9047619047619049,1.9507186858316223,1.5789473684210527,0.9249743062692704
Banks,4.225352112676056,4.355016538037487,3.808487486398259,4.128686327077748
Barton,0.0,0.0,0.0,0.338409475465313
Belconnen,14.285714285714285,11.508282476024412,6.886137118695259,4.325807132306394
Bonner,0.0,1.675041876046901,1.8518518518518516,2.31935771632471
Bonython,6.119287374128582,7.326732673267326,6.645161290322581,6.774193548387098
Braddon,14.708785784797632,15.213882163034706,7.510659232535258,3.369434416365824
Bruce,0.4570383912248629,0.35874439461883406,0.7163323782234957,0.6034193764666443
Calwell,2.4079320113314444,2.791996277338297,2.6548672566371683,2.3743016759776534
Campbell,2.3285899094437257,1.8018018018018018,1.878522229179712,1.3291634089132134
Chapman,0.0,1.9743336623889436,3.0602171767028628,3.9667896678966788
Charnwood,16.455696202531644,15.50632911392405,13.31738437001595,12.764291307752545
Chifley,4.981203007518797,5.967450271247739,4.324801412180053,4.0201005025125625
Chisholm,7.497360084477296,6.929133858267717,7.278318810866223,7.521453811206462
City,1.364522417153996,0.3940110323089046,0.24345709068776628,0.15661707126076743
Conder,4.014379868184541,6.566499721758487,5.8469945355191255,4.444444444444445
Cook,4.845814977973569,5.0110537951363305,4.586466165413534,4.4609665427509295
Curtin,3.32409972299169,4.164738546968995,3.7209302325581395,3.6801453884597906
Deakin,4.970008568980291,3.863987635239567,3.4763313609467454,2.9454022988505746
Dickson,11.11111111111111,10.039370078740157,6.3373718546132345,4.273504273504273
Downer,8.887425938117183,8.661926308985132,8.734746307000641,7.726514730405781
Duffy,5.40765391014975,6.9730586370839935,6.521739130434782,6.170052671181339
Dunlop,4.844124700239808,4.8374306106264875,4.458349628470865,4.717348927875244
Evatt,6.475531389026198,5.385735080058224,4.917234664070107,4.741170778906628
Fadden,0.0,0.0,0.0,0.0
Farrer,3.340926347760061,3.4814814814814814,2.735562310030395,2.2073578595317724
Fisher,3.6098310291858677,3.5552193645990924,3.7325038880248838,3.6786786786786783
Florey,12.752721617418352,13.83679675620882,12.671059300557527,12.036566785170137
Flynn,4.620203602192639,3.896103896103896,3.508771929824561,3.52760736196319
Forrest,1.2844036697247707,1.03397341211226,1.3189448441247003,1.2757605495583906
Franklin,,2.5906735751295336,1.269971323228185,1.368421052631579
Fraser,3.6601307189542487,3.3678756476683938,2.7450980392156863,2.295918367346939
