Australian Bureau of Statistics

"2016 Census - Counting Dwellings, Place of Enumeration (MB)"
"SSC by LLDD Landlord Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"LLDD Landlord Type","Real estate agent","State or territory housing authority","Person not in the same household-parent/other relative","Person not in the same household-other person","Residential park (includes caravan parks and marinas)","Employer-Government (includes Defence Housing Authority)","Employer-other employer","Housing co-operative/community/church group","Not stated","Not applicable","Total",
"SSC",
"ACT Remainder - Belconnen",0,0,0,0,0,3,0,0,0,3,12,
"ACT Remainder - Booth",0,0,0,7,0,0,0,0,0,11,18,
"ACT Remainder - Coree",0,0,0,0,0,0,0,0,0,4,4,
"ACT Remainder - Cotter River",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Gungahlin",0,0,0,3,0,0,0,0,0,4,3,
"ACT Remainder - Hall",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Jerrabomberra",0,0,0,0,0,0,0,0,0,3,9,
"ACT Remainder - Kowen",0,0,0,0,0,0,0,0,0,4,11,
"ACT Remainder - Majura",0,0,0,4,0,0,0,0,0,17,23,
"ACT Remainder - Molonglo Valley",0,0,0,0,0,0,0,0,0,0,3,
"ACT Remainder - Paddys River",0,0,0,7,0,0,0,0,4,26,38,
"ACT Remainder - Rendezvous Creek",0,0,0,0,0,0,0,0,0,0,0,
"ACT Remainder - Stromlo",0,0,0,0,0,0,6,0,0,15,20,
"ACT Remainder - Tuggeranong",0,0,0,5,0,0,0,0,0,8,19,
"ACT Remainder - Weston Creek",0,0,0,0,0,0,0,0,0,5,5,
"Acton (ACT)",0,0,0,0,0,0,0,0,0,11,11,
"Ainslie",194,332,18,120,0,8,3,42,12,1554,2276,
"Amaroo (ACT)",221,54,30,53,0,82,6,4,0,1498,1944,
"Aranda",67,15,16,47,0,0,5,3,5,792,950,
"Banks",159,70,41,41,0,15,3,10,0,1500,1838,
"Barton",306,0,8,56,0,10,3,0,4,577,966,
"Beard",0,0,0,0,0,0,0,0,0,0,0,
"Belconnen",1237,228,56,319,0,14,30,12,16,1403,3311,
"Bonner",330,40,26,111,0,20,18,30,0,1588,2160,
"Bonython",200,103,31,91,0,15,8,0,6,1096,1550,
"Braddon",1053,229,54,305,0,29,11,33,11,1333,3049,
"Bruce (ACT)",933,20,62,232,0,81,37,17,19,1396,2792,
