code,north,name,belco
80017,1,Acton,0
80018,1,Ainslie,0
80019,1,Amaroo,0
80020,1,Aranda,1
80021,0,Banks,0
80022,0,Barton,0
80023,0,Beard,0
80024,1,Belconnen,0
80025,1,Bonner,0
80026,0,Bonython,0
80027,1,Braddon,0
80028,1,Bruce,1
80029,0,Calwell,0
80030,1,Campbell,0
80031,1,Canberra Airport,0
80032,0,Capital Hill,0
80033,1,Casey,0
80034,0,Chapman,0
80035,1,Charnwood,0
80036,0,Chifley,0
80037,0,Chisholm,0
80038,1,City,0
80039,0,Conder,0
80040,1,Cook,1
80041,0,Coombs,0
80042,1,Crace,0
80043,0,Curtin,0
80044,0,Deakin,0
80045,0,Denman Prospect,0
80046,1,Dickson,0
80047,1,Downer,0
80048,0,Duffy,0
80049,1,Dunlop,0
80050,1,Evatt,0
80051,0,Fadden,0
80052,0,Farrer,0
80053,0,Fisher,0
80054,1,Florey,1
80055,1,Flynn,0
80056,1,Forde,0
80057,0,Forrest,0
80058,1,Franklin,0
80059,1,Fraser,0
80060,0,Fyshwick,0
80061,0,Garran,0
80062,0,Gilmore,0
80063,1,Giralang,0
80064,0,Gordon,0
80065,0,Gowrie,0
80066,0,Greenway,0
80067,0,Griffith,0
80068,1,Gungahlin,0
80069,1,Hackett,0
80070,1,Hall,0
80071,1,Harrison,0
80072,1,Hawker,0
80073,1,Higgins,0
80074,0,Holder,0
80075,1,Holt,0
80076,0,Hughes,0
80077,0,Hume,0
80078,0,Isaacs,0
80079,0,Isabella Plains,0
80080,1,Jacka,0
80081,1,Kaleen,0
80082,0,Kambah,0
80083,0,Kingston,0
80084,1,Latham,0
80085,1,Lawson,0
80086,1,Lyneham,0
80087,0,Lyons,0
80088,0,Macarthur,0
80089,1,Macgregor,0
80090,1,Macnamara,0
80091,1,Macquarie,1
80092,0,Mawson,0
80093,1,McKellar,0
80094,1,Melba,0
80095,1,Mitchell,0
80096,0,Molonglo,0
80097,0,Monash,0
80098,1,Moncrieff,0
80099,0,Narrabundah,0
80100,1,Ngunnawal,0
80101,1,Nicholls,0
80102,1,O'Connor,0
80103,0,O'Malley,0
80104,0,Oaks Estate,0
80105,0,Oxley,0
80106,1,Page,1
80107,1,Palmerston,0
80108,0,Parkes,0
80109,0,Pearce,0
80110,0,Phillip,0
80111,1,Pialligo,0
80112,0,Red Hill,0
80113,1,Reid,0
80114,0,Richardson,0
80115,0,Rivett,0
80116,1,Russell,0
80117,1,Scullin,0
80118,1,Spence,0
80119,0,Stirling,0
80120,1,Strathnairn,0
80121,0,Symonston,0
80122,1,Taylor,0
80123,0,Tharwa,0
80124,0,Theodore,0
80125,1,Throsby,0
80126,0,Torrens,0
80127,1,Turner,0
80128,0,Uriarra Village,0
80129,0,Wanniassa,0
80130,0,Waramanga,0
80131,1,Watson,0
80132,1,Weetangera,1
80133,0,Weston,0
80134,1,Whitlam,0
80135,0,Wright,0
80136,0,Yarralumla,0
