code,name,2020,2021
101,Capital Region,235620,238522
102,Central Coast,347067,348379
103,Central West,213154,213471
104,Coffs Harbour - Grafton,144149,146115
105,Far West and Orana,117179,117178
106,Hunter Valley exc Newcastle,287155,292906
107,Illawarra,312210,313990
108,Mid North Coast,226444,228870
109,Murray,122202,123332
110,New England and North West,187213,186942
111,Newcastle and Lake Macquarie,386919,391095
112,Richmond - Tweed,254911,256677
113,Riverina,163578,164231
114,Southern Highlands and Shoalhaven,158704,160722
115,Sydney - Baulkham Hills and Hawkesbury,259438,265266
116,Sydney - Blacktown,395050,403958
117,Sydney - City and Inner South,348020,335429
118,Sydney - Eastern Suburbs,275238,263656
119,Sydney - Inner South West,614846,607186
120,Sydney - Inner West,312700,306292
121,Sydney - North Sydney and Hornsby,434097,426070
122,Sydney - Northern Beaches,267655,264481
123,Sydney - Outer South West,294703,298999
124,Sydney - Outer West and Blue Mountains,331481,334001
125,Sydney - Parramatta,502165,496672
126,Sydney - Ryde,204438,202922
127,Sydney - South West,468676,476152
128,Sydney - Sutherland,229305,230301
201,Ballarat,170616,173266
202,Bendigo,165123,167196
203,Geelong,319731,327419
204,Hume,181808,184129
205,Latrobe - Gippsland,294304,299758
206,Melbourne - Inner,670368,627671
207,Melbourne - Inner East,391067,377713
208,Melbourne - Inner South,437813,427156
209,Melbourne - North East,551263,546251
210,Melbourne - North West,427688,428954
211,Melbourne - Outer East,530527,522777
212,Melbourne - South East,874998,870480
213,Melbourne - West,859218,863956
214,Mornington Peninsula,311897,311199
215,North West,155570,155140
216,Shepparton,136896,137375
217,Warrnambool and South West,127262,127600
301,Brisbane - East,242520,243487
302,Brisbane - North,227311,227863
303,Brisbane - South,377655,377406
304,Brisbane - West,194185,192140
305,Brisbane Inner City,299078,298121
306,Cairns,256725,257149
307,Darling Downs - Maranoa,130007,130066
308,Central Queensland,229991,231104
309,Gold Coast,643160,649659
310,Ipswich,366686,373651
311,Logan - Beaudesert,359278,365653
312,Mackay - Isaac - Whitsunday,180967,183269
313,Moreton Bay - North,264132,268995
314,Moreton Bay - South,219403,221611
315,Queensland - Outback,81791,81634
316,Sunshine Coast,395669,403521
317,Toowoomba,162658,164144
318,Townsville,237070,237452
319,Wide Bay,306717,310728
401,Adelaide - Central and Hills,314839,315867
402,Adelaide - North,457595,461302
403,Adelaide - South,376534,378101
404,Adelaide - West,246318,247123
405,Barossa - Yorke - Mid North,116150,116963
406,South Australia - Outback,85599,85586
407,South Australia - South East,196512,198250
501,Bunbury,191854,194994
502,Mandurah,108830,111299
503,Perth - Inner,189037,188872
504,Perth - North East,281557,286722
505,Perth - North West,591633,597086
506,Perth - South East,543701,549247
507,Perth - South West,451171,459003
509,Western Australia - Wheat Belt,140623,141653
510,Western Australia - Outback (North),97187,96960
511,Western Australia - Outback (South),122807,124028
601,Hobart,249511,251047
602,Launceston and North East,153672,154914
603,South East,42083,42821
604,West and North West,118241,119127
701,Darwin,148805,148801
702,Northern Territory - Outback,100138,100399
801,Australian Capital Territory,450632,453558
901,Other Territories,4791,4848
