GCCSA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
8ACTE,82892,60460,77634,69285,56126,45328,35639,19340,7180,453890
89499,50,148,108,104,77,78,34,10,4,605
89799,0,0,0,0,0,0,0,0,0,0
