CED_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
CED801,1892,352,270,191,202,291,315,116,33,3664,927,138,75,42,57,75,122,58,20,1513,525,282,133,95,95,150,242,167,41,1738,183,236,240,173,198,228,488,441,124,2310,139,254,258,181,202,279,493,328,171,2304,231,383,306,200,185,259,419,290,85,2355,164,478,515,263,231,326,461,309,88,2821,115,636,954,495,447,505,603,348,95,4200,47,625,1448,895,746,839,740,373,98,5806,26,422,1462,874,694,749,622,286,78,5198,6,246,1469,1103,852,835,577,220,42,5356,0,83,1029,1150,859,753,415,104,20,4414,5,79,1667,2866,2552,1744,516,119,24,9567,0,9,237,602,624,413,125,18,3,2030,0,6,315,1143,1250,834,232,44,5,3830,192,248,671,512,398,320,281,254,147,3022,4455,4499,11016,10782,9592,8586,6654,3475,1071,60122,1491,233,491,524,433,730,500,193,45,4637,986,148,120,144,136,239,353,163,28,2322,562,253,225,210,183,330,486,285,71,2608
CED802,1644,584,402,185,169,192,180,73,38,3463,941,270,89,58,51,70,81,50,14,1628,492,504,176,106,143,116,158,101,42,1833,216,575,289,147,160,226,251,238,107,2207,174,488,306,160,159,209,346,253,125,2209,196,632,621,209,147,204,272,189,88,2558,210,613,659,228,141,202,292,224,89,2660,214,778,918,411,257,279,420,271,138,3680,74,813,1514,599,375,454,538,340,108,4809,32,721,1599,598,372,418,521,284,73,4626,18,397,1757,738,497,477,527,285,73,4764,4,127,1331,868,568,487,385,157,49,3974,3,102,2328,2729,2171,1411,633,250,58,9702,0,15,337,768,763,506,194,53,15,2656,3,20,433,1614,2052,1465,431,107,41,6161,331,651,878,558,427,403,323,233,173,3977,4554,7283,13639,9981,8437,7127,5548,3122,1223,60917,1403,495,583,462,376,409,306,153,58,4243,1109,258,123,103,123,154,193,130,50,2249,745,601,244,170,152,213,290,239,73,2728
CED803,2064,483,415,245,231,275,328,115,22,4173,875,143,80,55,39,70,109,30,9,1421,483,334,200,130,115,135,207,121,36,1749,158,360,297,167,186,224,411,353,79,2238,142,339,382,222,204,208,329,255,110,2181,207,468,622,310,209,204,292,211,57,2586,121,547,758,377,268,236,321,197,64,2883,104,678,1364,696,452,379,420,244,49,4392,68,702,2169,1135,767,606,491,229,48,6217,26,517,1833,1235,754,550,420,139,35,5516,8,267,1729,1499,924,598,375,108,14,5524,6,105,1157,1526,1004,554,202,56,16,4630,4,67,1842,3536,2708,1238,339,63,4,9802,0,10,246,798,637,325,66,14,4,2092,0,12,259,1179,1051,524,104,21,3,3162,179,281,716,539,364,244,168,111,46,2647,4442,5307,14066,13647,9924,6370,4581,2268,593,61208,1650,354,1013,870,519,739,531,160,29,5859,1023,166,216,231,151,198,233,84,22,2341,624,370,328,299,191,259,420,210,59,2759
CED894,5,5,5,4,4,0,0,0,0,23,0,3,4,0,3,0,0,0,0,11,8,3,4,5,5,0,0,0,0,30,0,5,5,4,3,3,5,0,0,29,0,3,0,5,0,0,3,0,0,18,4,6,3,4,0,0,0,0,0,12,0,7,8,0,3,3,0,0,0,19,0,3,5,6,5,0,4,0,0,20,0,4,7,0,4,0,0,0,0,20,0,0,5,0,4,0,0,0,0,8,0,3,3,0,0,0,0,0,0,9,0,0,3,0,0,4,0,0,0,9,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,3,0,0,0,3,7,7,13,20,15,12,8,4,0,83,23,44,60,62,53,38,21,6,0,315,4,6,3,4,3,4,0,0,0,25,3,0,4,0,0,0,0,0,0,10,20,6,0,0,0,0,0,0,0,36
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
