CED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
CED801,32,108,192,184,59,0,0,0,571,21,97,116,85,149,0,0,0,471,28,273,449,708,965,1150,694,291,4547,85,481,748,982,1165,1150,694,291,5595,8498,9906,9550,8252,7138,5279,2589,686,51891,366,631,488,355,279,227,194,93,2637,8955,11016,10782,9592,8586,6654,3475,1071,60122,17,44,62,54,9,0,0,0,175,0,22,35,34,22,0,0,0,112,15,65,118,233,273,165,94,29,988,31,131,212,314,309,165,94,29,1278,7955,10756,10582,9490,8951,7087,3842,1371,60038,281,416,356,278,231,264,240,147,2203,8262,11299,11153,10085,9486,7512,4174,1547,63515,50,148,252,239,65,0,0,0,755,28,124,149,117,169,0,0,0,580,37,339,567,941,1238,1312,786,321,5535,115,611,956,1296,1472,1312,786,321,6873,16455,20662,20130,17743,16089,12368,6432,2051,111932,648,1044,838,635,514,485,432,243,4840,17215,22319,21933,19674,18075,14171,7647,2617,123643
CED802,981,466,447,424,129,0,0,0,2440,58,184,141,115,149,0,0,0,641,48,257,382,564,649,693,538,338,3466,1083,913,968,1094,924,693,538,338,6546,9825,11887,8484,6953,5819,4566,2400,784,50714,920,839,526,388,385,292,189,108,3656,11837,13639,9981,8437,7127,5548,3122,1223,60917,411,203,189,124,29,0,0,0,960,10,65,40,48,37,0,0,0,192,14,51,128,207,178,104,56,34,779,438,324,364,379,239,104,56,34,1933,11062,12417,9437,7911,6876,5794,3557,1723,58772,916,716,415,320,268,285,221,214,3351,12414,13449,10210,8603,7392,6187,3827,1970,64056,1397,672,631,550,157,0,0,0,3404,68,249,178,161,182,0,0,0,837,62,315,514,768,827,798,589,374,4243,1523,1236,1324,1476,1163,798,589,374,8478,20881,24306,17922,14863,12696,10358,5956,2505,109488,1838,1551,942,707,654,585,412,318,7000,24247,27091,20191,17042,14515,11733,6954,3198,124971
CED803,70,323,481,449,108,0,0,0,1423,26,118,150,111,143,0,0,0,550,48,329,540,697,663,647,425,158,3511,140,770,1168,1258,915,647,425,158,5488,9217,12637,12000,8328,5258,3805,1756,401,53405,389,660,483,338,192,116,93,35,2314,9753,14066,13647,9924,6370,4581,2268,593,61208,43,112,142,109,15,0,0,0,423,3,32,43,33,10,0,0,0,118,16,82,182,234,198,125,62,19,913,65,215,367,380,220,125,62,19,1454,9074,13547,12997,9172,6434,5222,2487,733,59666,342,580,425,275,166,165,117,68,2140,9481,14345,13794,9833,6818,5508,2661,821,63262,109,432,625,555,124,0,0,0,1846,26,143,193,147,153,0,0,0,669,63,410,720,935,859,774,483,179,4424,205,987,1539,1639,1140,774,483,179,6941,18294,26188,24997,17507,11692,9030,4239,1132,113070,736,1247,908,612,359,280,205,102,4454,19232,28413,27449,19759,13189,10079,4928,1420,124469
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,17,0,3,6,5,0,0,0,0,19,54,46,43,30,22,10,3,0,216,7,12,21,14,13,10,4,0,74,66,60,62,53,38,21,6,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,76,44,31,23,32,8,4,0,214,4,6,7,7,8,4,0,0,32,74,53,33,30,35,10,8,0,249,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,14,0,3,6,4,3,0,0,0,19,136,94,70,56,56,18,7,0,435,10,17,29,20,18,11,5,0,110,148,108,104,77,78,34,10,4,560
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
