CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED801,12526,6660,8103,7660,6232,4722,2650,1020,213,49784,1460,1428,1797,2033,2099,2329,2040,1128,319,14627,90,199,276,380,506,745,1021,652,229,4113,3,14,31,72,152,313,593,453,212,1837,1554,1638,2102,2488,2758,3387,3653,2233,762,20580,880,656,809,631,596,475,351,220,96,4718,14955,8955,11016,10782,9592,8586,6654,3475,1071,75080,12013,5532,7574,7403,5982,4826,3040,1192,270,47841,1110,1858,2433,2387,2453,2685,2326,1394,492,17141,65,343,607,636,824,1044,1130,745,356,5748,4,40,96,160,314,485,619,574,287,2583,1180,2244,3133,3181,3597,4215,4077,2708,1136,25473,813,478,589,566,507,440,395,271,141,4207,14008,8262,11299,11153,10085,9486,7512,4174,1547,77528,24547,12197,15676,15062,12218,9550,5690,2208,482,97631,2564,3291,4228,4423,4550,5016,4366,2525,810,31772,155,541,883,1019,1331,1788,2148,1396,584,9855,7,52,123,226,467,795,1211,1027,502,4426,2735,3887,5240,5667,6354,7605,7732,4948,1896,46047,1689,1136,1401,1202,1104,919,747,489,238,8929
CED802,8920,8666,10196,7225,5746,4110,2469,956,248,48540,969,1779,2085,1690,1621,1747,1660,1052,406,13016,37,212,301,321,396,528,711,545,277,3322,0,16,29,52,94,208,356,373,202,1325,1010,2009,2409,2060,2106,2484,2721,1968,894,17659,604,1158,1035,686,588,534,361,199,82,5252,10534,11837,13639,9981,8437,7127,5548,3122,1223,71449,8653,7892,9170,6996,5533,4050,2658,1127,401,46467,730,2872,2752,2104,1909,1939,1905,1286,642,16142,29,482,598,471,500,661,837,739,466,4783,3,32,62,75,169,301,393,488,332,1858,765,3386,3411,2649,2579,2900,3139,2511,1432,22781,584,1133,868,573,491,435,386,191,142,4812,10007,12414,13449,10210,8603,7392,6187,3827,1970,74059,17575,16555,19364,14216,11273,8160,5129,2083,645,95007,1702,4658,4831,3793,3527,3688,3568,2334,1046,29156,66,694,905,788,896,1190,1540,1281,738,8105,7,46,90,123,268,505,748,861,537,3176,1775,5399,5823,4713,4689,5386,5860,4477,2326,40443,1193,2292,1907,1264,1075,965,749,390,228,10061
CED803,14615,7389,10861,10181,6563,3448,1844,652,132,55677,1719,1514,1996,2262,2120,1706,1472,722,176,13697,129,201,335,419,536,617,689,414,124,3450,3,10,38,78,160,280,375,388,141,1461,1850,1729,2367,2753,2814,2598,2532,1522,440,18608,1023,634,843,713,549,322,199,99,27,4407,17487,9753,14066,13647,9924,6370,4581,2268,593,78697,14023,6524,10219,9480,5897,3426,2135,693,131,52533,1249,1951,2629,2743,2391,1893,1754,864,262,15733,77,412,668,723,749,779,859,542,197,5022,0,27,107,187,296,398,488,424,195,2125,1331,2398,3405,3656,3437,3075,3105,1833,652,22884,957,563,729,661,501,318,266,134,41,4155,16313,9481,14345,13794,9833,6818,5508,2661,821,79572,28637,13909,21077,19664,12460,6878,3982,1344,263,108212,2965,3469,4625,5007,4512,3601,3229,1587,434,29432,206,614,998,1139,1287,1399,1554,953,322,8471,7,41,145,261,452,676,861,812,337,3590,3180,4128,5772,6409,6248,5680,5639,3355,1089,41486,1986,1196,1570,1373,1048,635,462,229,63,8567
CED894,19,31,33,18,18,6,8,0,0,137,4,20,13,13,10,14,0,0,0,73,0,0,0,6,3,5,0,0,0,19,0,0,0,0,4,0,0,3,0,6,4,21,12,20,17,14,6,3,0,98,3,15,11,30,19,15,10,0,0,105,23,66,60,62,53,38,21,6,0,336,15,45,29,19,15,8,0,0,0,138,0,24,10,3,9,15,0,3,0,64,0,8,5,3,0,9,0,0,0,24,0,0,0,0,0,5,4,0,0,13,0,28,11,12,10,22,8,4,0,97,0,3,7,7,4,6,4,0,0,40,21,74,53,33,30,35,10,8,0,273,33,78,67,41,36,17,8,0,0,272,4,40,22,18,18,23,0,3,0,134,0,7,7,11,6,11,3,0,0,39,0,0,0,0,4,0,4,0,4,20,6,47,25,26,22,38,14,12,4,194,7,21,17,35,22,22,11,0,0,138
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
