CED_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
CED801,943,825,1761,932,891,1825,979,904,1884,916,866,1780,1016,937,1954,4785,4419,9197,1002,977,1986,1076,1008,2088,1074,986,2056,1037,1010,2051,1001,976,1979,5194,4962,10154,1007,973,1979,1008,978,1993,1008,908,1920,928,878,1804,1027,891,1916,4977,4630,9608,982,840,1823,869,823,1692,917,788,1708,862,730,1596,825,756,1576,4455,3939,8395,847,803,1649,864,839,1708,960,850,1812,891,890,1779,941,941,1881,4499,4321,8820,1029,995,2028,1047,1023,2069,1068,1099,2161,1171,1121,2294,1058,1165,2221,5373,5406,10776,1123,1161,2287,1139,1189,2326,1143,1194,2335,1117,1178,2302,1128,1165,2296,5643,5894,11544,1140,1218,2363,1143,1227,2363,1117,1211,2330,1172,1132,2303,1132,1176,2313,5702,5970,11674,1099,1179,2277,978,1075,2053,1063,1006,2070,982,955,1930,964,962,1926,5082,5181,10258,942,912,1846,1022,1002,2022,939,1040,1983,973,1063,2041,995,1079,2074,4877,5092,9969,1046,1059,2104,987,1017,2009,926,1048,1973,914,952,1863,844,917,1761,4715,4993,9708,852,1009
CED802,673,573,1245,610,636,1247,609,605,1208,622,622,1242,658,625,1290,3173,3065,6231,753,659,1412,735,643,1376,723,676,1398,781,733,1512,705,684,1395,3695,3396,7090,750,698,1446,734,715,1446,749,680,1432,745,730,1475,695,729,1426,3671,3553,7218,732,681,1411,679,631,1311,622,677,1296,1159,1248,2409,1356,1541,2895,4554,4775,9325,1404,1433,2833,1532,1531,3063,1469,1511,2976,1432,1619,3050,1443,1556,2998,7283,7639,14923,1476,1464,2937,1499,1509,3016,1533,1472,3002,1447,1437,2887,1407,1389,2799,7362,7281,14648,1377,1329,2710,1398,1326,2726,1188,1226,2411,1138,1149,2285,1171,1151,2316,6273,6174,12448,1091,1068,2160,1099,1103,2203,1082,1122,2205,1048,1084,2138,1044,1085,2135,5363,5463,10834,974,1013,1990,904,980,1887,930,965,1897,918,882,1809,875,907,1782,4610,4750,9355,812,836,1651,871,857,1730,825,826,1649,834,886,1719,890,909,1796,4231,4307,8539,907,966,1870,875,880,1753,826,856,1680,818,831,1644,780,768,1544,4205,4293,8497,739,788
CED803,1113,1016,2128,1168,1090,2257,1155,1092,2250,1152,1106,2259,1280,1175,2451,5864,5478,11343,1253,1199,2454,1263,1188,2454,1258,1188,2450,1180,1165,2346,1221,1126,2344,6178,5872,12045,1165,1068,2229,1222,1088,2313,1058,997,2058,1016,931,1945,995,868,1863,5446,4960,10408,975,904,1883,916,831,1746,878,837,1712,837,872,1708,832,809,1642,4442,4251,8696,942,897,1840,997,942,1937,1051,1035,2092,1172,1139,2310,1143,1214,2360,5307,5231,10540,1206,1221,2430,1441,1325,2769,1421,1409,2828,1449,1462,2914,1500,1458,2957,7014,6877,13892,1426,1515,2951,1423,1479,2899,1406,1481,2888,1397,1485,2879,1397,1506,2906,7046,7469,14518,1516,1504,3020,1406,1611,3019,1471,1516,2993,1468,1447,2915,1414,1462,2877,7277,7548,14826,1455,1365,2822,1307,1370,2675,1239,1242,2481,1210,1115,2321,1160,1155,2316,6368,6247,12618,1147,1096,2239,1096,1143,2236,1093,1068,2160,1065,1094,2162,1030,1067,2103,5428,5473,10896,1085,1020,2108,895,930,1827,863,866,1727,844,780,1625,810,767,1578,4496,4360,8862,761,762
CED894,4,0,4,0,4,5,0,0,0,5,5,11,0,3,5,18,9,19,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,4,9,0,5,3,0,4,4,0,4,4,0,0,0,0,0,0,7,9,14,0,0,0,5,6,13,5,11,12,8,9,18,6,10,11,23,37,58,6,10,18,12,11,17,9,11,19,3,4,11,12,11,16,44,40,82,3,3,8,5,4,12,5,3,11,5,5,17,11,3,13,32,33,63,3,4,11,11,3,13,7,0,9,3,3,9,5,7,3,30,19,45,12,7,19,4,0,7,5,3,9,5,4,4,3,0,4,34,15,45,6,0,14,3,3,7,8,7,19,3,3,6,12,4,17,30,26,54,9,3,15,11,0,10,3,0,3,5,0,6,4,5,13,29,12,40,7,0,5,5,5,15,9,5,6,6,3,11,0,0,0,22,14,40,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
