CED_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
CED801,191,188,379,4484,4113,8600,106,120,229,4785,4419,9197,224,196,416,4813,4606,9422,158,154,313,5194,4962,10154,232,171,396,4595,4328,8917,158,135,288,4977,4630,9608,195,177,370,4120,3656,7777,132,103,236,4455,3939,8395,190,179,371,4180,4025,8206,131,117,248,4499,4321,8820,173,159,330,4996,5078,10082,196,164,365,5373,5406,10776,136,136,269,5308,5585,10894,204,175,378,5643,5894,11544,109,120,231,5432,5662,11096,162,189,349,5702,5970,11674,81,120,201,4819,4927,9747,178,139,313,5082,5181,10258,103,99,195,4634,4866,9499,144,131,277,4877,5092,9969,91,81,179,4470,4774,9241,157,135,288,4715,4993,9708,94,79,169,4244,4755,8999,146,120,271,4483,4956,9442,44,66,103,3946,4350,8299,113,114,231,4104,4536,8636,92,96,187,10668,12636,23303,432,502,936,11198,13233,24430,1944,1858,3800,70713,73365,144079,2421,2309,4729,75080,77528,152610
CED802,83,83,164,2982,2878,5857,108,99,201,3173,3065,6231,91,77,163,3483,3194,6678,126,122,249,3695,3396,7090,82,65,147,3486,3378,6866,104,100,207,3671,3553,7218,95,121,216,4156,4306,8465,300,344,641,4554,4775,9325,121,132,256,6612,7002,13610,545,512,1057,7283,7639,14923,119,110,231,6860,6829,13690,389,340,731,7362,7281,14648,82,102,184,5835,5779,11618,355,300,651,6273,6174,12448,72,50,122,5043,5191,10229,258,224,481,5363,5463,10834,57,64,117,4327,4504,8825,230,179,410,4610,4750,9355,47,42,88,3999,4121,8123,184,148,327,4231,4307,8539,48,64,114,3964,4080,8041,194,150,344,4205,4293,8497,36,42,74,3533,3631,7167,194,121,312,3762,3795,7556,31,30,66,3163,3425,6585,174,130,308,3366,3588,6959,49,52,107,9378,11422,20796,472,516,988,9904,11983,21892,1020,1035,2050,66815,69734,136552,3620,3294,6911,71449,74059,145507
CED803,191,160,356,5500,5154,10654,169,166,333,5864,5478,11343,190,182,377,5824,5531,11355,162,156,322,6178,5872,12045,179,135,310,5109,4657,9768,164,160,323,5446,4960,10408,160,151,307,4159,3990,8150,126,114,236,4442,4251,8696,164,166,328,4971,4894,9870,180,166,344,5307,5231,10540,157,141,298,6598,6491,13089,266,245,511,7014,6877,13892,121,130,255,6698,7107,13804,228,226,458,7046,7469,14518,109,113,220,6938,7222,14159,229,222,445,7277,7548,14826,91,102,194,6109,5996,12104,172,153,321,6368,6247,12618,87,91,173,5166,5250,10416,180,130,310,5428,5473,10896,64,73,133,4322,4176,8501,119,108,222,4496,4360,8862,53,41,98,3336,3482,6818,111,93,201,3508,3616,7117,33,49,85,2757,3086,5847,67,65,135,2860,3202,6070,64,72,134,7186,8694,15882,190,223,413,7440,8984,16431,1652,1618,3267,74688,75741,150422,2352,2217,4574,78697,79572,158267
CED894,3,0,4,8,4,11,0,0,0,18,9,19,0,0,0,3,0,6,0,0,0,3,4,9,0,0,0,7,5,12,0,3,3,7,9,14,0,5,10,22,30,53,0,0,0,23,37,58,5,4,5,34,33,66,7,4,8,44,40,82,0,0,3,27,25,58,0,10,10,32,33,63,0,4,0,22,14,35,5,0,6,30,19,45,3,0,3,23,13,32,4,0,7,34,15,45,0,0,4,23,14,39,15,5,13,30,26,54,5,0,5,15,13,28,8,3,8,29,12,40,0,0,0,19,17,29,3,0,5,22,14,40,0,0,4,11,11,20,7,0,7,17,15,32,0,0,3,10,17,32,4,3,9,20,21,45,0,0,0,20,11,34,3,4,9,30,21,46,26,20,44,239,220,462,72,29,100,336,273,605
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
