CED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED801,1012,324,2617,27286,41065,16727,9369,23788,5404,123643
CED802,1377,318,3198,31095,42683,15088,6701,22065,7336,124971
CED803,612,110,1420,27471,39661,15453,8740,28143,5009,124469
CED894,0,0,4,123,123,39,17,138,126,560
CED897,0,0,0,0,0,0,0,0,0,0
