CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED801,251,910,1218,781,663,891,1153,708,228,6796,206,1177,2031,1176,1058,1240,1344,721,215,9159,108,1218,2773,1872,1584,1755,1421,607,162,11501,48,949,2973,1926,1504,1524,1038,407,124,10494,11,519,3084,2383,1973,1732,873,324,75,10972,0,144,2090,2236,1895,1489,629,160,31,8685,6,117,3008,5347,4935,3084,748,166,46,17455,0,15,345,938,974,629,165,26,3,3099,4,13,405,1569,1743,1128,286,66,18,5229,330,431,1114,924,726,591,591,560,412,5685,8395,8820,22319,21933,19674,18075,14171,7647,2617,123643
CED802,371,1298,1334,565,393,558,807,618,265,6209,327,1447,1802,914,614,713,948,603,292,7658,130,1641,2814,1359,871,1001,1146,636,221,9828,49,1517,3249,1328,864,1003,999,473,167,9666,29,791,3711,1693,1237,1071,921,436,133,10018,6,252,2675,1814,1327,1075,672,262,92,8173,17,179,4476,5364,4407,2721,1033,381,112,18684,3,24,535,1287,1293,799,296,94,30,4368,10,31,608,2461,3165,2092,609,171,74,9223,692,1228,1632,1010,760,708,666,513,507,7707,9325,14923,27091,20191,17042,14515,11733,6954,3198,124971
CED803,217,1073,1830,1043,756,655,882,468,130,7056,210,1321,2815,1725,1114,912,883,448,109,9541,117,1344,3929,2455,1641,1189,880,366,89,12000,41,1060,3509,2625,1627,1100,695,216,49,10916,17,531,3432,2970,1982,1220,557,155,33,10900,6,166,2230,2887,1983,1058,331,83,17,8760,7,133,3145,6163,4806,2101,471,85,15,16938,0,9,384,1142,929,455,87,18,5,3032,0,15,359,1554,1417,663,126,36,6,4177,319,514,1332,998,683,443,378,242,125,5036,8696,10540,28413,27449,19759,13189,10079,4928,1420,124469
CED894,0,4,4,3,8,4,0,0,0,29,0,7,5,3,6,6,4,4,0,33,0,7,16,3,0,4,0,0,0,41,0,4,8,0,4,3,0,0,0,19,0,8,7,0,0,4,0,0,0,15,0,0,3,3,5,4,0,0,0,13,0,0,6,6,10,0,0,0,0,24,0,0,0,4,0,4,0,0,0,7,0,0,4,0,0,3,0,0,0,11,7,7,17,27,26,20,10,5,0,121,58,82,108,104,77,78,34,10,4,560
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
