CED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED801,2359,20132,22932,7237,3861,56524,539,57064
CED802,4495,25396,18779,4734,2206,55608,472,56079
CED803,2448,20271,23288,6444,3277,55727,520,56249
CED894,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0
