CED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED801,..,14084,14084,17705,1091,18797,9191,314,9501,9469,100,9562,3579,19,3601,1510,8,1514,41454,15611,57064
CED802,..,17508,17508,17262,2285,19550,7027,1180,8208,6966,435,7404,2369,126,2497,852,56,907,34479,21596,56079
CED803,..,12103,12103,15674,1400,17071,9728,517,10246,10612,212,10823,4046,75,4120,1829,48,1873,41883,14361,56249
CED894,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
