CED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
CED801,0,0,0,0,4451,4455,102,5,4,0,4386,4499,3666,131,173,8,7035,11016,6884,332,567,19,2987,10782,6054,428,1025,38,2052,9592,5744,351,1188,125,1172,8586,4911,192,876,278,403,6654,2564,98,351,362,101,3475,651,11,52,323,33,1071,30571,1551,4229,1158,22616,60122,3,0,0,4,3931,3939,260,11,9,0,4048,4321,4755,208,246,16,6086,11299,7104,478,788,47,2734,11153,6032,555,1532,143,1817,10085,5740,419,1866,417,1048,9486,4370,244,1484,997,414,7512,1933,65,620,1414,131,4174,301,10,133,1071,32,1547,30495,1994,6683,4101,20237,63515,6,0,0,0,8379,8395,361,12,7,0,8437,8820,8422,338,426,24,13118,22319,13989,811,1352,65,5714,21933,12086,986,2558,177,3868,19674,11483,767,3057,544,2220,18075,9273,436,2353,1274,819,14171,4498,169,971,1779,234,7647,950,26,182,1390,61,2617,61066,3547,10911,5265,42852,123643
CED802,0,0,0,0,4550,4554,112,4,4,3,7153,7283,3118,116,166,8,10229,13639,5650,287,532,18,3496,9981,5152,390,848,22,2024,8437,4446,292,974,65,1342,7127,3820,161,733,200,635,5548,2270,68,291,323,173,3122,689,20,70,410,36,1223,25258,1340,3634,1051,29639,60917,0,0,0,0,4763,4775,227,7,16,0,7387,7639,3872,159,253,9,9159,13449,5887,346,722,39,3223,10210,5079,400,1078,129,1915,8603,4236,269,1354,303,1231,7392,3633,172,1142,711,529,6187,1713,71,549,1320,179,3827,363,10,173,1357,70,1970,25013,1440,5283,3869,28453,64056,3,0,0,0,9318,9325,344,12,17,3,14548,14923,6991,279,417,19,19392,27091,11538,625,1251,59,6715,20191,10225,791,1926,156,3937,17042,8677,560,2336,367,2576,14515,7452,330,1875,909,1170,11733,3982,141,844,1641,345,6954,1050,29,241,1764,105,3198,50264,2773,8915,4913,58098,124971
CED803,6,0,0,0,4432,4442,160,8,0,6,5143,5307,5348,157,201,8,8355,14066,9433,386,681,21,3122,13647,6773,374,994,54,1735,9924,4402,257,853,99,760,6370,3407,154,557,185,268,4581,1708,51,192,253,69,2268,366,9,40,175,16,593,31608,1391,3516,795,23894,61208,0,0,4,0,4245,4251,405,12,11,5,4792,5231,6981,282,312,13,6759,14345,9341,504,967,65,2919,13794,6200,502,1411,152,1574,9833,4056,298,1369,358,740,6818,3114,195,1107,810,283,5508,1206,46,373,959,79,2661,178,6,72,540,22,821,31481,1833,5624,2902,21412,63262,5,0,6,0,8683,8696,566,15,15,5,9939,10540,12327,440,516,19,15113,28413,18776,894,1648,87,6050,27449,12976,875,2400,201,3309,19759,8466,550,2221,458,1498,13189,6522,346,1664,996,551,10079,2910,95,561,1218,141,4928,540,12,110,719,34,1420,63094,3228,9138,3706,45311,124469
CED894,0,0,0,0,23,23,0,0,0,0,43,44,5,0,0,0,55,60,0,4,0,0,54,62,10,8,12,0,28,53,7,3,7,0,7,38,7,3,10,0,9,21,0,0,0,0,0,6,0,0,0,0,0,0,32,19,35,7,221,315,0,0,0,0,37,37,0,0,0,0,42,40,9,0,0,0,40,53,8,4,3,0,21,33,3,0,7,0,16,30,9,4,11,6,8,35,3,0,7,0,0,10,0,0,0,3,0,8,0,0,0,0,0,0,40,10,30,8,158,249,0,0,0,0,58,58,0,0,0,0,83,82,14,0,0,0,91,108,11,9,6,0,75,104,8,3,20,4,46,77,23,8,24,3,17,78,10,3,8,6,9,34,6,0,0,3,0,10,0,0,0,0,0,4,76,32,68,15,375,560
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
