CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED801,..,351,537,144,121,167,102,36,6,1469,..,224,919,666,926,1550,1862,1457,650,8249,167,192,204,111,91,156,128,63,21,1139,13536,7958,10866,10741,9714,9066,7044,3795,1172,73897,..,268,7510,13195,11470,10614,8450,4069,777,56340,..,1333,5088,2808,2147,1359,598,153,24,13514,..,101,746,1581,1972,1160,478,278,168,6487,27658,..,..,..,..,..,..,..,..,27658,..,7331,..,..,..,..,..,..,..,7331,..,4703,2678,799,475,204,49,0,0,8899,..,710,718,215,218,436,415,263,146,3116,..,555,834,208,117,72,36,14,3,1845,..,738,1315,423,332,363,217,80,19,3490,..,411,1919,1501,1902,2702,2788,1983,880,14084,338,382,444,276,220,276,217,105,39,2297,27997,16534,21244,21006,18856,17188,13247,6947,2042,145064
CED802,..,2383,2003,253,124,152,84,41,23,5058,..,544,1842,1268,1036,1447,1618,1370,777,9902,99,446,328,135,84,121,104,66,20,1401,9556,9023,12361,9577,8136,6878,5619,3395,1363,65913,..,248,5801,10421,9329,7658,6483,3488,834,44269,..,1699,6575,2929,1973,1271,597,165,26,15230,..,36,319,981,1420,801,304,222,180,4252,19421,..,..,..,..,..,..,..,..,19421,..,5810,..,..,..,..,..,..,..,5810,..,2327,1390,442,316,198,42,0,0,4721,..,606,642,177,132,232,255,206,124,2369,..,700,1174,240,90,73,15,9,6,2306,..,4292,4471,675,317,325,171,74,28,10352,..,971,3659,2647,2197,2567,2521,1890,1061,17512,190,758,623,303,227,232,194,111,33,2664,19609,17447,24641,18811,16001,13351,10569,6160,2306,128894
CED803,..,764,860,184,120,139,88,6,11,2178,..,270,1013,863,912,1174,1366,904,352,6845,139,213,213,123,115,89,97,53,13,1054,15789,9059,13773,13355,9530,6539,5246,2506,651,76441,..,443,10762,17634,12193,7793,6002,2670,454,57948,..,1653,5975,3038,1756,881,402,113,4,13822,..,97,720,1706,1895,907,374,210,95,6009,32440,..,..,..,..,..,..,..,..,32440,..,7497,..,..,..,..,..,..,..,7497,..,4332,2165,663,390,139,24,0,0,7716,..,922,938,294,253,380,451,291,86,3623,..,851,1526,309,139,94,33,10,0,2954,..,1632,2491,647,375,316,170,31,15,5687,..,556,2169,1916,1847,1935,1969,1233,479,12106,294,407,455,286,222,160,147,71,18,2062,32734,18393,27208,26494,19072,12602,9578,4632,1150,151868
CED894,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,14,38,24,17,10,20,3,7,0,132,14,38,24,17,10,20,3,7,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,18,59,57,41,32,23,19,3,0,263,18,59,57,41,32,23,19,3,0,263
CED897,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
