CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED801,1689,1136,1401,1202,1104,919,747,489,238,8925,28964,17215,22319,21933,19674,18075,14171,7647,2617,152615
CED802,1193,2292,1907,1264,1075,965,749,390,228,10063,20542,24247,27091,20191,17042,14515,11733,6954,3198,145513
CED803,1986,1196,1570,1373,1048,635,462,229,63,8562,33801,19232,28413,27449,19759,13189,10079,4928,1420,158270
CED894,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
