CED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED801,2258,322,2617,26450,9800,1126,37375,80992,5273,123643
CED802,2841,312,3198,20445,6986,877,28309,89421,7237,124971
CED803,1286,105,1420,31110,7643,1063,39818,79766,4881,124469
CED894,0,0,4,63,32,0,97,335,130,560
CED897,0,0,0,0,0,0,0,0,0,0
