CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED801,24,33,110,113,161,326,632,691,362,2453,11,11,41,65,72,81,80,99,56,505,242,315,926,766,633,560,656,595,336,5033,3233,8816,22305,21930,19665,18064,14161,7641,2617,118430
CED802,24,13,64,94,114,187,359,496,396,1747,0,17,84,58,66,58,78,78,57,497,648,1138,1574,951,721,677,668,493,350,7223,5171,14911,27075,20177,17035,14508,11736,6948,3197,120762
CED803,28,24,130,187,210,335,570,510,233,2223,8,28,151,116,129,149,112,104,40,832,258,442,1246,918,643,413,390,287,134,4738,3392,10513,28393,27432,19747,13180,10078,4927,1420,119087
CED894,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
