CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED801,75080,77528,152610,4785,4419,9197,10171,9589,19763,4455,3939,8395,4499,4321,8820,11016,11299,22319,10782,11153,21933,9592,10085,19674,8586,9486,18075,6654,7512,14171,3475,4174,7647,1071,1547,2617,72439,75035,147470,2645,2496,5137,1819,1735,3550,62,52,112,65,73,136,1944,1858,3800,54624,55303,109931,17894,19797,37692,57566,58949,116516,14453,15912,30360,67010,69400,136407,1345,1299,2643,9740,9185,18925,3529,3233,6756,1739,1846,3583,3043,4272,7319,41651,44084,85738,3363,3113,6479,8802,9612,18414,2112,2368,4474,1402,1578,2977,220,290,513,71349,74085,145430,2888,2743,5630
CED802,71449,74059,145507,3173,3065,6231,7362,6944,14310,4554,4775,9325,7283,7639,14923,13639,13449,27091,9981,10210,20191,8437,8603,17042,7127,7392,14515,5548,6187,11733,3122,3827,6954,1223,1970,3198,68315,70863,139176,3133,3200,6332,950,956,1911,19,31,53,46,43,91,1020,1035,2050,47726,48827,96554,19918,21738,41656,52096,53622,105717,15347,16689,32031,59703,62320,122022,976,961,1938,7054,6647,13706,3780,4019,7800,4237,4638,8879,4930,5692,10620,48401,50711,99115,2090,2015,4108,4167,4934,9103,1332,1419,2749,950,1210,2156,224,274,501,63035,65874,128905,9181,8721,17905
CED803,78697,79572,158267,5864,5478,11343,11627,10833,22453,4442,4251,8696,5307,5231,10540,14066,14345,28413,13647,13794,27449,9924,9833,19759,6370,6818,13189,4581,5508,10079,2268,2661,4928,593,821,1420,76448,77512,153961,2249,2059,4305,1587,1542,3127,34,22,62,33,44,77,1652,1618,3267,50787,50812,101597,25402,26368,51771,51191,51376,102568,24591,25398,49988,66178,66932,133117,1719,1615,3338,11092,10321,21417,3585,3532,7116,2304,2512,4815,4497,5823,10324,44964,46363,91325,3138,2930,6069,7115,7715,14830,1934,2044,3979,1230,1463,2694,378,455,837,75593,76599,152191,2497,2476,4973
CED894,336,273,605,18,9,19,13,13,25,23,37,58,44,40,82,60,53,108,62,33,104,53,30,77,38,35,78,21,10,34,6,8,10,0,0,4,0,0,0,336,273,605,20,20,41,0,0,0,0,0,0,26,20,44,201,176,384,56,62,121,201,196,400,35,43,81,219,199,417,3,0,7,4,10,19,12,28,42,16,14,29,7,12,21,106,143,253,20,19,44,58,41,94,13,7,23,7,6,11,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
