CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED801,0,15,16,88,59,98,213,195,66,755,0,0,6,16,21,34,79,109,46,321,0,21,30,172,62,101,70,11,5,479,52,370,368,3037,609,307,186,89,37,5055,0,16,14,102,44,35,44,11,12,282,0,7,29,126,49,48,33,11,4,307,0,28,33,142,62,46,23,3,0,351,0,38,20,75,37,44,43,45,26,330,0,9,13,51,38,106,197,145,65,615,0,10,22,79,46,15,18,3,0,201,4,24,37,254,61,22,19,9,0,434,0,4,10,63,52,55,45,11,6,249,4,36,39,248,140,165,135,51,16,842,0,3,0,7,0,19,37,44,4,119,0,9,11,41,16,17,5,3,0,100,0,0,3,51,25,17,25,9,5,135,3,30,270,1354,30,17,8,0,0,1707,0,0,9,23,29,43,121,82,46,351,15,106,121,477,378,427,259,125,20,1930,0,6,4,46,19,33,31,8,0,143
CED802,4,14,56,182,116,92,160,146,79,852,0,0,7,28,21,56,75,143,66,406,6,33,167,310,66,88,56,18,8,738,26,193,460,2193,336,177,143,55,25,3608,3,47,90,280,54,38,28,23,9,570,0,12,37,207,46,29,17,6,3,355,0,10,19,41,23,19,10,3,0,130,0,6,23,94,45,36,53,32,12,301,4,9,17,120,55,97,159,182,107,744,3,29,66,123,66,38,36,10,4,373,3,28,99,450,110,55,23,14,6,790,0,9,6,28,22,10,14,12,0,96,7,32,185,395,155,145,94,38,21,1069,0,0,0,8,6,7,38,8,5,67,0,4,12,36,13,4,0,0,0,64,0,0,26,54,38,25,11,14,0,169,5,15,263,1137,13,3,7,0,0,1450,4,26,29,53,55,42,77,72,35,391,6,67,260,577,322,292,195,118,36,1874,0,0,0,38,14,21,35,10,6,127
CED803,3,17,29,111,75,78,178,98,26,612,0,3,7,22,14,38,76,80,38,279,5,36,50,292,88,103,85,16,6,682,49,451,701,5745,870,350,249,99,13,8533,7,41,34,200,95,51,27,15,3,470,0,27,45,271,57,29,16,4,0,454,0,17,33,114,31,25,15,9,0,255,0,19,12,104,29,35,23,31,8,271,0,7,9,73,62,80,144,119,54,550,6,32,19,107,66,20,18,5,7,276,12,58,114,855,174,79,26,8,3,1328,0,9,5,51,26,11,20,6,0,123,8,47,83,394,157,126,84,34,10,940,0,0,0,3,7,4,33,15,3,67,0,3,26,103,27,26,19,0,0,201,0,4,25,150,95,44,19,14,7,360,3,28,455,1937,57,20,13,11,0,2528,3,9,12,39,18,20,77,66,17,263,20,132,173,604,267,217,134,54,11,1607,0,0,7,52,31,51,46,20,0,202
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
