LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA89399,4786,4587,4839,3787,3175,2471,1914,1080,530,27169,82892,60460,77634,69285,56126,45328,35639,19340,7180,453884
LGA89499,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
