SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL80001,8,6,0,0,0,0,0,9,0,23
SAL80002,0,4,8,0,3,0,0,0,0,23
SAL80003,0,0,0,0,0,0,0,0,0,0
SAL80004,6,0,0,0,0,0,0,0,0,12
SAL80005,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,4,0,0,0,5
SAL80007,0,0,0,0,0,0,0,0,0,0
SAL80008,11,8,11,3,4,5,0,0,0,36
SAL80009,0,6,0,0,0,0,0,3,0,15
SAL80010,67,11,9,9,3,0,0,0,3,107
SAL80011,0,0,0,0,0,0,0,0,0,11
SAL80012,19,6,4,3,5,0,0,9,3,53
SAL80013,0,0,0,0,0,0,0,0,0,0
SAL80014,11,8,3,5,5,0,0,0,0,43
SAL80015,10,7,0,0,8,0,0,0,0,37
SAL80016,0,0,0,0,0,0,0,0,0,0
SAL80017,23,326,25,502,151,232,15,65,14,1361
SAL80018,610,1063,148,240,300,146,30,91,54,2674
SAL80019,626,913,377,368,563,237,100,161,61,3401
SAL80020,294,526,82,103,124,68,6,69,27,1307
SAL80021,407,555,451,320,595,231,167,187,72,2986
SAL80022,306,576,35,87,149,36,4,14,36,1239
SAL80023,0,0,0,0,0,0,0,0,0,5
SAL80024,629,1719,488,788,688,498,141,309,106,5364
SAL80025,551,1119,417,492,592,282,122,247,114,3923
SAL80026,312,539,247,202,418,145,56,110,56,2076
SAL80027,971,2136,221,383,625,165,33,90,88,4717
SAL80028,637,1548,342,701,593,445,73,251,103,4694
SAL80029,488,726,442,346,603,221,108,175,74,3172
SAL80030,1729,1195,126,392,357,136,24,71,89,4127
SAL80031,7,19,5,13,11,5,0,4,0,63
SAL80032,0,0,0,0,0,0,0,0,0,0
SAL80033,661,1032,409,410,650,240,113,166,90,3772
SAL80034,315,509,98,119,181,82,20,40,33,1393
SAL80035,181,293,254,218,255,97,76,114,34,1514
SAL80036,268,489,138,161,181,98,32,121,28,1504
SAL80037,393,566,409,299,488,191,139,191,81,2753
SAL80038,513,1207,124,348,347,216,17,85,66,2925
SAL80039,443,621,378,322,588,214,106,157,56,2887
SAL80040,322,604,108,136,176,73,15,67,26,1530
SAL80041,466,1061,249,328,391,162,57,132,59,2913
SAL80042,561,876,239,301,415,134,41,85,52,2707
SAL80043,612,1095,195,246,331,132,41,125,62,2839
SAL80044,342,675,58,141,186,68,9,35,25,1542
SAL80045,320,718,114,106,204,84,30,34,33,1646
SAL80046,405,869,141,212,280,90,27,85,40,2142
SAL80047,475,782,218,259,289,115,42,173,44,2387
SAL80048,376,559,162,159,261,98,32,73,26,1745
SAL80049,607,916,533,497,720,256,120,242,71,3958
SAL80050,497,849,375,292,443,175,86,191,59,2960
SAL80051,366,518,132,138,258,97,29,48,14,1602
SAL80052,402,577,161,177,238,85,28,80,43,1801
SAL80053,305,520,157,176,227,78,43,47,32,1573
SAL80054,348,677,257,279,392,152,89,164,58,2407
SAL80055,297,519,268,203,285,132,50,104,27,1888
SAL80056,561,835,185,235,371,162,37,89,49,2524
SAL80057,285,456,30,45,133,63,9,17,26,1074
SAL80058,688,1353,451,584,631,331,125,285,104,4554
SAL80059,178,281,143,111,162,55,32,62,26,1047
SAL80060,8,5,0,0,0,3,0,3,0,22
SAL80061,329,738,103,169,211,86,26,66,36,1757
SAL80062,217,320,234,136,267,89,58,105,29,1455
SAL80063,302,481,232,186,250,85,39,80,40,1678
SAL80064,681,949,578,464,874,291,181,227,96,4340
SAL80065,297,441,171,184,242,86,37,99,35,1603
SAL80066,380,722,255,292,444,138,72,93,45,2441
SAL80067,740,1338,163,255,373,170,27,81,60,3212
SAL80068,732,1377,641,722,726,385,157,384,102,5226
SAL80069,422,631,100,131,173,81,22,51,23,1627
SAL80070,24,50,10,15,27,8,5,5,0,147
SAL80071,883,1485,465,579,645,353,90,235,142,4878
SAL80072,292,458,144,178,190,102,27,77,24,1493
SAL80073,247,444,224,180,250,112,53,127,28,1668
SAL80074,291,483,144,108,210,68,28,67,52,1446
SAL80075,393,756,369,371,477,186,99,166,62,2879
SAL80076,353,576,88,159,175,72,22,73,31,1542
SAL80077,0,3,3,0,0,0,0,0,0,10
SAL80078,227,426,70,100,167,51,19,41,16,1122
SAL80079,299,496,337,303,404,145,101,157,42,2276
SAL80080,48,99,44,56,75,15,10,30,10,381
SAL80081,638,1076,448,406,552,231,94,261,79,3782
SAL80082,1221,2073,891,923,1224,497,236,441,175,7685
SAL80083,1112,1993,164,318,501,133,36,64,107,4425
SAL80084,302,493,256,208,293,118,67,122,43,1900
SAL80085,244,658,166,233,238,124,55,109,47,1877
SAL80086,606,1268,235,347,409,180,56,172,75,3348
SAL80087,285,526,150,240,190,99,38,177,37,1742
SAL80088,145,221,79,76,129,33,19,31,18,745
SAL80089,549,963,476,496,601,241,134,233,88,3776
SAL80090,0,0,0,0,0,0,0,0,0,0
SAL80091,265,526,151,188,180,94,32,87,32,1555
SAL80092,313,538,174,208,253,121,31,137,30,1805
SAL80093,265,383,180,118,214,74,41,57,20,1362
SAL80094,300,506,202,162,228,102,37,85,36,1649
SAL80095,0,0,0,3,0,0,0,0,0,3
SAL80096,0,0,0,0,0,0,0,0,0,0
SAL80097,450,722,304,267,491,169,91,134,59,2683
SAL80098,413,848,312,340,444,171,96,132,67,2826
SAL80099,722,1171,235,267,373,170,56,142,73,3214
SAL80100,883,1568,746,745,986,410,204,363,109,6017
SAL80101,718,1111,337,355,641,254,100,159,63,3731
SAL80102,686,1360,199,358,386,158,40,130,75,3382
SAL80103,101,190,24,33,67,33,6,21,10,480
SAL80104,22,30,18,19,17,9,7,15,5,147
SAL80105,130,224,108,78,152,56,34,37,16,830
SAL80106,200,425,152,154,175,86,42,115,33,1392
SAL80107,453,853,328,328,519,193,84,182,61,3000
SAL80108,0,0,0,0,0,0,0,0,0,0
SAL80109,325,438,105,135,182,88,27,57,23,1384
SAL80110,473,1369,293,374,509,206,70,191,61,3548
SAL80111,19,6,14,7,7,0,3,3,0,81
SAL80112,381,645,75,141,169,111,18,51,41,1629
SAL80113,178,351,68,73,120,31,11,25,19,880
SAL80114,178,294,258,192,282,111,124,120,39,1591
SAL80115,272,520,179,184,233,68,35,81,35,1618
SAL80116,0,0,0,0,0,0,0,0,0,0
SAL80117,233,456,183,179,210,95,46,112,24,1533
SAL80118,206,338,182,150,220,87,24,76,24,1304
SAL80119,181,285,85,116,129,64,21,42,16,946
SAL80120,51,119,51,59,79,31,15,26,11,437
SAL80121,17,15,32,24,25,15,26,38,3,193
SAL80122,157,297,123,171,163,89,54,58,33,1156
SAL80123,3,8,18,8,6,5,0,3,0,46
SAL80124,338,466,296,248,408,149,87,141,60,2191
SAL80125,203,445,147,141,181,81,24,51,34,1321
SAL80126,234,412,118,104,196,66,25,46,20,1227
SAL80127,576,1372,122,218,440,135,19,73,72,3040
SAL80128,36,48,28,16,19,5,7,11,3,186
SAL80129,627,1142,426,416,648,242,127,216,87,3937
SAL80130,295,426,137,145,174,74,29,62,20,1365
SAL80131,804,1492,283,387,439,200,53,216,72,3940
SAL80132,309,495,103,161,174,89,26,53,26,1427
SAL80133,399,687,167,160,261,99,32,60,34,1903
SAL80134,0,0,0,0,0,0,0,0,0,0
SAL80135,396,944,182,246,366,115,49,79,49,2424
SAL80136,365,595,53,119,175,85,12,42,41,1483
SAL89494,28,51,25,30,27,21,5,19,0,216
