SAL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SAL80050,4,0,0,0,9,0,0,6,0,9,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,3,3,10,0,21,35,8,14,3,56,27,0,11,5,48,33,5,23,0,65,62,12,26,0,101,39,23,25,0,86,25,29,26,4,75,78,72,45,3,200,66,97,19,0,180,60,99,11,0,172,42,96,3,0,142,75,252,13,0,341,20,42,11,0,81,0,0,5,0,5,574,739,244,24,1579
SAL80051,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,0,0,10,5,0,0,0,9,13,0,5,0,19,13,0,7,0,18,28,0,6,0,31,15,3,3,0,21,29,8,3,0,44,43,17,17,3,75,37,27,9,0,81,39,46,3,0,95,23,53,0,0,78,86,251,15,0,357,12,42,6,0,54,0,0,0,0,0,364,454,84,6,909
SAL80052,5,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,4,0,3,5,0,3,0,5,0,0,5,0,3,8,3,0,0,15,11,3,3,0,22,17,3,5,0,26,46,11,12,0,65,19,14,7,0,38,32,14,10,0,54,56,33,13,0,104,45,36,6,0,99,40,39,8,0,86,20,39,6,0,65,79,277,20,0,374,12,31,9,0,52,0,0,5,0,3,406,505,107,11,1028
SAL80053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,4,4,0,6,16,0,8,0,23,11,8,7,3,28,21,0,7,0,35,38,10,13,0,57,13,5,11,0,24,29,13,5,0,48,40,31,16,7,92,26,31,5,0,67,20,64,11,0,97,23,39,3,0,66,62,187,6,0,253,10,29,10,0,52,5,0,0,0,5,319,422,124,8,874
SAL80054,7,4,0,0,11,4,0,0,0,11,0,0,7,0,7,0,0,6,0,7,5,0,9,0,21,3,5,22,0,28,34,7,11,0,50,36,10,15,0,61,29,10,21,0,65,43,21,16,0,72,28,19,24,0,72,32,22,16,0,78,82,60,33,4,181,58,67,16,5,143,46,57,6,3,115,33,49,6,3,94,65,191,4,0,263,15,38,6,0,54,10,0,5,0,11,534,569,227,19,1346
SAL80055,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,11,0,9,0,3,11,0,9,17,0,5,0,27,14,0,5,3,25,22,4,13,5,42,22,12,6,0,49,21,14,7,0,47,31,3,15,0,50,43,38,17,3,104,41,54,10,0,109,29,76,8,0,110,25,59,6,0,91,59,211,3,0,282,6,28,6,0,42,3,0,0,0,3,356,520,126,15,1014
SAL80056,6,4,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,5,0,5,0,0,3,0,6,0,0,3,0,11,18,0,7,0,22,5,3,4,5,16,12,4,8,0,25,21,6,13,0,38,11,12,6,0,35,15,14,12,0,41,33,51,22,4,106,28,51,4,0,79,34,84,10,0,136,26,89,4,0,115,86,417,18,0,520,11,32,8,0,46,7,3,4,0,11,309,776,127,10,1222
SAL80057,3,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,12,6,3,0,21,8,0,4,0,12,8,3,5,0,11,24,9,9,0,36,28,14,4,0,42,26,7,8,0,46,26,6,4,0,34,137,125,7,7,270,15,16,4,0,36,0,0,0,0,3,296,189,41,3,536
SAL80058,15,4,7,0,20,6,0,0,0,6,4,0,4,0,10,4,0,4,0,10,10,8,3,0,19,13,6,4,0,27,18,9,5,0,38,15,13,13,0,51,44,28,17,0,99,59,34,16,3,115,52,36,16,0,118,45,50,16,5,112,149,123,31,3,307,91,109,8,4,211,61,108,14,5,181,38,97,5,5,143,75,323,13,4,411,25,48,17,0,86,0,3,3,0,8,723,1002,203,38,1971
SAL80059,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,17,0,3,0,18,5,5,8,0,21,12,3,5,0,20,32,3,3,0,43,18,7,5,0,32,14,14,8,0,32,27,29,17,0,80,20,21,8,0,52,19,33,0,0,58,14,42,3,0,60,37,122,9,0,164,9,17,9,0,35,0,0,0,0,5,229,299,90,3,620
