SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL80063,0,16,12,5,6,3,3,8,0,51,0,0,3,4,0,9,0,10,5,42,82,175,192,138,415,381,104,166,14,1678
SAL80064,7,22,17,13,33,47,9,19,0,174,0,10,4,3,21,19,0,4,14,79,199,456,407,293,1176,1062,277,431,41,4340
SAL80065,3,12,14,3,11,21,6,5,0,81,0,3,0,0,5,0,0,0,6,23,73,198,159,126,406,365,102,163,14,1603
SAL80066,3,12,14,7,23,13,10,4,0,87,0,0,4,3,10,11,0,0,13,46,100,188,213,169,787,606,141,207,27,2441
SAL80067,0,17,8,0,22,7,4,6,0,70,0,8,6,0,6,4,0,10,14,47,140,347,252,160,746,754,268,531,22,3212
SAL80068,4,21,25,9,42,36,5,17,4,164,5,15,17,8,26,31,6,9,34,155,158,556,673,340,1566,1149,282,437,68,5226
SAL80069,0,8,3,6,8,9,3,0,0,35,0,3,0,5,3,3,0,0,6,21,76,248,164,142,363,315,128,183,12,1627
SAL80070,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,5,4,3,25,19,10,21,33,6,20,5,147
SAL80071,9,20,30,13,31,19,3,6,0,130,0,10,15,5,32,30,6,8,49,147,170,520,492,273,1389,1208,291,443,84,4878
SAL80072,0,7,8,4,5,12,0,4,0,34,0,4,5,0,5,4,0,8,3,31,56,234,168,99,296,342,111,169,13,1493
SAL80073,5,10,10,9,9,5,0,10,3,58,0,3,0,0,3,3,0,3,5,31,91,187,153,133,438,390,101,158,24,1668
SAL80074,3,0,8,3,12,9,5,4,0,46,0,3,0,0,0,6,0,3,13,30,62,163,149,102,372,342,98,149,25,1446
SAL80075,8,13,6,16,18,14,10,14,0,99,0,15,7,4,14,15,0,4,13,71,150,299,255,230,837,657,174,244,36,2879
SAL80076,0,0,8,6,7,9,4,9,0,44,0,0,3,0,4,3,0,0,5,19,62,205,157,117,319,347,117,206,13,1542
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10
SAL80078,0,9,4,0,0,10,3,0,0,21,0,0,0,0,5,0,0,3,3,13,34,151,109,64,256,275,71,146,11,1122
SAL80079,4,15,6,4,27,24,11,14,0,97,0,0,5,4,16,4,0,7,21,49,121,232,209,155,690,503,129,199,43,2276
SAL80080,0,0,0,0,6,0,0,4,0,11,0,0,0,3,0,5,0,0,4,14,22,32,30,27,123,76,20,35,5,381
SAL80081,8,22,27,7,25,22,5,10,0,113,0,14,12,4,18,13,0,12,25,92,166,495,461,291,936,805,250,335,50,3782
SAL80082,6,47,36,33,59,46,15,17,0,260,0,15,22,11,31,26,6,12,35,155,384,998,815,612,1864,1655,502,780,81,7685
