SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL80037,14,0,24,914,1370,563,355,814,153,4174
SAL80038,4,0,23,1257,1489,268,102,1021,547,4686
SAL80039,15,0,41,997,1299,540,322,815,125,4090
SAL80040,24,6,73,536,996,371,169,294,87,2450
SAL80041,3,0,11,798,1233,409,285,802,155,3680
SAL80042,12,4,38,790,1233,437,248,792,104,3607
SAL80043,103,0,196,1000,1639,711,296,706,121,4485
SAL80044,51,10,141,600,890,399,180,389,135,2596
SAL80045,0,0,0,464,695,257,140,427,60,2035
SAL80046,11,0,35,798,1067,279,122,498,105,2863
SAL80047,39,0,74,840,1241,449,203,635,165,3530
SAL80048,23,4,59,606,993,413,217,407,91,2729
SAL80049,17,0,40,1298,1851,714,386,1133,187,5560
SAL80050,18,0,49,971,1523,659,335,803,116,4394
SAL80051,8,0,28,566,860,388,193,373,47,2429
SAL80052,77,33,191,661,1055,476,210,551,158,3105
SAL80053,18,3,82,538,897,379,193,421,107,2532
SAL80054,21,4,69,851,1254,519,308,874,144,3960
SAL80055,11,5,30,658,970,432,235,513,91,2900
SAL80056,4,0,11,734,1131,438,248,598,113,3252
SAL80057,13,0,36,413,619,235,90,205,56,1625
SAL80058,3,0,14,1310,1717,609,342,1704,278,5971
SAL80059,6,0,16,375,594,262,168,257,45,1707
SAL80060,0,0,0,11,15,0,0,17,5,53
SAL80061,66,3,140,639,943,437,234,528,166,2938
SAL80062,11,0,27,462,725,282,153,472,62,2164
SAL80063,15,3,27,589,901,422,225,444,89,2671
SAL80064,69,31,138,1469,2003,807,469,1388,229,6361
SAL80065,11,3,32,517,874,369,196,442,84,2482
SAL80066,42,21,105,882,1179,381,189,853,190,3669
SAL80067,102,5,157,1255,1666,541,239,767,163,4639
SAL80068,19,0,33,1652,1980,694,416,2146,333,7213
SAL80069,20,10,87,567,958,423,184,333,96,2556
SAL80070,0,0,6,59,88,36,20,34,9,251
SAL80071,6,0,19,1452,1940,723,399,1577,268,6354
SAL80072,18,5,66,539,884,401,190,409,100,2520
SAL80073,16,4,46,600,840,370,231,525,89,2656
SAL80074,18,0,63,480,839,368,167,346,93,2287
SAL80075,68,5,123,1040,1478,543,332,984,169,4550
SAL80076,134,12,207,563,886,397,158,525,83,2617
SAL80077,0,0,0,0,3,0,3,5,376,390
SAL80078,18,0,67,442,679,291,203,351,58,2031
SAL80079,35,7,83,752,1074,482,247,760,113,3429
SAL80080,0,0,0,114,159,47,43,114,16,492
SAL80081,65,6,130,1347,1986,906,458,1333,266,6295
SAL80082,77,23,191,2700,4400,1836,1074,2215,498,12729
SAL80083,18,0,42,1709,2259,540,189,735,583,6016
SAL80084,21,4,32,630,988,440,265,543,129,2981
SAL80085,3,0,4,566,650,168,101,736,166,2386
SAL80086,70,70,212,1242,1750,598,227,914,331,5053
SAL80087,38,7,109,610,819,354,161,650,126,2722
SAL80088,3,0,14,233,406,208,73,161,14,1106
SAL80089,14,0,32,1173,1814,707,408,1087,157,5335
SAL80090,0,0,0,0,0,0,0,0,0,0
SAL80091,20,0,60,576,865,341,177,470,161,2595
SAL80092,14,9,75,614,955,334,205,595,117,2831
SAL80093,15,0,45,478,725,353,198,451,82,2284
SAL80094,9,0,35,533,910,434,209,444,95,2635
SAL80095,0,0,0,0,5,0,0,0,0,6
SAL80096,0,0,0,0,0,0,0,0,0,0
SAL80097,93,88,281,939,1477,637,388,968,257,4651
SAL80098,0,0,0,746,1147,443,286,930,164,3713
SAL80099,77,95,230,1189,1729,684,317,988,410,5312
SAL80100,35,8,92,1930,2865,1001,629,1839,320,8585
SAL80101,21,0,61,1267,1864,827,401,1052,117,5535
SAL80102,42,4,89,1389,1822,648,264,722,159,5002
SAL80103,4,0,20,201,239,110,81,151,28,803
SAL80104,0,0,3,64,81,24,14,76,74,323
SAL80105,7,0,15,305,456,176,105,263,57,1371
SAL80106,113,62,246,495,747,298,148,657,225,2572
SAL80107,24,0,52,988,1405,584,317,979,172,4447
SAL80108,0,0,0,0,0,0,0,0,0,0
SAL80109,28,0,68,525,751,332,178,366,78,2226
SAL80110,13,0,42,1127,1479,375,217,1158,254,4613
SAL80111,0,0,5,30,30,16,5,22,11,115
SAL80112,66,3,131,629,790,388,218,451,85,2562
SAL80113,5,0,18,346,484,188,69,236,105,1425
SAL80114,11,0,24,550,736,288,177,603,95,2445
SAL80115,26,7,66,537,889,415,239,454,131,2664
SAL80116,0,0,0,0,0,0,0,0,0,0
SAL80117,7,3,31,498,776,378,179,488,118,2427
SAL80118,10,0,26,480,702,297,143,369,78,2068
SAL80119,88,9,134,366,545,288,143,398,71,1810
SAL80120,0,0,0,114,163,58,37,146,20,541
SAL80121,0,0,7,81,132,45,25,134,195,608
SAL80122,0,0,3,303,405,181,119,474,97,1582
SAL80123,0,0,0,16,25,6,10,6,0,63
SAL80124,12,0,22,685,1084,402,210,613,82,3070
SAL80125,0,0,3,307,487,216,133,475,67,1687
SAL80126,15,0,43,418,654,281,152,315,81,1899
SAL80127,10,0,43,1212,1663,370,134,597,146,4124
SAL80128,0,0,0,59,73,36,10,34,14,229
SAL80129,40,0,92,1349,2127,912,576,1123,233,6324
SAL80130,15,7,50,490,766,307,168,362,108,2205
SAL80131,28,0,74,1260,2000,788,346,796,200,5388
SAL80132,24,0,77,553,755,381,193,328,71,2276
SAL80133,74,45,175,636,1060,503,224,618,195,3239
SAL80134,0,0,0,0,0,0,0,4,0,4
SAL80135,3,0,9,761,1081,335,173,565,133,3043
SAL80136,24,3,84,617,892,472,217,334,105,2642
SAL89494,0,0,4,123,123,39,17,138,126,560
SAL89797,0,0,0,0,0,0,0,0,0,0
