SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL80001,0,0,0,10,7,3,0,3,9,34
SAL80002,0,0,0,15,11,0,4,3,13,45
SAL80003,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,7,0,0,0,0,12
SAL80005,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,4,0,0,4,7,16
SAL80007,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,12,9,5,0,9,18,51
SAL80009,0,0,0,8,4,3,0,4,3,22
SAL80010,0,0,4,18,19,12,9,65,39,157
SAL80011,0,0,0,6,0,0,0,0,8,11
SAL80012,0,0,0,10,28,12,0,12,8,68
SAL80013,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,3,17,14,10,3,7,5,51
SAL80015,0,0,0,12,11,6,8,7,5,49
SAL80016,0,0,0,0,5,0,0,0,0,0
SAL80017,0,0,0,973,525,50,14,782,501,2844
SAL80018,118,17,250,1037,1584,690,270,724,180,4481
SAL80019,14,0,34,1131,1596,660,323,874,161,4749
SAL80020,16,0,62,459,783,341,159,278,70,2095
SAL80021,9,0,29,993,1277,480,271,877,125,4019
SAL80022,0,0,12,488,701,179,46,181,211,1806
SAL80023,0,0,0,3,0,0,0,0,0,4
SAL80024,96,3,184,1723,2301,619,322,2373,420,7764
SAL80025,4,0,13,1129,1569,611,356,1292,243,5200
SAL80026,21,0,43,711,995,383,238,673,104,3112
SAL80027,20,0,46,1781,2297,437,172,1041,331,6051
SAL80028,75,16,137,1799,2055,610,317,1679,274,6732
SAL80029,54,16,101,1056,1565,572,339,898,170,4605
SAL80030,44,20,115,1547,1875,549,218,1059,614,5863
SAL80031,0,0,0,20,30,10,6,12,27,103
SAL80032,0,0,3,0,0,0,0,0,3,3
SAL80033,6,0,13,1112,1610,564,360,986,166,4797
SAL80034,16,3,62,560,814,438,202,267,74,2348
SAL80035,12,3,30,485,777,283,165,576,114,2407
SAL80036,12,0,54,492,721,308,146,488,91,2250
