SAL_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SAL80070,0,0,0,0,0,6,0,4,0,17,0,4,4,0,0,6,0,4,0,22,0,0,0,0,0,6,0,4,0,8,0,5,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,16,8,0,10,18,3,15,0,70,0,0,0,0,0,0,0,3,0,10,0,5,6,3,3,6,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,5,5,4,0,0,0,0,0,10,0,0,3,5,7,3,0,0,0,26,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,12,11,16,13,3,10,0,77
SAL80071,19,5,16,14,133,175,68,96,9,531,12,26,27,22,243,301,45,83,3,762,14,15,32,15,108,98,35,36,18,368,8,43,28,15,45,39,8,25,8,222,0,11,15,5,85,55,4,14,0,192,0,39,19,10,37,17,10,10,0,147,0,11,12,6,23,17,11,10,0,84,0,39,28,6,29,31,9,7,0,151,0,3,6,4,11,18,9,5,17,79,65,203,174,99,718,738,200,284,58,2539,16,17,26,10,100,103,27,52,0,348,32,65,73,76,209,181,31,53,7,730,3,19,9,5,27,18,3,3,0,100,17,83,80,28,78,53,8,9,0,356,25,33,50,22,188,91,15,23,0,452,6,74,48,16,34,8,4,3,5,202,0,0,0,0,0,0,0,0,0,9,4,24,14,11,15,12,5,0,5,87,0,0,5,0,19,12,7,6,10,56,105,321,315,177,671,467,89,158,31,2337
SAL80072,0,9,4,6,28,50,15,31,0,148,4,12,16,12,56,57,27,21,4,217,3,16,10,7,18,29,12,14,3,111,0,26,9,4,5,8,3,4,0,63,0,9,3,5,21,12,8,3,0,65,0,23,9,4,8,11,4,5,0,56,0,3,0,7,6,6,4,0,0,31,0,22,6,0,5,5,3,0,0,55,0,0,0,0,3,0,0,3,4,15,22,107,61,50,150,192,66,92,9,757,9,10,11,13,31,35,11,35,0,146,6,25,34,19,46,57,18,27,3,244,3,3,0,3,9,6,4,0,0,33,11,33,21,10,24,10,0,9,0,116,3,24,18,6,28,33,4,3,0,121,3,21,9,0,7,5,3,0,0,40,0,0,0,0,0,0,0,0,0,0,3,5,5,6,0,3,0,0,0,18,0,4,3,0,4,3,0,0,0,10,36,127,103,53,152,147,41,75,5,734
SAL80073,4,3,0,3,27,43,15,24,0,118,7,7,5,15,77,65,11,24,7,213,7,15,11,10,48,60,18,23,5,191,3,8,11,3,15,13,3,8,0,63,0,3,5,4,29,20,5,9,0,67,3,21,7,5,6,7,0,3,0,47,4,7,4,0,7,11,7,8,0,50,4,21,10,9,15,24,4,4,3,93,0,0,0,0,4,3,0,3,4,14,36,87,51,48,221,240,57,105,11,855,14,0,7,14,40,34,6,10,0,127,11,16,31,23,62,53,12,21,0,225,3,8,7,4,3,8,0,0,0,32,12,23,17,21,27,17,3,8,0,119,9,17,19,14,67,38,5,6,4,185,0,24,11,8,8,3,5,0,0,65,0,0,0,0,0,0,0,0,0,0,5,14,8,0,5,0,3,3,0,43,0,0,0,4,4,0,3,0,0,11,56,106,103,86,224,149,46,50,5,817
SAL80074,0,9,8,4,38,43,12,24,0,140,10,11,10,10,58,67,27,25,0,223,3,8,4,4,26,47,4,16,0,109,0,4,6,6,9,7,9,4,0,46,3,0,3,0,17,25,0,7,0,61,0,10,3,0,5,4,0,0,0,26,0,6,5,4,7,3,0,0,0,24,0,13,7,0,9,10,8,3,0,41,0,0,5,0,6,3,3,8,6,28,20,61,48,29,178,211,62,84,11,707,11,3,10,18,42,36,5,26,0,151,14,24,34,31,61,58,7,26,0,259,0,0,7,4,7,9,0,0,0,25,0,27,10,4,10,3,0,0,5,67,7,17,16,14,62,21,3,8,6,147,3,21,0,0,10,4,0,3,0,46,0,0,0,0,0,0,0,0,0,6,0,7,10,0,0,0,0,0,0,18,0,0,3,5,0,7,3,0,5,23,42,104,98,70,195,136,31,58,12,739
SAL80075,8,3,4,9,55,57,7,42,0,192,8,12,18,17,110,111,25,37,0,336,8,17,15,20,83,107,24,31,3,307,8,30,9,11,26,30,14,13,0,139,7,5,10,6,57,33,6,12,3,136,0,16,3,4,25,17,3,7,0,78,3,10,16,3,17,29,8,14,0,92,8,23,13,7,22,30,6,7,3,123,0,4,0,0,12,6,0,3,9,37,51,127,84,80,406,411,102,163,16,1439,13,6,9,24,68,60,11,19,0,205,31,27,47,40,119,88,28,39,5,424,9,11,0,7,19,10,3,3,0,61,18,49,37,31,54,23,3,8,0,231,18,26,36,28,138,59,15,5,4,337,10,38,20,4,11,11,3,3,0,104,0,0,0,0,0,0,0,0,0,8,0,13,11,5,5,0,0,5,0,39,0,5,0,0,3,3,0,0,0,24,96,174,167,156,430,252,64,85,10,1440
SAL80076,10,7,8,9,31,63,34,40,0,194,7,13,15,13,58,82,28,47,0,265,4,5,3,3,23,10,6,17,0,64,3,22,3,0,3,12,0,6,0,55,0,8,0,7,18,21,4,4,0,57,0,10,0,4,3,7,4,5,0,27,0,5,8,0,6,0,0,0,0,21,3,15,7,4,3,13,0,0,0,49,0,3,0,0,0,0,0,7,3,14,25,87,46,43,150,211,73,126,3,759,9,4,14,16,31,41,17,33,0,158,19,25,47,30,66,62,23,32,0,308,0,4,6,0,5,0,0,0,0,23,4,38,22,14,20,7,0,4,0,100,3,17,21,9,36,13,5,6,0,112,0,22,9,7,4,5,0,0,0,46,0,0,0,0,0,0,0,0,0,4,0,7,4,0,5,0,4,0,0,25,0,0,0,0,0,6,0,0,0,11,37,121,117,74,170,137,43,80,7,788
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80078,3,6,3,4,24,38,13,36,0,134,5,12,13,13,57,63,14,25,0,201,0,0,8,0,10,20,3,4,0,54,0,11,9,0,8,5,8,5,0,36,0,5,0,5,9,15,4,4,0,47,0,8,3,3,0,0,0,3,0,22,0,3,0,0,0,11,0,6,0,21,4,6,4,0,8,5,0,4,0,25,0,0,0,0,0,6,0,8,0,12,9,57,39,24,121,162,46,94,7,550,0,7,3,0,26,27,15,18,0,98,10,21,25,20,50,58,13,23,0,224,0,6,4,0,6,4,0,0,0,22,5,25,11,3,14,6,0,3,0,61,6,21,13,9,42,21,5,10,0,118,0,20,7,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24,97,67,36,138,117,26,54,9,566
SAL80079,6,0,6,6,34,48,14,34,0,153,9,12,12,9,74,68,8,17,0,203,4,8,10,13,81,93,27,33,9,284,6,12,19,4,33,17,4,13,0,107,4,5,6,5,46,18,8,12,0,99,0,16,9,4,24,4,0,7,0,68,5,9,5,5,24,22,14,13,5,97,7,20,9,12,26,17,5,13,3,117,0,0,0,0,7,4,0,4,3,19,42,86,71,60,338,294,87,135,27,1134,14,12,3,9,33,40,12,20,0,152,20,12,34,25,98,52,8,22,7,285,0,5,5,8,26,7,0,0,0,51,16,42,38,16,41,17,9,12,4,194,15,23,33,29,127,60,8,5,3,306,10,26,17,0,15,3,0,6,0,78,0,0,0,0,4,4,0,0,0,7,0,18,11,0,3,6,0,0,0,39,0,0,5,0,11,3,0,0,5,24,82,145,142,98,353,208,40,66,17,1139
