SAL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
SAL80079,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,14,4,7,0,44,0,0,0,0,7,0,4,0,0,20,5,4,3,11,46,72,23,31,8,203,0,4,0,0,5,7,4,3,0,23,3,18,13,4,23,9,13,12,0,91,7,24,16,3,7,6,6,3,0,64,7,4,0,3,13,21,10,11,0,70,0,0,0,0,3,0,0,0,0,12,0,0,0,0,5,10,0,0,0,12,0,0,0,0,0,0,0,3,0,6,0,4,4,4,22,41,3,9,0,88,0,0,7,4,11,14,0,3,0,32,15,3,7,14,112,74,16,20,0,263,0,0,0,0,16,7,4,3,0,46,0,9,5,7,28,10,3,4,0,71,0,4,0,0,0,0,0,0,0,8,4,3,4,0,14,10,5,14,0,49,0,0,5,0,11,5,0,7,11,34
SAL80080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,9,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,10,0,5,3,0,3,3,0,0,0,18,0,0,0,0,3,4,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,3,5,0,0,17,0,0,0,0,4,0,0,0,0,8,3,0,0,0,15,10,3,7,0,41,0,0,0,0,3,0,0,0,0,11,0,0,0,3,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,3,0,0,0,0,4,11
SAL80081,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,7,18,19,0,7,0,49,0,0,4,0,9,5,0,6,0,24,9,24,18,11,46,109,27,57,6,298,0,0,0,0,6,7,4,10,0,26,0,35,23,14,21,19,5,19,0,125,0,37,30,10,30,15,6,14,0,148,0,7,6,7,12,11,4,15,0,69,0,3,0,0,12,13,0,0,0,37,0,0,4,0,10,5,0,0,0,16,0,0,0,0,3,4,0,4,0,9,10,10,9,12,56,81,29,32,3,251,0,14,8,6,14,16,7,10,0,75,23,12,23,24,161,148,44,30,4,475,0,21,16,9,28,28,12,11,0,125,3,14,18,6,26,16,4,4,0,93,3,9,4,6,10,10,0,10,5,54,3,3,3,4,17,17,5,10,0,52,0,3,5,0,8,8,3,12,15,56
SAL80082,0,5,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,8,3,6,26,42,13,21,0,117,0,0,0,6,13,8,5,8,0,43,20,33,31,31,77,197,69,130,5,587,0,3,5,6,21,11,4,15,0,64,15,71,39,13,54,31,14,24,0,258,11,100,28,20,24,26,12,17,3,232,10,16,14,7,30,32,14,45,0,169,3,3,6,0,26,19,4,15,0,72,5,0,0,0,6,16,4,7,0,41,3,0,3,4,11,11,0,4,0,38,11,27,26,20,77,149,32,57,0,399,4,23,12,11,24,19,4,12,0,107,41,22,32,50,343,310,99,99,4,1003,13,35,17,10,45,51,17,15,0,200,12,29,41,33,83,40,16,33,4,277,0,18,4,4,10,15,3,5,0,68,3,14,8,13,29,32,8,13,0,120,0,7,9,5,20,19,6,6,20,93
SAL80083,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,9,3,6,0,29,0,0,0,0,10,4,0,3,0,18,4,4,7,0,15,19,14,30,0,93,0,0,0,0,0,0,0,5,0,7,3,13,4,3,13,4,3,9,0,56,7,15,12,9,16,14,0,12,0,79,4,5,0,0,5,8,6,8,0,37,0,5,0,4,6,14,4,10,0,46,0,3,0,0,5,8,3,6,0,28,0,0,0,0,5,5,3,9,0,27,3,20,13,18,58,149,30,70,0,352,0,6,0,3,12,7,0,4,0,31,36,26,18,29,280,340,110,182,6,1020,0,13,8,5,31,19,5,25,0,108,0,7,0,9,15,24,9,21,0,95,0,4,5,4,7,9,0,8,0,29,3,3,5,6,7,18,7,12,0,58,0,4,5,3,3,8,0,5,6,37
SAL80084,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,18,0,0,0,0,6,4,0,3,0,14,3,13,6,10,27,79,19,34,0,189,0,0,0,0,0,4,0,5,0,7,0,10,10,6,15,8,0,10,0,62,0,18,12,6,4,0,0,0,0,41,5,0,7,7,9,6,5,5,0,36,0,0,0,0,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,9,0,0,0,0,4,5,0,6,0,12,4,5,5,3,35,38,4,9,0,100,0,3,3,4,9,8,0,0,0,31,5,11,4,8,77,81,22,21,0,231,4,9,9,4,22,10,4,8,0,62,4,8,3,5,8,3,6,3,0,43,0,6,0,0,0,0,0,0,0,10,0,3,0,0,7,4,4,9,0,31,3,4,0,0,0,4,0,0,4,17
SAL80085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,16,0,0,0,0,6,0,0,0,0,8,5,11,14,4,17,36,11,17,0,107,0,0,0,0,0,3,0,0,0,14,0,7,18,4,25,9,5,6,0,77,8,20,21,8,21,7,5,8,0,96,0,5,10,0,7,10,0,0,0,40,0,0,0,0,8,0,0,0,0,15,0,0,0,0,5,0,0,0,0,11,0,0,0,0,4,4,0,0,0,8,0,0,6,3,47,55,11,13,4,133,0,8,3,0,8,12,3,0,0,32,6,5,5,5,92,58,21,13,0,207,3,15,8,6,21,16,3,13,0,82,4,0,10,6,16,8,5,3,0,49,0,3,3,0,6,3,0,0,0,13,0,8,6,4,6,4,0,0,0,35,0,7,3,0,5,3,0,3,9,27
SAL80086,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,0,5,10,0,11,0,31,0,4,0,0,0,3,0,0,0,13,0,8,11,3,24,33,15,17,0,109,0,0,0,0,0,0,0,0,0,6,0,14,10,8,10,7,4,17,0,72,0,26,30,0,24,18,7,9,0,117,0,8,3,0,3,0,10,3,0,35,0,0,0,0,9,13,7,9,0,42,0,0,0,0,12,5,0,0,0,20,0,0,0,0,3,4,0,3,0,19,3,15,18,10,55,89,22,47,0,253,0,7,11,5,9,12,0,4,0,45,8,8,20,17,202,133,41,50,5,488,0,28,11,10,43,31,21,21,0,161,0,13,15,11,22,13,3,3,0,84,0,11,4,3,6,10,0,3,0,46,0,4,0,0,12,11,0,3,0,33,0,3,0,3,0,5,0,4,6,31
SAL80087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,4,0,3,0,26,0,0,0,0,0,0,0,4,0,13,0,7,3,0,14,24,11,20,0,81,0,0,0,0,4,0,0,0,0,4,0,7,15,5,14,15,5,7,0,68,0,18,14,4,24,3,0,3,0,72,0,0,3,9,6,7,4,3,0,28,0,0,0,0,7,6,0,4,0,20,0,0,0,0,3,0,3,0,0,11,0,0,0,0,4,0,0,0,0,8,0,0,9,0,23,34,4,10,0,86,0,6,9,4,14,10,0,0,0,54,4,11,8,10,74,60,22,28,0,219,0,12,10,3,8,13,5,10,0,55,7,3,9,15,18,11,7,11,0,79,0,7,6,4,3,0,0,0,0,18,0,5,7,4,5,5,3,0,0,25,0,0,0,0,5,0,4,0,10,21
SAL80088,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,4,0,13,0,0,0,0,0,3,0,0,0,4,6,0,0,0,8,25,9,11,0,62,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,5,0,15,0,9,3,0,0,3,0,0,0,15,0,0,0,0,3,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,3,0,7,4,0,0,6,6,11,4,0,0,29,0,3,0,0,3,0,0,0,0,5,8,6,9,6,32,45,12,8,0,115,0,0,3,3,3,3,4,4,0,16,0,0,0,0,7,3,0,0,0,16,0,0,0,0,0,0,0,5,0,6,0,0,0,0,3,4,5,0,0,9,0,0,0,0,0,0,0,0,0,5
