SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL80036,23,27,53,60,58,118,26,26,53,9,12,21,94,97,195,36,44,75,28,26,54,9,4,14,69,77,142,8,5,3,8,6,17,10,7,16,18,17,32,0,0,0,40,32,73,32,33,67,19,19,41,12,7,16,34,37,69,0,0,0,96,98,192,134,133,266,4,12,20,12,11,24,0,0,0,19,21,43,39,38,77,379,391,773
SAL80037,48,49,104,163,151,313,65,71,137,17,13,32,245,241,481,126,97,228,65,47,112,14,18,33,207,159,373,11,6,22,10,8,24,25,17,39,31,39,68,0,0,0,85,71,149,22,46,65,5,12,15,10,13,17,27,46,76,0,0,0,64,116,178,144,181,323,18,8,21,13,18,30,0,0,0,29,31,57,89,77,163,766,735,1501
SAL80038,8,6,17,16,16,37,0,0,0,4,6,11,18,26,43,16,14,29,0,0,4,6,4,5,25,19,40,3,5,9,3,17,16,0,4,5,16,25,46,0,0,0,25,47,77,526,657,1183,139,122,261,18,36,55,95,77,164,0,0,0,773,895,1665,798,936,1744,7,14,23,15,18,30,0,0,0,23,34,51,261,280,539,1141,1298,2446
SAL80039,51,53,101,162,130,292,90,83,173,10,13,21,258,229,491,94,123,214,78,61,140,9,16,26,180,193,382,8,6,19,3,4,7,42,14,57,32,27,59,0,0,0,86,58,148,55,44,103,12,22,34,8,7,19,23,60,86,0,0,0,93,134,230,179,195,382,0,18,19,19,22,39,0,0,0,23,39,58,72,63,130,766,779,1545
SAL80040,32,25,57,97,91,190,4,14,24,5,8,11,110,110,221,67,75,142,10,12,25,12,19,32,82,108,196,3,0,3,0,0,3,6,3,15,11,16,28,0,0,0,25,22,50,36,27,67,35,29,66,3,3,6,24,34,55,0,0,0,105,98,203,130,122,251,4,7,9,11,10,23,0,0,0,13,20,28,48,48,97,416,429,846
SAL80041,72,73,146,201,171,365,42,43,84,26,35,66,267,251,515,96,71,165,32,26,60,19,23,40,147,120,265,15,8,22,15,18,30,15,17,30,36,46,80,0,0,0,72,81,160,57,63,119,36,52,91,16,17,31,61,82,141,0,0,0,172,212,385,245,296,543,12,20,31,16,34,46,0,0,0,27,51,75,82,77,155,836,871,1708
SAL80042,74,95,173,136,130,263,75,63,137,62,64,128,273,258,530,69,51,124,44,47,89,20,43,63,139,138,276,3,3,7,11,16,33,10,15,19,24,35,57,0,0,0,48,67,116,53,62,114,38,44,81,9,6,15,61,58,112,4,0,4,156,172,327,205,237,442,21,19,34,19,32,50,0,0,0,37,44,86,59,58,123,790,833,1623
SAL80043,52,48,106,183,170,356,67,66,129,30,38,69,277,276,557,111,90,206,49,39,92,35,70,103,198,208,408,15,4,15,4,13,21,16,11,30,23,15,39,0,0,0,53,42,98,92,85,172,34,27,60,12,21,29,50,65,112,0,0,0,185,196,379,237,241,477,10,5,20,14,16,31,0,0,0,28,19,53,66,76,141,871,868,1739
SAL80044,23,33,52,66,57,119,19,20,42,39,63,101,121,143,266,44,43,85,22,19,40,47,94,135,108,156,264,0,0,4,0,4,4,4,3,0,10,11,20,0,0,0,14,21,34,33,50,94,14,13,27,12,11,20,29,27,59,0,3,3,91,104,199,101,127,226,0,7,7,0,11,9,0,0,0,8,13,22,57,70,128,415,544,952
SAL80045,55,36,94,121,122,237,16,35,55,27,26,50,168,176,341,44,38,83,17,13,29,13,18,35,77,68,144,9,0,9,9,5,13,11,4,13,9,15,27,0,0,0,35,23,61,14,32,46,20,15,33,7,9,15,40,39,79,0,0,0,77,96,176,115,121,239,13,5,13,12,11,28,0,0,0,20,22,42,30,42,74,466,464,935
