SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,2290,2467,4756,22,31,55,33,39,69,7,12,13,12,14,21,0,0,0,0,0,0,0,0,0,0,0,0,192,204,390,0,0,0,238,267,504,15,17,28,7,5,6,278,315,597,82,151,239,2652,2934,5589
SAL80098,2084,2081,4163,22,25,48,58,52,107,39,28,65,26,25,47,11,7,16,3,4,6,4,3,12,11,8,19,248,235,485,0,0,0,388,360,749,15,21,38,8,5,3,434,408,837,87,105,190,2598,2590,5189
SAL80099,2332,2519,4852,70,48,113,131,134,264,33,34,71,23,26,44,3,3,9,8,5,19,6,3,9,3,9,10,263,316,571,0,0,0,470,520,990,57,51,107,6,10,19,598,631,1229,147,170,314,3083,3311,6399
SAL80100,4393,4627,9019,82,71,153,123,116,235,36,32,68,20,25,49,3,0,5,11,9,17,0,0,0,0,4,6,425,413,840,0,0,0,621,598,1213,33,24,52,16,12,30,746,709,1453,163,159,322,5296,5492,10789
SAL80101,2950,2967,5921,24,31,52,36,44,76,10,12,20,14,10,26,0,4,5,3,3,6,0,0,0,3,0,7,189,183,374,0,0,0,257,257,514,28,15,32,5,3,7,310,302,609,52,51,102,3312,3318,6637
SAL80102,2226,2292,4514,61,67,127,109,102,213,37,30,65,12,13,30,9,8,17,8,7,10,3,5,8,0,4,7,293,335,631,0,0,0,474,503,978,42,41,84,8,6,9,581,617,1197,86,73,162,2886,2984,5872
SAL80103,393,413,806,0,0,0,5,4,11,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,54,0,0,0,39,41,72,6,10,12,0,0,0,45,51,94,16,12,27,453,476,929
SAL80104,122,67,189,0,0,0,28,14,39,4,7,7,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,17,25,41,0,0,0,51,44,99,0,0,6,0,0,0,52,46,99,57,34,87,235,146,375
SAL80105,734,698,1433,4,0,4,14,11,31,4,8,10,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,72,66,133,0,0,0,94,84,180,0,0,3,4,0,3,101,88,188,35,36,67,864,821,1688
SAL80106,1105,1252,2358,15,21,35,30,32,61,19,13,33,12,0,10,0,0,0,0,0,5,0,0,0,3,5,3,157,185,339,0,0,0,216,235,454,11,5,13,10,8,28,251,268,522,74,77,155,1432,1595,3031
