SAL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL80022,6,5,10,0,6,7,7,7,0,46,0,10,10,8,0,10,12,5,3,52,0,26,29,6,11,14,23,6,0,119,0,25,63,16,10,18,27,12,4,173,0,13,94,15,21,10,18,10,0,170,0,8,66,17,17,11,12,4,0,142,0,8,138,103,64,42,31,9,0,400,0,0,9,23,30,15,7,0,0,84,0,0,12,42,49,58,26,0,0,188,0,12,60,44,35,22,23,10,0,208,39,128,518,292,262,241,233,87,12,1806
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SAL80024,13,132,236,56,25,16,36,32,12,561,14,152,361,83,32,23,27,28,15,737,4,132,491,120,46,28,26,24,12,887,0,124,392,96,46,25,17,16,8,729,0,83,336,140,59,25,16,7,4,680,0,25,201,123,49,26,14,4,6,456,0,20,242,235,117,64,23,13,4,716,0,4,25,26,17,15,4,0,0,102,0,0,27,42,27,23,4,7,0,133,13,78,172,64,38,25,17,19,23,439,229,1325,3216,1209,592,410,324,272,184,7764
SAL80025,14,46,95,54,31,19,11,6,0,278,13,59,106,109,64,20,12,6,0,382,9,60,167,157,92,35,21,0,0,537,0,48,172,190,78,19,7,0,0,514,0,26,102,145,91,35,9,0,0,408,0,0,68,157,89,26,9,0,0,354,0,7,121,357,199,55,10,0,0,748,0,0,10,59,37,14,0,0,0,114,0,0,18,90,72,20,4,0,0,197,20,28,64,72,30,14,10,5,5,242,463,427,1150,1603,890,345,222,92,13,5200
SAL80026,4,21,33,13,24,29,35,8,3,174,9,30,58,37,36,29,33,17,4,255,7,41,67,56,43,44,41,10,0,309,6,35,56,60,40,56,26,11,0,275,0,12,77,60,66,59,23,3,0,299,0,3,37,45,47,36,12,0,0,191,0,3,57,128,149,105,12,0,0,451,0,0,0,19,26,9,7,0,0,61,0,0,6,27,28,18,4,0,0,82,11,9,14,21,31,8,13,5,0,108,251,231,514,536,546,502,336,157,43,3112
SAL80027,4,81,86,25,14,8,18,6,5,248,5,88,117,32,13,19,15,10,0,288,0,139,206,57,16,22,19,10,3,478,0,190,353,71,13,27,14,4,4,677,0,82,413,82,39,19,12,8,3,662,0,28,300,117,46,37,19,7,5,554,0,20,529,344,131,73,28,3,0,1129,0,4,66,70,47,34,20,0,0,233,0,6,62,96,62,71,12,0,0,306,7,64,157,53,23,17,18,8,6,349,103,1062,2572,1028,471,391,263,127,46,6051
SAL80028,27,150,166,29,15,18,26,22,14,460,10,125,193,50,16,19,35,27,15,491,10,125,280,83,51,25,40,24,7,644,5,100,219,84,41,37,43,23,11,552,0,40,255,116,50,40,36,19,4,565,0,13,144,94,45,52,29,4,14,389,0,11,200,234,134,97,36,8,9,739,0,0,18,48,42,22,13,8,0,147,5,4,16,67,88,54,13,5,5,251,24,58,68,31,18,26,19,22,27,295,565,1339,1970,973,574,472,437,265,137,6732
SAL80029,15,47,46,28,24,40,28,20,3,250,9,50,85,45,43,62,52,11,3,365,13,46,113,74,54,81,39,5,0,422,0,36,116,75,63,73,39,4,0,410,0,18,127,88,89,92,26,3,0,453,0,4,81,85,75,91,26,0,0,354,0,4,92,171,217,141,26,4,0,652,0,0,12,25,39,25,7,0,0,111,0,0,7,42,45,42,3,0,0,142,10,17,23,34,17,14,16,26,16,163,335,370,810,734,759,835,465,197,101,4605
SAL80030,138,147,36,8,4,24,21,18,8,414,171,305,42,17,15,28,42,16,8,651,41,249,89,33,28,38,32,22,4,529,12,138,141,30,17,31,39,16,12,428,9,93,146,62,38,41,41,11,4,440,4,16,123,53,46,51,39,11,0,349,0,9,210,189,165,114,62,24,4,778,0,0,31,58,68,49,13,7,3,233,0,0,33,103,177,113,26,13,3,465,82,215,126,52,49,33,24,13,20,608,706,1426,1065,662,674,583,406,227,115,5863
SAL80031,0,4,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,9,0,0,0,0,6,5,0,0,0,10,0,0,0,7,0,5,0,0,0,14,0,0,0,0,4,0,0,0,0,10,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,3,10,3,0,0,27,9,5,17,24,16,22,3,4,0,103
