SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL80011,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,3,0,8,6,0,0,33,..,0,10,3,0,10,9,0,0,34,..,4,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,5,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,4,0,0,0,0,3,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,9,8,17,5,6,13,14,0,0,72
SAL80013,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,8,0,0,0,0,0,30,..,0,5,12,0,0,3,0,3,26,..,0,0,7,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,5,22,..,..,..,..,..,..,..,..,22,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,22,7,7,16,3,0,3,0,3,66
SAL80015,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,3,0,0,0,19,..,0,0,0,3,6,4,0,0,15,..,0,0,0,0,0,4,0,0,4,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,6,5,7,9,13,0,0,41
SAL80016,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,124,0,118,0,0,0,0,0,0,0,124,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,191,6,0,0,0,0,0,0,201,0,191,9,0,0,0,0,0,0,196
SAL80018,..,109,71,9,5,9,6,4,0,216,..,4,26,19,38,75,99,69,57,387,11,16,9,12,3,5,6,3,0,58,401,359,282,358,379,330,260,157,104,2624,..,0,106,373,432,315,220,127,53,1633,..,24,115,145,98,89,36,12,4,519,..,0,13,34,60,35,20,10,12,184,839,..,..,..,..,..,..,..,..,839,..,272,..,..,..,..,..,..,..,272,..,119,59,16,11,16,4,0,0,230,..,7,16,9,4,11,14,11,10,83,..,24,56,10,7,6,0,0,0,101,..,167,150,19,16,19,15,3,4,389,..,5,35,34,62,126,148,108,84,606,21,14,23,17,7,10,14,5,0,115,852,649,569,658,712,622,470,268,164,4967
SAL80019,..,6,13,4,4,3,3,0,0,32,..,10,30,25,34,39,44,25,11,212,9,4,8,0,3,9,3,5,0,41,646,415,363,486,525,282,166,81,19,2988,..,5,328,675,757,375,190,86,14,2429,..,68,153,90,80,35,12,0,0,444,..,3,18,48,89,36,14,3,0,219,1327,..,..,..,..,..,..,..,..,1327,..,451,..,..,..,..,..,..,..,451,..,263,81,24,8,5,0,0,0,375,..,20,24,15,11,9,14,7,0,104,..,8,19,10,0,0,0,0,0,48,..,18,52,8,8,5,11,0,0,107,..,20,53,44,68,62,57,35,11,343,16,10,15,5,9,11,3,5,0,70,1341,861,740,920,1045,535,301,140,32,5910
SAL80020,..,19,18,5,8,0,0,4,0,54,..,0,4,0,6,17,27,37,13,103,0,0,3,4,0,3,0,0,0,16,228,151,120,182,168,168,118,99,32,1267,..,0,78,217,228,206,148,118,32,1034,..,12,37,55,49,36,14,5,0,220,..,0,4,17,16,22,8,3,6,76,484,..,..,..,..,..,..,..,..,484,..,150,..,..,..,..,..,..,..,150,..,51,40,10,6,8,0,0,0,115,..,7,9,0,4,8,6,5,0,32,..,16,31,11,6,3,0,0,0,68,..,46,47,11,8,12,0,4,0,116,..,0,6,9,8,25,38,44,24,145,4,9,6,4,0,4,0,0,0,25,484,293,260,325,329,317,211,184,58,2467
SAL80021,..,0,7,8,0,3,3,0,0,22,..,0,11,16,32,44,38,22,12,175,6,9,3,3,0,0,3,0,0,33,507,337,367,394,381,280,134,55,17,2468,..,11,286,487,487,357,140,69,13,1840,..,50,171,88,90,49,21,5,0,481,..,6,34,81,73,42,15,0,5,252,1042,..,..,..,..,..,..,..,..,1042,..,279,..,..,..,..,..,..,..,279,..,260,119,18,11,6,0,0,0,412,..,17,13,6,6,10,10,12,5,86,..,24,16,3,0,4,3,0,0,59,..,5,15,10,15,9,6,0,0,52,..,5,43,36,67,87,67,34,12,348,14,24,18,5,9,8,4,0,0,81,1051,680,716,739,758,572,260,120,30,4929
SAL80022,..,8,30,0,0,0,0,0,0,46,..,19,60,54,39,36,34,10,4,249,0,0,8,4,3,6,0,0,0,21,68,79,221,130,116,97,108,30,8,853,..,0,69,85,106,99,130,51,0,542,..,31,138,46,34,23,15,0,0,287,..,0,3,9,4,7,4,0,0,31,111,..,..,..,..,..,..,..,..,111,..,37,..,..,..,..,..,..,..,37,..,17,13,6,0,0,0,0,0,33,..,7,3,0,4,0,0,0,0,19,..,0,4,0,0,0,0,0,0,6,..,19,73,6,4,0,0,0,0,100,..,25,126,85,68,71,43,13,6,437,0,4,12,8,9,5,4,0,0,36,119,139,443,237,229,206,191,70,9,1643
SAL80023,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,..,184,174,21,9,8,3,0,3,400,..,85,236,122,91,68,80,74,49,796,3,12,21,8,7,3,8,6,0,74,362,698,1506,518,260,185,179,146,74,3921,..,83,930,530,162,137,136,114,44,2124,..,348,818,133,49,23,12,3,0,1385,..,11,39,68,79,33,14,7,0,250,687,..,..,..,..,..,..,..,..,687,..,91,..,..,..,..,..,..,..,91,..,39,32,23,4,8,0,0,0,103,..,89,83,17,11,6,10,0,0,217,..,94,153,25,9,9,3,0,0,291,..,357,398,54,28,17,6,0,3,872,..,181,512,270,215,139,114,102,60,1585,9,26,49,19,13,9,11,7,0,147,695,1319,3015,1145,555,381,307,234,107,7753
SAL80025,..,11,26,4,5,0,0,0,0,48,..,9,24,25,28,22,28,16,0,147,8,8,6,4,8,0,0,5,0,42,1039,432,576,785,419,167,116,54,5,3590,..,18,496,1139,625,229,130,47,7,2691,..,55,205,163,63,22,3,0,0,509,..,0,38,92,83,28,10,6,0,253,2055,..,..,..,..,..,..,..,..,2055,..,418,..,..,..,..,..,..,..,418,..,204,79,25,8,0,0,0,0,314,..,64,64,25,15,16,22,17,4,230,..,43,73,25,5,4,0,0,0,150,..,26,97,13,9,6,0,0,0,151,..,14,40,62,48,28,31,14,0,235,11,21,13,12,8,0,5,7,0,78,2072,861,1113,1551,858,330,208,89,7,7086
SAL80026,..,6,7,0,9,10,4,0,0,35,..,3,12,18,34,43,71,47,14,237,4,6,7,3,3,8,6,0,0,34,356,224,271,266,273,254,178,104,25,1955,..,8,143,289,288,283,179,66,16,1271,..,32,121,83,53,39,18,7,0,350,..,0,25,60,70,35,7,12,5,216,687,..,..,..,..,..,..,..,..,687,..,207,..,..,..,..,..,..,..,207,..,168,95,18,14,6,5,0,0,302,..,18,23,6,4,19,13,16,5,93,..,9,21,4,10,0,4,0,0,46,..,8,27,13,13,17,5,0,0,75,..,4,37,41,64,71,90,51,12,370,12,10,12,7,3,10,3,6,0,69,703,464,496,520,515,477,325,153,41,3689
SAL80027,..,282,290,27,7,6,7,0,0,618,..,88,243,142,73,64,51,32,27,720,0,26,19,8,6,5,4,0,0,71,150,608,1203,436,212,173,120,62,31,2989,..,25,340,295,146,135,101,50,11,1101,..,239,823,187,77,45,23,5,0,1392,..,0,9,30,31,20,3,0,3,101,315,..,..,..,..,..,..,..,..,315,..,67,..,..,..,..,..,..,..,67,..,34,16,11,3,3,0,0,0,59,..,25,41,5,0,0,0,0,0,75,..,25,45,8,0,5,0,0,0,87,..,495,543,64,16,11,3,0,0,1140,..,144,528,345,159,139,93,48,25,1492,6,28,50,19,12,8,3,0,0,137,316,1083,2399,958,446,374,237,119,36,5964
SAL80028,..,182,147,12,8,11,7,0,0,367,..,55,114,96,45,46,51,42,21,463,8,54,23,4,0,4,0,0,0,89,353,591,866,455,274,239,213,122,41,3164,..,34,494,515,300,258,275,133,25,2036,..,150,388,92,56,30,24,5,0,743,..,0,19,38,53,35,10,5,3,169,735,..,..,..,..,..,..,..,..,735,..,184,..,..,..,..,..,..,..,184,..,74,43,8,10,7,0,0,0,139,..,64,66,16,4,9,7,11,4,181,..,88,117,15,0,0,0,0,0,228,..,326,335,40,14,13,11,3,0,748,..,75,242,169,92,79,63,48,32,815,9,76,49,7,7,6,3,4,0,152,738,1069,1756,914,538,438,395,216,68,6129
SAL80029,..,5,13,0,5,14,7,3,0,44,..,5,15,24,29,52,58,25,14,214,3,3,9,0,0,8,7,0,0,38,544,344,396,350,384,428,225,73,28,2774,..,9,283,450,500,530,253,80,14,2117,..,61,207,86,73,61,33,0,0,522,..,0,28,57,80,56,19,4,8,249,1073,..,..,..,..,..,..,..,..,1073,..,289,..,..,..,..,..,..,..,289,..,240,126,21,14,3,0,0,0,410,..,29,17,4,0,26,12,11,10,122,..,24,25,6,0,4,0,0,0,56,..,17,34,12,19,22,8,4,0,112,..,3,47,52,51,94,83,39,14,388,18,11,17,7,9,12,9,0,0,86,1088,684,783,699,742,810,425,146,45,5417
