SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL80062,1078,1089,2164,567,394,959,132,268,402,42,45,95,28,12,42,772,722,1499,277,336,614,3.6,1.9,2.8,71.8,66.5,69.1,69.2,65.2,67.2,53,54,101,27,42,75,130,199,330,99,138,242,268,138,405,9,16,21,18,28,40,288,185,478,1192,1166,2357,136,114,249,920,875,1794,338,342,679
SAL80063,1318,1350,2671,638,425,1063,175,338,513,37,61,100,33,28,66,883,856,1743,393,457,849,3.9,3.4,3.6,66.9,63.5,65.2,64.4,61.3,62.8,142,140,283,62,83,143,265,323,590,116,161,273,230,138,366,12,16,26,16,33,51,258,181,444,1423,1440,2866,191,183,378,1007,1070,2082,536,471,1004
SAL80064,3004,3359,6361,1657,1285,2937,387,770,1153,85,161,248,78,60,139,2210,2269,4477,718,972,1684,3.5,2.6,3.1,73.4,67.6,70.3,70.8,65.8,68.2,194,155,349,79,120,197,409,595,1003,322,469,790,677,445,1121,25,48,71,43,92,130,744,581,1324,3225,3457,6682,418,446,871,2228,2402,4630,1205,1305,2511
SAL80065,1181,1300,2482,602,429,1037,161,321,482,35,54,88,21,26,48,817,831,1650,331,432,760,2.6,3,2.8,69.2,64.1,66.5,67.5,62.2,64.7,120,86,200,37,59,100,221,290,511,124,166,296,238,138,380,13,22,37,19,26,46,268,187,460,1331,1403,2733,134,142,281,940,1029,1975,435,436,866
SAL80066,1768,1903,3669,954,788,1744,227,343,571,48,75,128,49,38,91,1282,1246,2523,396,573,972,3.8,3,3.4,72.5,65.4,68.8,69.7,63.4,66.4,193,193,387,56,90,147,393,460,856,172,223,393,280,218,495,23,22,51,23,43,56,325,280,607,1161,1199,2365,723,811,1535,404,445,853,1368,1485,2853
SAL80067,2268,2370,4639,1250,1044,2295,319,444,756,66,90,159,56,47,109,1694,1624,3320,497,658,1153,3.4,3,3.2,74.5,68.7,71.5,72,66.7,69.3,538,483,1021,112,176,285,702,795,1505,146,175,320,175,91,260,11,16,26,14,26,43,202,128,333,1900,1962,3856,601,621,1221,959,995,1952,1471,1502,2970
SAL80068,3626,3589,7213,2000,1428,3424,671,891,1565,100,132,231,128,123,253,2903,2578,5481,575,877,1454,4.4,4.9,4.6,80.1,71.8,76,76.5,68.3,72.5,652,560,1220,93,135,232,780,977,1754,343,377,719,423,265,681,23,39,66,32,47,78,474,353,823,2770,2792,5558,1348,1260,2606,1162,1214,2375,2718,2615,5331
SAL80069,1202,1352,2556,551,443,993,190,363,552,27,59,88,38,25,64,803,886,1689,349,429,780,4.6,2.7,3.6,66.8,65.5,66.1,63.7,63.7,63.7,248,294,538,70,113,180,314,401,716,68,90,158,121,49,170,9,8,14,16,20,33,147,73,220,1265,1401,2666,208,215,423,865,951,1816,540,599,1144
SAL80070,124,129,251,45,33,82,24,37,60,0,7,6,3,0,9,76,75,156,47,48,92,5.4,1.3,3.3,60.2,60.5,60.3,56.9,59.7,58.3,14,15,22,3,13,15,28,29,58,15,13,28,29,11,40,0,0,0,0,0,0,32,14,44,129,140,273,15,8,24,93,104,204,41,39,86
SAL80071,3211,3140,6354,1948,1391,3336,474,814,1285,123,135,254,104,90,197,2643,2431,5074,451,604,1057,3.9,3.9,3.9,82.3,77.5,79.9,79.1,74.5,76.8,695,533,1236,92,113,206,735,885,1615,309,337,638,324,241,564,22,31,50,43,42,85,390,319,702,3101,3106,6207,888,809,1704,1644,1621,3262,2111,2066,4174
