SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL80094,1296,1338,2635,609,434,1041,178,318,495,52,60,111,41,22,67,878,837,1714,377,461,844,4.7,2.9,3.8,67.5,62.7,65.1,64.4,60.9,62.6,145,149,292,41,71,112,254,327,584,121,155,279,255,107,361,6,28,33,21,29,49,283,161,443,1396,1428,2825,203,200,399,967,993,1963,543,534,1076
SAL80095,3,6,6,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,66.7,33.3,0,66.7,33.3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,2156,2502,4651,1021,726,1750,286,488,766,70,100,163,46,53,103,1424,1364,2786,647,999,1644,3.4,4.1,3.7,66.1,54.6,59.9,63.9,52.4,57.7,172,137,308,67,95,166,362,501,861,226,330,554,433,223,660,13,17,34,42,77,119,494,315,812,2290,2467,4756,278,315,597,1573,1734,3307,837,898,1731
SAL80098,1855,1853,3713,1185,810,1994,268,444,706,53,68,127,47,73,120,1551,1394,2945,239,379,614,3.2,5,4,83.4,75.2,79.3,80.8,71.4,76.1,360,269,631,54,78,126,425,577,1004,199,187,388,228,170,393,21,17,35,17,27,45,260,219,477,2084,2081,4163,434,408,837,244,226,473,2033,2025,4057
SAL80099,2519,2790,5312,1199,957,2164,338,551,892,67,97,164,50,65,121,1660,1669,3329,676,916,1592,3.2,3.8,3.5,65.9,59.8,62.7,63.8,57.5,60.5,501,461,957,104,163,263,596,734,1330,178,231,412,272,157,440,11,24,34,11,37,52,299,222,517,2332,2519,4852,598,631,1229,1333,1488,2822,1429,1471,2898
SAL80100,4140,4437,8585,2280,1690,3967,629,1077,1705,146,195,338,143,92,236,3195,3050,6249,807,1249,2061,4.5,2.9,3.7,77.2,68.7,72.8,73.7,66.7,70.1,474,371,847,103,215,319,738,1030,1765,396,501,896,749,514,1265,45,71,117,55,104,161,846,686,1537,4393,4627,9019,746,709,1453,2673,2844,5515,2073,2133,4205
SAL80101,2745,2788,5535,1436,995,2429,395,701,1094,84,112,200,58,67,127,1982,1871,3854,715,872,1589,3,3.6,3.3,72.2,67.2,69.7,70,64.8,67.4,415,300,713,105,153,260,603,667,1264,272,323,596,361,196,558,14,39,51,40,76,121,413,314,729,2950,2967,5921,310,302,609,2122,2098,4219,1006,1067,2080
SAL80102,2442,2561,5002,1110,923,2029,503,684,1192,78,83,162,73,63,135,1760,1753,3520,593,744,1336,4.1,3.6,3.8,72.2,68.6,70.4,69.3,66.1,67.7,536,554,1093,113,178,296,707,778,1484,133,170,297,194,89,281,13,19,36,18,46,60,220,147,368,2226,2292,4514,581,617,1197,1387,1469,2856,1326,1359,2684
SAL80103,399,405,803,183,132,311,62,86,146,16,6,26,3,8,11,266,233,493,121,160,284,1.9,3,2.4,65.7,57.3,61.4,64.4,55.6,60,83,69,152,14,16,30,124,113,230,23,37,59,30,23,51,0,0,0,3,10,12,36,34,59,393,413,806,45,51,94,288,319,612,141,133,275
SAL80104,200,120,323,69,37,111,14,23,37,5,3,4,4,4,12,99,68,162,56,32,84,8.3,7.7,8.1,47.5,53.7,49.8,43.6,49.6,45.8,7,9,19,0,9,7,19,27,46,13,15,30,29,14,34,0,3,3,3,3,6,32,15,46,122,67,189,52,46,99,92,41,131,74,70,140
SAL80105,693,676,1371,307,237,543,98,148,246,22,22,46,39,8,45,459,413,877,205,236,439,7.8,2.4,5.2,66.8,61.6,64.2,61.6,60.1,60.8,58,41,96,22,35,58,125,138,263,54,93,151,144,78,223,11,11,25,11,12,21,164,99,267,734,698,1433,101,88,188,564,527,1091,232,222,446
SAL80106,1192,1386,2572,480,360,840,177,283,465,38,49,89,34,30,63,733,723,1452,360,545,909,4.5,4.1,4.3,61.4,52.3,56.5,58.7,50.1,54.1,157,151,314,35,78,109,260,298,558,87,130,218,161,98,262,15,23,35,19,26,44,198,138,336,1105,1252,2358,251,268,522,624,733,1359,649,709,1355
SAL80107,2175,2273,4447,1150,824,1974,312,544,858,68,101,172,81,36,120,1610,1509,3121,487,691,1176,5.1,2.6,3.9,74.1,66.5,70.2,70.3,64.8,67.5,266,267,538,76,110,189,444,536,976,201,229,436,349,217,571,21,13,39,15,51,72,387,295,681,2301,2361,4662,338,334,667,1506,1578,3084,969,975,1943
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,1086,1139,2226,497,373,870,164,266,426,36,38,78,32,13,46,731,696,1430,323,407,726,4.4,2.4,3.4,67.2,61.4,64.2,64.2,59.9,62,180,134,314,44,83,129,256,329,582,98,135,233,137,69,208,0,13,12,13,20,36,152,98,256,1070,1095,2163,215,200,413,729,741,1472,510,510,1020
SAL80110,2208,2405,4613,1329,1273,2600,325,440,764,71,111,177,61,61,124,1792,1879,3666,298,439,732,3.4,3.2,3.3,81,78.1,79.5,78.2,75.6,76.8,380,446,831,94,148,245,674,808,1490,177,232,405,217,161,380,18,17,32,19,39,55,247,218,467,1476,1596,3067,864,964,1828,432,463,896,1790,1994,3782
SAL80111,59,54,115,26,11,44,12,18,30,0,0,0,0,6,6,41,38,84,11,10,21,0,5.3,2.5,72.9,70.4,71.7,72.9,66.7,69.9,4,0,9,6,4,4,5,9,13,3,10,13,17,6,26,0,0,0,0,0,0,19,6,31,53,61,112,6,7,9,40,42,83,14,12,28
SAL80112,1269,1295,2562,619,418,1037,192,327,523,30,43,74,38,22,57,882,810,1688,350,441,792,4.1,2.6,3.4,69.3,62.6,65.9,66.5,61,63.7,274,219,491,54,83,139,380,408,783,58,114,169,77,44,122,4,9,14,13,24,30,92,75,167,1231,1241,2470,286,277,560,779,799,1574,687,674,1356
SAL80113,752,666,1425,328,230,554,119,139,261,31,36,62,22,17,41,504,419,920,197,204,411,4.6,3.8,4.2,66.1,63.3,64.8,63.1,60.9,62.1,147,140,291,38,50,87,205,195,396,63,43,106,33,24,62,13,7,17,4,7,12,57,45,95,580,527,1102,173,155,333,352,329,682,383,333,715
SAL80114,1236,1209,2445,629,435,1070,154,254,409,56,59,113,49,33,85,892,778,1675,299,386,678,5.8,4.1,5,72.3,64.6,68.5,68.1,61.9,65,52,48,106,22,34,55,133,183,312,120,141,260,311,165,472,14,25,39,12,32,48,341,223,567,1330,1290,2619,148,140,287,936,937,1868,458,429,891
SAL80115,1258,1402,2664,558,452,1003,205,300,507,39,62,99,41,31,74,842,848,1690,353,494,849,4.9,4.1,4.5,66.9,60.5,63.5,63.7,58,60.7,136,143,281,43,100,148,260,317,581,124,138,259,213,109,321,9,9,22,21,36,52,244,154,397,1349,1466,2817,178,179,356,941,1062,2003,500,486,985
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,1196,1232,2427,552,402,951,190,296,485,37,54,99,41,25,69,824,782,1602,318,400,720,5,3.6,4.3,68.4,63.5,65.9,65,61.2,63.1,141,137,281,36,69,111,236,310,544,102,110,215,211,93,306,7,16,25,11,28,39,232,137,370,1259,1235,2493,211,219,429,831,796,1626,514,572,1088
SAL80118,998,1070,2068,476,330,807,134,279,410,39,49,84,35,23,62,686,681,1360,280,354,628,5.4,3.2,4.3,68.5,63.4,65.9,64.8,61.3,63,73,88,161,34,62,100,162,223,388,101,124,219,218,109,328,7,8,15,16,16,32,237,135,380,1124,1126,2253,95,121,214,814,821,1638,324,360,685
SAL80119,834,981,1810,326,271,594,132,177,312,16,19,40,26,15,38,499,488,989,302,465,769,5.2,2.9,4.1,60,49.5,54.4,56.9,48.1,52.2,92,93,184,30,44,74,178,220,405,73,95,169,120,59,178,6,17,21,19,25,40,145,95,244,871,973,1842,126,124,247,584,675,1262,370,384,757
SAL80120,244,290,541,160,126,288,40,82,125,7,13,27,3,10,13,223,226,450,20,51,75,1.8,3.9,2.9,89.4,78.4,83.5,87.8,75.3,81,48,56,107,10,14,19,59,74,139,31,38,72,40,30,66,0,4,5,0,7,7,39,35,74,97,100,203,215,247,463,10,14,22,269,306,578
SAL80121,364,246,608,90,26,117,23,40,65,7,6,11,17,10,31,137,84,219,97,94,188,14.9,11,13.5,38.7,33.5,36.6,33,29.8,31.7,6,6,14,7,4,11,19,18,36,16,12,27,62,21,81,3,3,9,0,4,6,63,30,97,213,170,385,27,26,52,155,115,274,83,65,154
SAL80122,774,809,1582,468,310,776,109,180,291,37,54,92,21,24,40,634,564,1195,107,202,312,3,4.1,3.5,81.7,69.7,75.5,79.2,66.8,72.9,165,132,298,20,22,40,184,243,428,85,98,181,84,58,146,4,6,13,6,12,17,96,76,172,599,612,1215,433,432,867,18,21,44,913,923,1840
SAL80123,29,35,63,14,12,23,11,9,13,3,3,8,0,0,0,25,19,48,9,11,13,0,8.7,4.2,83.3,65.7,73.8,83.3,60,70.8,0,0,0,0,0,0,7,12,19,0,3,9,19,9,21,0,0,0,0,0,0,19,6,19,32,33,70,3,8,10,25,21,51,14,14,27
SAL80124,1509,1560,3070,840,637,1478,194,384,578,57,80,133,53,46,98,1147,1147,2290,325,387,707,4.5,3.9,4.2,76,73.2,74.6,72.5,70.4,71.4,84,81,166,18,56,77,184,285,468,174,203,376,361,198,561,23,22,44,20,39,59,400,258,660,1618,1678,3296,193,173,361,1212,1248,2463,503,517,1023
SAL80125,855,834,1687,566,362,927,104,207,317,37,46,82,22,31,56,734,638,1373,94,173,265,3.3,4.4,3.8,85.6,76.6,81.1,82.8,73.2,78.1,208,168,376,23,30,51,190,242,429,87,80,165,89,47,137,7,0,9,0,12,12,95,64,162,812,765,1574,374,342,717,27,31,60,1029,995,2025
SAL80126,945,955,1899,467,333,798,129,225,356,34,40,71,29,14,44,654,616,1269,251,303,552,4.9,2.6,3.8,69.3,64.6,67,66,62.9,64.4,128,117,245,42,53,96,227,284,514,71,92,163,134,63,193,8,14,17,13,29,42,154,100,257,970,991,1960,185,166,349,634,665,1300,449,430,882
SAL80127,1947,2176,4124,1106,1044,2154,285,461,746,55,81,136,62,56,118,1507,1647,3152,376,460,835,4.1,3.4,3.7,77.3,75.7,76.5,74.2,73.1,73.6,489,511,997,98,135,233,670,795,1471,99,108,210,103,59,161,10,8,18,16,22,36,131,93,215,1361,1477,2838,676,783,1457,543,597,1146,1439,1618,3054
SAL80128,116,110,229,72,49,122,15,32,47,12,7,13,0,0,4,97,90,188,11,17,28,2,1.1,1.6,85.5,80.4,83,83.8,79.5,81.7,10,6,18,0,9,11,15,31,41,16,16,29,28,12,41,0,0,0,0,0,0,29,19,48,145,131,273,9,11,18,109,94,200,39,37,74
SAL80129,3127,3191,6324,1475,1026,2500,453,732,1180,119,137,255,108,63,169,2152,1957,4103,872,1145,2010,5,3.2,4.1,68.7,61.2,64.9,65.3,59.2,62.2,308,247,559,96,160,259,597,763,1362,289,355,650,592,283,872,28,45,72,44,91,138,660,422,1079,3371,3369,6739,418,388,812,2409,2479,4882,1186,1107,2291
SAL80130,1083,1117,2205,524,351,877,142,267,410,25,47,75,31,15,45,725,685,1409,306,389,688,4.1,2.5,3.3,66.9,61.3,64,64.1,59.8,61.9,128,139,268,40,68,111,234,292,520,111,114,218,178,88,265,3,11,12,13,18,40,200,120,316,1128,1201,2327,159,151,302,763,799,1562,449,476,919
SAL80131,2551,2839,5388,1342,1180,2525,439,754,1192,93,132,221,69,45,112,1949,2106,4052,516,628,1146,3.5,2.1,2.8,76.2,74.4,75.2,73.5,72.8,73.1,517,609,1132,124,212,338,674,849,1526,206,209,414,276,157,432,12,12,27,18,33,47,312,202,511,2392,2561,4949,707,763,1468,1282,1416,2701,1614,1754,3360
SAL80132,1132,1145,2276,495,386,880,211,264,474,29,50,75,28,16,47,759,719,1475,348,406,752,3.7,2.1,2.9,66.8,62.5,64.6,64.3,61.2,62.7,232,183,417,68,95,159,290,336,630,87,101,183,114,41,156,10,16,18,10,29,41,125,90,218,1172,1218,2394,164,145,313,834,858,1695,458,445,906
SAL80133,1548,1692,3239,693,512,1208,198,366,566,44,77,124,35,37,68,975,996,1968,502,602,1101,3.5,3.6,3.5,62.9,59,60.8,60.7,56.9,58.7,265,248,508,75,107,182,336,455,792,132,145,279,164,95,259,3,12,19,10,41,52,178,147,326,1560,1694,3249,287,285,567,1001,1099,2098,739,773,1512
SAL80134,3,0,4,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,66.7,0,66.7,100,0,75,33.3,0,25,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,0,4
SAL80135,1463,1580,3043,941,811,1757,212,343,552,36,74,115,31,47,76,1220,1279,2501,182,244,423,2.4,3.8,3.1,83.7,80.8,82.2,81.7,77.8,79.7,297,268,563,47,85,124,416,561,977,112,157,269,166,107,274,9,14,28,18,8,30,198,136,331,1189,1321,2512,540,573,1114,566,615,1185,1053,1161,2216
SAL80136,1258,1386,2642,540,393,930,183,292,475,40,40,80,36,15,51,793,741,1534,425,592,1014,4.3,1.9,3.1,62.9,53.6,58,60.2,52.6,56.2,298,267,562,66,94,157,389,426,813,83,142,230,71,36,113,4,11,13,11,21,38,89,70,159,1177,1286,2467,250,273,526,771,860,1630,603,642,1247
SAL89494,315,249,560,61,49,108,25,54,83,9,6,19,29,21,48,135,129,264,89,88,169,22.6,14.7,0,42.5,51.8,0,32.9,44.2,0,10,21,36,0,7,10,21,50,69,16,22,36,46,18,68,8,3,10,0,4,6,57,26,78,78,45,120,153,189,348,46,23,68,182,207,383
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
