SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,0,3,0,64,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,79,11,4,20,0,22,6,26,0,105,9,276
SAL80110,0,0,0,113,0,0,0,0,0,0,0,0,0,0,22,30,0,0,0,0,0,0,0,0,0,0,3,0,330,35,10,139,22,74,4,26,5,78,31,746
SAL80111,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,12
SAL80112,0,23,0,93,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,31,4,28,0,28,9,89,11,265
SAL80113,0,5,0,61,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,21,9,19,3,14,0,54,10,197
SAL80114,0,0,0,23,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,3,74,11,4,40,8,29,0,12,6,80,15,280
SAL80115,0,0,0,58,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,3,0,7,89,12,5,37,10,26,4,16,5,146,8,357
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,0,0,35,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,3,7,81,10,4,35,3,26,0,14,3,94,10,277
SAL80118,0,4,0,38,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,60,4,0,36,7,18,0,20,4,115,5,264
SAL80119,0,0,0,36,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,22,0,11,0,20,7,119,4,222
SAL80120,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,0,10,0,0,0,0,0,5,0,67
SAL80121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,6,0,12,0,0,0,17,5,50
SAL80122,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,30,5,8,3,4,0,26,4,154
SAL80123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,5,0,5,0,13
SAL80124,0,0,0,52,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,7,125,7,0,51,13,35,0,27,0,76,9,346
SAL80125,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,71,9,5,25,0,12,3,5,0,18,4,161
SAL80126,0,3,0,53,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,4,63,6,0,28,0,13,0,16,7,83,9,225
SAL80127,0,7,0,176,0,0,0,0,0,0,0,0,0,0,30,26,0,0,0,0,0,0,0,0,0,0,4,4,280,20,6,99,9,58,6,32,0,97,33,639
SAL80128,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,8,8,0,0,0,0,0,30
SAL80129,5,4,0,139,4,0,0,0,0,4,0,0,0,0,29,35,0,0,0,0,0,0,0,0,0,0,0,0,212,28,0,88,15,74,6,78,13,320,29,871
SAL80130,0,0,0,40,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,77,15,0,21,5,17,0,12,3,111,13,270
SAL80131,0,3,0,147,0,0,0,0,0,0,0,0,0,4,23,25,0,0,0,0,0,0,0,0,0,0,0,3,259,35,5,106,11,62,8,37,7,129,26,670
SAL80132,6,12,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,24,3,20,8,15,5,159,0,298
SAL80133,0,3,0,69,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,92,19,0,44,6,23,7,36,4,170,14,415
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,0,0,0,91,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,192,19,3,55,10,36,6,19,0,49,13,399
SAL80136,0,37,0,173,0,0,0,0,0,0,0,0,0,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,65,28,0,43,3,53,3,42,6,186,13,447
SAL89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
