SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL80001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80018,0,0,0,0,0,0,0,0,3,64,38,3,112,4,6,11,117,70,4,188
SAL80019,0,3,0,0,0,3,0,0,3,109,49,3,162,3,0,3,170,50,0,219
SAL80020,0,0,0,0,0,0,0,0,0,25,14,4,49,0,3,3,54,27,0,77
SAL80021,0,0,0,0,0,0,0,0,0,137,43,9,191,4,4,6,199,55,0,251
SAL80022,0,0,0,0,0,0,0,0,0,15,0,6,22,0,0,0,21,7,0,29
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,0,0,0,0,0,0,0,0,6,89,48,13,152,10,4,13,168,77,3,247
SAL80025,0,0,0,0,0,0,0,0,0,132,56,8,194,5,0,3,201,53,3,249
SAL80026,0,0,0,0,0,0,0,0,0,111,41,7,160,0,0,0,161,56,0,217
SAL80027,0,0,0,0,0,0,0,0,0,64,18,0,79,3,3,7,84,19,0,107
SAL80028,0,0,0,0,0,0,0,0,0,98,30,6,132,0,0,5,134,31,0,170
SAL80029,0,0,0,0,0,0,0,0,0,120,50,11,184,3,4,7,187,62,0,253
SAL80030,0,0,0,0,0,0,0,0,0,55,17,0,73,0,0,0,72,26,0,101
SAL80031,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,0,0,0,0,0,0,0,0,0,131,46,14,195,0,0,8,199,31,4,232
SAL80034,0,0,0,0,0,0,0,0,0,41,12,3,63,0,0,0,63,30,0,97
SAL80035,0,0,0,0,0,0,0,0,0,65,48,12,125,0,0,9,133,79,0,214
SAL80036,0,0,0,0,0,0,0,0,0,43,21,4,61,0,0,5,64,27,0,94
SAL80037,0,0,0,0,0,0,0,0,3,108,41,4,160,4,0,0,160,74,0,230
SAL80038,0,0,0,0,0,0,0,0,0,32,7,3,45,0,0,0,43,8,0,58
SAL80039,0,0,0,0,0,0,0,0,0,114,48,4,171,3,0,5,173,71,0,248
SAL80040,0,0,0,0,0,0,0,0,0,59,24,0,83,3,0,5,84,40,0,123
SAL80041,0,0,0,0,0,0,0,0,0,99,42,9,147,3,5,8,159,31,0,188
SAL80042,0,0,0,0,0,0,0,0,0,76,32,5,110,0,0,0,111,13,0,122
SAL80043,0,0,0,0,0,0,0,0,0,71,37,4,109,3,5,11,122,64,0,185
SAL80044,0,0,0,0,0,0,0,0,0,41,11,3,58,0,0,0,65,32,0,94
SAL80045,0,0,0,0,0,0,0,0,0,38,18,0,51,0,0,4,55,21,0,83
SAL80046,0,0,0,0,0,0,0,0,0,44,19,0,66,5,4,7,74,28,0,98
SAL80047,0,0,0,0,0,0,0,0,0,56,28,0,84,7,0,8,92,53,0,153
SAL80048,0,0,0,0,0,0,0,0,0,57,17,8,84,4,3,6,89,53,0,142
SAL80049,0,0,0,0,0,0,0,0,0,136,69,15,216,3,7,8,227,93,0,320
SAL80050,0,0,0,0,0,0,0,0,5,101,45,9,161,0,6,4,164,79,0,244
SAL80051,0,0,0,0,0,0,0,0,0,40,20,5,56,4,0,4,56,23,5,84
SAL80052,0,0,0,0,0,5,0,0,5,55,20,0,82,0,0,0,83,26,0,107
SAL80053,0,0,0,0,0,0,0,0,0,45,20,4,72,3,0,3,78,42,0,124
SAL80054,0,0,0,0,0,0,0,0,5,77,44,0,122,4,9,13,132,93,0,227
SAL80055,0,0,0,0,0,0,0,0,0,52,24,3,83,0,3,10,89,40,0,126
SAL80056,0,0,0,0,0,0,0,4,4,73,23,9,98,3,0,3,99,22,4,127
SAL80057,0,0,0,0,0,0,0,0,0,26,3,0,31,0,0,0,35,13,0,41
SAL80058,0,0,0,0,0,0,0,0,3,111,31,3,144,4,0,7,152,49,0,203
SAL80059,0,0,0,0,0,0,0,0,0,34,18,3,56,3,0,3,62,30,3,90
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80061,0,0,0,0,0,0,0,0,0,60,20,5,80,0,0,0,83,23,0,102
SAL80062,0,0,0,0,0,0,0,3,3,51,22,5,79,0,3,3,83,44,3,129
SAL80063,0,0,0,0,0,0,0,0,0,53,26,6,84,0,0,0,81,56,0,136
SAL80064,0,0,0,0,0,0,0,0,0,194,76,21,288,5,5,11,303,100,0,398
SAL80065,0,0,0,0,0,0,0,0,0,47,30,7,77,0,5,5,83,54,0,138
SAL80066,0,0,0,0,0,0,0,0,0,116,31,11,160,6,3,8,170,48,0,214
SAL80067,0,0,0,0,0,0,0,0,0,95,24,0,118,5,3,5,123,28,0,152
SAL80068,0,0,0,0,0,0,0,0,4,142,49,9,197,3,4,11,204,80,0,280
SAL80069,0,0,0,0,0,0,0,0,0,37,26,0,70,0,0,3,69,39,0,114
SAL80070,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,8,0,0,11
SAL80071,0,0,0,0,0,0,0,0,4,143,51,10,209,0,4,3,210,42,0,256
