SAL_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SAL80102,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,10,13,8,7,8,0,0,0,44,0,4,0,0,3,0,0,0,0,8,13,16,25,24,25,14,4,0,0,117,0,3,0,0,4,0,0,0,0,12,23,25,19,6,8,4,0,0,0,80,28,44,36,9,8,0,5,0,0,130,0,5,11,5,9,3,0,0,0,39,0,9,6,9,16,4,0,0,0,44,0,0,7,3,10,6,0,0,0,24,0,3,3,0,6,4,0,0,0,23,0,51,53,49,68,49,14,3,0,294,0,9,5,9,7,0,0,0,0,34,0,40,114,99,145,65,14,0,0,484,6,31,47,39,36,30,13,3,0,197,3,14,13,12,9,9,13,0,0,75,5,4,0,4,6,5,3,0,0,29,0,7,6,0,8,6,4,0,0,27,11,5,6,4,3,6,0,0,0,31
SAL80103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,5,3,4,4,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,4,4,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,7,0,0,0,0,3,4,3,0,0,13,0,3,5,5,11,10,0,0,0,31,0,4,0,0,0,4,0,0,0,12,0,7,10,8,17,11,3,0,0,62,0,3,0,0,0,0,3,0,0,3,0,0,0,8,13,17,7,0,0,51,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
SAL80104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SAL80105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,10,18,10,9,6,3,0,0,65,0,0,0,0,0,0,0,0,0,4,9,3,3,4,0,0,0,0,0,28,4,3,5,3,0,3,0,0,0,22,0,0,4,0,4,6,0,0,0,22,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,3,0,0,12,0,6,6,10,12,9,4,0,0,34,0,0,0,3,3,0,0,0,0,11,0,4,14,34,33,27,7,0,0,115,4,0,5,8,8,4,0,0,0,23,0,4,10,8,10,7,0,0,0,25,0,0,0,0,3,0,0,0,0,5,0,3,7,3,0,0,0,0,0,16,0,0,0,0,6,3,0,0,0,14
SAL80106,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,4,0,0,22,0,0,0,3,0,0,0,0,0,4,3,9,28,15,14,10,0,0,0,75,0,0,0,0,5,3,0,0,0,13,4,4,19,10,9,5,0,0,0,49,12,10,26,12,4,0,0,0,0,58,0,3,4,3,10,0,0,0,0,33,0,0,4,0,4,4,0,0,0,15,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,4,32,27,18,6,0,0,0,83,0,0,9,3,0,4,0,0,0,25,0,9,45,68,35,14,0,0,0,169,0,4,14,16,7,7,0,0,0,48,0,3,11,9,7,11,0,0,0,44,5,0,5,0,0,0,0,0,0,15,3,0,4,6,0,5,0,0,0,27,0,5,3,4,3,6,0,0,0,24
SAL80107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,11,8,6,8,0,0,0,38,0,0,4,0,3,0,0,0,0,14,3,22,67,51,29,21,9,3,0,199,0,0,0,5,5,0,0,0,0,16,9,29,28,23,9,12,3,3,0,110,26,21,31,11,12,6,5,0,0,102,0,22,11,5,24,13,4,3,0,75,0,4,3,12,9,3,0,0,0,36,0,0,9,8,6,8,0,0,0,18,0,0,4,3,0,0,0,0,0,18,0,11,30,55,42,26,7,0,0,174,0,10,7,15,8,10,3,0,0,50,0,18,73,115,111,78,6,0,0,403,4,4,25,32,17,13,3,0,0,93,3,6,19,19,17,15,4,0,0,70,4,3,4,5,9,0,0,0,0,20,0,5,9,15,9,0,3,0,0,43,0,6,13,11,6,9,0,0,0,46
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,0,0,0,16,0,0,3,0,0,0,0,0,0,3,8,11,10,21,16,12,0,0,0,79,0,0,0,0,3,0,0,0,0,6,5,9,3,5,0,0,0,0,0,29,27,10,16,0,4,0,0,0,0,56,0,0,4,0,0,0,0,0,0,21,0,3,3,0,5,0,0,0,0,11,0,0,0,0,4,5,3,0,0,13,0,0,6,3,3,5,0,4,0,20,5,9,16,22,24,18,9,0,0,103,0,0,5,9,4,3,0,0,0,21,0,0,25,38,63,49,11,0,0,179,0,5,3,5,12,11,4,0,0,40,0,7,15,11,10,8,3,0,0,66,5,5,0,0,4,0,4,0,0,15,0,4,7,0,4,3,0,0,0,14,0,0,0,3,0,0,0,0,0,6
SAL80110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,16,13,8,4,0,0,0,43,0,3,7,0,0,4,0,0,0,17,4,25,41,28,3,9,0,0,0,111,0,3,8,9,4,0,0,0,0,16,3,25,78,22,8,0,6,0,0,142,11,17,78,21,10,4,0,0,0,146,0,0,18,11,4,7,5,0,0,42,0,0,10,5,8,6,0,0,0,31,0,0,6,3,0,4,0,0,0,15,0,6,9,8,4,0,0,0,0,23,0,20,79,40,20,13,0,0,0,168,0,5,20,20,9,3,0,0,0,47,0,38,193,135,57,39,7,0,0,473,0,6,36,13,13,5,0,0,0,69,0,7,140,79,36,14,4,0,0,276,0,0,10,7,0,0,0,0,0,16,4,5,16,9,4,0,0,0,0,38,0,4,21,10,4,6,0,0,0,40
SAL80111,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
