SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL80001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,4,6,0,0,0,23
SAL80002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,3,0,0,0,23
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,12
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,4,11,0,0,0,0,36
SAL80009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,5,0,0,0,15
SAL80010,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,16,37,32,5,9,0,0,0,0,107
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,11
SAL80012,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,17,5,10,11,6,0,0,53
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,18,4,4,3,0,0,43
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,6,10,10,0,0,37
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,29,16,0,0,0,0,0,0,0,48,6,8,0,0,0,0,0,0,0,15,669,547,114,17,3,0,0,0,0,1361
SAL80018,7,12,8,10,16,0,4,0,0,68,3,9,9,5,4,5,0,0,0,26,165,301,509,581,621,380,109,9,0,2674
SAL80019,13,7,24,15,26,11,5,0,0,107,8,3,14,9,4,3,0,0,0,45,245,300,647,832,933,374,64,3,0,3401
SAL80020,3,3,9,12,3,0,0,3,0,27,0,0,4,0,3,0,5,0,0,17,71,114,227,309,305,215,45,10,6,1307
SAL80021,12,11,33,17,24,10,0,0,0,105,4,5,24,19,21,9,0,0,4,73,194,296,631,692,687,414,64,11,4,2986
SAL80022,0,6,0,5,6,5,0,0,0,20,3,0,3,4,6,0,0,0,0,19,24,100,430,238,208,160,71,5,0,1239
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL80024,0,22,50,27,14,0,3,0,0,125,6,14,62,18,8,9,0,0,0,122,123,922,2573,979,429,248,72,10,0,5364
SAL80025,4,15,35,37,25,4,3,0,0,131,7,3,40,44,12,0,0,0,0,114,208,332,926,1386,775,241,50,6,0,3923
SAL80026,5,12,17,12,16,8,0,0,0,65,0,13,7,11,3,0,5,0,0,40,119,184,423,470,458,323,86,3,0,2076
SAL80027,3,17,38,21,8,9,7,0,0,97,0,11,38,9,3,3,0,0,0,67,44,847,2205,897,395,260,62,6,0,4717
SAL80028,11,33,29,15,10,12,0,0,0,111,3,15,43,13,12,7,0,0,0,99,315,1006,1638,847,497,288,92,16,0,4694
SAL80029,3,15,22,15,18,18,5,0,0,100,0,7,19,4,8,9,3,0,0,52,178,293,728,639,662,549,115,6,0,3172
SAL80030,6,21,12,14,6,6,5,0,0,64,0,9,10,12,8,0,0,0,0,45,509,1118,867,572,560,371,111,13,0,4127
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,20,17,11,0,0,0,63
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,3,13,30,32,21,3,3,0,0,107,7,3,30,24,15,12,0,0,0,89,169,270,1030,1318,638,279,57,3,0,3772
SAL80034,3,4,0,7,14,4,6,4,0,40,0,5,3,3,6,7,0,0,0,19,110,101,134,310,396,250,82,13,0,1393
SAL80035,0,7,21,7,14,11,0,0,0,66,0,3,19,14,9,0,4,0,0,51,60,120,399,411,308,153,48,6,0,1514
SAL80036,3,3,10,5,11,3,6,0,0,43,0,4,11,9,4,0,0,0,0,39,71,140,446,368,277,165,39,6,0,1504
SAL80037,7,9,26,24,20,10,9,0,0,107,5,7,19,9,15,8,5,0,0,54,150,234,602,610,531,500,125,8,0,2753
SAL80038,4,13,16,9,7,5,0,0,0,57,3,14,34,6,4,0,0,0,0,62,274,565,1127,432,280,185,54,6,0,2925
SAL80039,6,9,18,15,15,21,0,0,0,85,0,0,9,11,7,9,0,0,0,42,213,282,527,590,725,480,72,0,0,2887
SAL80040,3,4,10,11,6,8,0,4,0,41,0,0,4,4,9,6,3,0,0,23,66,104,302,390,398,197,52,22,0,1530
SAL80041,0,3,23,27,3,3,0,0,0,67,4,10,18,16,8,5,0,0,0,57,104,269,1087,915,388,128,26,0,0,2913
SAL80042,0,11,18,23,10,3,0,0,0,72,5,3,13,23,10,0,0,0,0,46,94,195,721,974,497,194,22,6,0,2707
SAL80043,10,0,10,17,17,8,3,0,0,62,6,12,19,6,9,7,4,0,0,54,154,231,515,704,664,449,108,9,0,2839
SAL80044,0,3,9,0,7,9,9,0,0,41,0,5,8,6,3,5,0,0,0,27,92,126,217,340,375,254,93,28,8,1542
SAL80045,0,3,9,3,3,0,0,0,0,23,0,0,11,13,4,0,0,0,0,22,44,126,581,592,209,90,13,0,0,1646
SAL80046,4,12,14,5,7,4,0,0,0,48,0,6,8,8,3,6,0,0,0,33,49,399,816,427,284,151,20,4,0,2142
SAL80047,8,6,12,9,12,3,4,0,0,57,0,0,15,17,8,8,0,0,0,39,91,301,621,649,449,208,54,8,0,2387
SAL80048,7,7,3,14,10,13,0,0,0,50,0,7,0,3,3,6,0,0,0,28,121,153,323,407,437,235,55,9,5,1745
SAL80049,14,22,40,48,34,12,0,0,0,173,0,9,7,20,13,11,5,0,0,69,251,320,719,1092,984,504,87,6,0,3958
SAL80050,6,13,18,20,24,8,7,0,0,90,4,5,20,10,14,4,4,0,0,67,184,253,664,708,656,361,128,8,0,2960
SAL80051,0,0,5,11,10,7,0,0,0,36,0,3,5,7,5,0,6,0,0,18,100,118,204,389,369,298,100,11,0,1602
SAL80052,4,5,10,7,11,7,5,0,0,45,3,3,7,3,5,3,0,0,0,31,114,162,308,397,440,290,64,11,5,1801
SAL80053,0,8,4,12,11,9,0,0,0,51,0,0,3,6,5,3,0,0,0,26,96,90,324,410,397,186,60,13,0,1573
SAL80054,3,12,16,16,17,6,0,0,0,78,0,0,15,14,8,9,7,0,0,55,112,258,557,559,440,405,80,10,0,2407
SAL80055,4,9,10,14,19,10,0,0,0,71,0,3,7,8,4,3,0,0,0,29,119,163,413,462,419,257,64,6,0,1888
SAL80056,12,6,5,12,12,8,3,0,0,58,0,0,17,18,10,4,0,0,0,43,177,177,395,816,693,229,36,3,0,2524
SAL80057,3,0,0,5,3,4,9,0,0,24,0,0,0,0,4,3,0,0,0,14,35,70,252,173,243,192,82,17,4,1074
SAL80058,6,9,37,20,19,5,6,0,0,109,6,18,56,46,11,11,0,0,0,140,150,480,1605,1271,730,277,32,4,0,4554
SAL80059,4,5,9,4,8,7,0,0,0,31,0,0,3,7,3,4,0,0,0,17,75,87,157,258,258,152,61,8,0,1047
SAL80060,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,3,0,0,22
SAL80061,5,3,11,6,9,7,0,0,0,42,0,0,8,16,4,5,0,3,0,35,83,131,279,500,410,249,88,12,5,1757
SAL80062,9,12,8,24,11,9,0,0,0,67,0,5,6,0,4,0,0,0,0,27,85,121,313,345,292,234,52,0,0,1455
SAL80063,3,6,13,12,15,0,3,0,0,51,4,7,16,9,8,3,0,0,0,42,78,106,397,478,325,211,75,3,0,1678
SAL80064,17,25,38,18,29,32,8,0,0,174,3,8,29,11,14,12,4,0,0,79,251,439,937,872,970,718,140,13,0,4340
