SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL80065,6,10,13,19,14,9,8,0,0,81,0,5,5,6,0,3,4,0,0,23,95,143,356,387,303,234,71,10,0,1603
SAL80066,0,12,34,15,13,8,3,0,0,87,0,6,20,17,0,0,0,0,0,46,49,291,906,500,343,271,76,6,0,2441
SAL80067,4,9,11,14,18,5,4,0,0,70,4,4,13,12,11,6,6,0,0,47,145,273,965,631,606,421,140,25,3,3212
SAL80068,12,17,59,27,32,13,0,0,0,164,4,25,61,35,14,6,7,0,0,155,193,631,1945,1156,820,408,72,6,0,5226
SAL80069,8,4,6,9,7,6,0,0,0,35,0,4,4,4,3,5,0,0,0,21,93,116,264,418,447,227,46,4,0,1627
SAL80070,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,4,13,10,12,20,47,29,12,4,0,147
SAL80071,0,23,44,33,22,10,3,0,0,130,5,15,60,32,24,8,0,0,0,147,205,490,1445,1422,947,318,36,3,0,4878
SAL80072,5,6,9,6,5,9,3,0,0,34,0,7,8,8,4,4,0,0,0,31,102,136,304,302,352,205,64,19,0,1493
SAL80073,4,4,12,19,9,7,3,0,0,58,0,5,7,9,5,5,3,0,0,31,90,116,421,411,363,212,45,4,0,1668
SAL80074,3,3,10,7,8,11,4,0,0,46,4,0,7,11,6,4,0,6,0,30,77,102,288,383,351,183,52,6,0,1446
SAL80075,9,15,33,24,22,5,3,0,0,99,5,5,32,16,9,3,4,0,0,71,137,243,849,757,548,273,76,4,0,2879
SAL80076,3,6,5,10,12,8,0,0,0,44,0,4,6,5,3,3,0,0,0,19,94,139,271,368,366,243,62,6,0,1542
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,10
SAL80078,0,0,7,9,3,9,0,0,0,21,0,3,5,0,0,4,0,0,0,13,59,84,180,240,244,233,64,7,0,1122
SAL80079,8,11,23,21,14,17,4,0,0,97,0,11,18,8,5,4,0,0,0,49,111,203,595,533,419,354,56,9,0,2276
SAL80080,0,0,6,3,0,0,0,0,0,11,0,0,4,4,0,0,0,0,0,14,18,27,108,142,63,14,3,0,0,381
SAL80081,8,15,21,27,22,15,8,0,0,113,0,3,32,19,23,10,5,0,0,92,193,335,835,981,750,503,169,18,0,3782
SAL80082,17,32,61,61,51,23,14,3,0,260,8,21,44,51,14,11,3,0,0,155,462,682,1528,1803,1735,1109,332,36,0,7685
SAL80083,5,8,35,23,16,11,4,0,0,106,0,6,24,21,6,9,4,0,0,72,66,374,1740,1025,600,452,142,19,3,4425
SAL80084,4,7,18,20,5,9,4,0,0,62,0,4,5,3,9,0,5,0,0,30,103,142,419,493,433,234,66,6,0,1900
SAL80085,0,19,23,3,0,0,0,0,0,52,0,18,28,8,4,4,0,0,0,54,47,380,866,373,147,61,6,0,0,1877
SAL80086,11,17,18,10,7,8,3,0,0,75,5,10,28,15,6,0,0,0,0,66,89,489,1158,693,505,308,98,6,0,3348
SAL80087,5,6,7,9,9,5,0,0,0,43,0,9,11,13,7,0,0,0,0,39,69,159,531,411,343,175,39,6,0,1742
SAL80088,5,0,7,10,6,0,0,0,0,21,0,0,0,4,3,5,0,0,0,13,35,58,138,170,174,134,41,5,0,745
SAL80089,3,8,44,39,25,12,4,0,0,137,3,11,29,29,11,3,0,0,0,82,148,268,978,1213,708,365,88,6,0,3776
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,0,3,8,9,10,3,0,0,0,37,0,3,10,8,0,6,0,0,0,28,71,176,418,390,287,164,47,6,0,1555
SAL80092,0,0,13,10,12,9,3,0,0,48,0,0,13,8,0,3,0,0,0,27,77,142,490,433,348,236,71,6,0,1805
SAL80093,4,11,12,8,6,10,7,0,0,55,0,0,7,4,6,4,0,0,0,21,64,126,267,277,304,239,77,9,0,1362
SAL80094,4,3,9,12,18,8,8,0,0,61,4,8,7,4,3,4,0,0,0,32,87,150,302,433,384,205,72,8,0,1649
SAL80095,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,4,8,26,5,23,14,5,4,0,90,3,3,11,18,4,6,0,0,0,50,133,214,541,619,549,496,115,15,0,2683
SAL80098,0,8,32,23,9,9,0,0,0,82,0,5,18,25,8,0,0,0,0,59,102,212,932,1051,396,109,25,0,0,2826
SAL80099,3,15,13,17,14,13,0,0,0,78,0,3,23,21,18,12,0,0,0,75,151,256,684,782,735,476,119,13,0,3214
SAL80100,7,20,56,49,32,27,5,0,0,198,8,24,40,23,17,5,6,0,0,113,295,527,1669,1602,1147,612,147,14,0,6017
SAL80101,10,13,13,20,32,29,4,0,0,121,4,5,10,7,16,0,4,0,0,51,269,416,507,652,1024,682,177,10,0,3731
SAL80102,0,17,9,9,15,10,6,0,0,67,10,5,17,8,9,6,0,0,0,53,156,589,761,597,726,424,104,15,0,3382
SAL80103,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,5,0,0,0,4,29,42,52,59,129,108,50,14,0,480
SAL80104,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,46,39,28,18,3,0,0,147
SAL80105,0,3,5,3,0,5,3,0,0,17,0,0,0,0,6,5,0,0,0,12,33,73,161,179,171,168,38,4,0,830
SAL80106,3,4,9,15,4,11,3,0,0,45,0,5,8,4,3,6,3,0,0,30,57,129,423,334,265,137,39,3,0,1392
SAL80107,0,18,23,15,20,7,0,0,0,86,0,10,18,20,8,8,0,0,0,67,125,294,687,729,626,424,95,14,0,3000
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,3,7,4,5,6,7,0,0,0,35,0,3,0,5,5,3,0,0,0,19,79,131,231,286,348,234,66,8,0,1384
SAL80110,4,15,38,11,7,10,0,0,0,84,0,11,37,10,4,6,0,0,0,69,47,386,1649,775,389,241,54,5,0,3548
SAL80111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,11,6,11,22,16,0,3,0,81
SAL80112,3,0,3,8,7,7,0,0,0,35,7,0,4,7,10,10,0,0,0,32,119,148,205,315,410,310,91,27,10,1629
SAL80113,0,6,4,0,5,5,0,0,0,20,0,0,8,0,0,0,6,0,0,14,26,145,252,125,122,147,51,0,0,880
SAL80114,0,3,10,14,15,8,4,0,0,57,0,3,14,6,7,3,0,0,0,44,86,144,387,340,333,236,58,3,0,1591
SAL80115,0,4,6,12,11,6,0,0,0,46,0,0,3,4,9,4,0,0,0,20,83,113,367,423,358,216,58,12,0,1618
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,9,19,6,8,3,0,0,0,48,0,4,8,3,6,0,0,0,0,28,75,136,406,429,310,134,38,12,0,1533
SAL80118,6,5,7,11,9,0,0,0,0,48,0,0,8,6,4,0,0,0,0,25,97,103,245,359,285,146,67,5,0,1304
SAL80119,0,4,0,7,7,3,0,0,0,23,0,0,5,0,4,4,0,0,0,7,66,78,166,211,239,135,40,7,0,946
SAL80120,0,0,6,4,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,9,14,39,182,141,43,21,6,0,0,437
SAL80121,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,10,12,31,24,43,53,22,6,0,193
SAL80122,0,0,16,13,6,4,0,0,0,31,0,7,25,11,0,0,0,0,0,44,35,93,449,414,123,36,5,0,0,1156
SAL80123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18,4,9,9,3,0,0,46
SAL80124,9,12,17,23,15,13,0,0,0,89,4,4,9,10,10,7,5,0,0,48,152,200,479,437,466,383,73,4,0,2191
SAL80125,0,3,15,4,3,0,0,0,0,30,0,0,22,17,6,0,0,0,0,50,36,81,429,515,205,47,12,0,0,1321
SAL80126,3,0,11,11,11,5,0,0,0,40,3,0,5,6,4,0,0,0,0,21,63,116,210,310,317,161,37,5,0,1227
SAL80127,4,16,15,10,3,5,0,0,0,48,5,10,17,0,7,0,4,0,0,37,64,591,1240,559,334,192,56,6,0,3040
SAL80128,0,0,3,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,16,11,31,63,47,17,0,0,0,186
SAL80129,3,12,35,26,12,17,5,0,0,114,0,9,12,20,14,8,0,0,0,63,201,305,859,978,821,569,192,12,0,3937
SAL80130,6,8,9,8,7,8,0,0,0,49,0,0,9,6,6,3,0,0,0,29,68,111,292,366,308,160,49,16,0,1365
SAL80131,7,12,27,27,20,8,3,0,0,104,5,8,29,9,15,0,0,0,0,65,150,364,1103,1106,751,379,75,7,4,3940
SAL80132,0,5,13,6,0,0,0,0,0,28,0,0,7,3,0,6,0,0,0,19,119,130,248,318,352,192,51,7,3,1427
SAL80133,3,3,3,6,10,9,3,0,0,41,0,0,11,13,5,5,3,5,0,43,89,149,363,496,478,229,81,16,5,1903
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,0,7,20,7,7,5,0,0,0,48,0,7,15,17,10,3,0,0,0,46,63,234,871,721,337,161,28,0,0,2424
SAL80136,4,0,4,9,9,8,5,0,0,36,0,4,4,3,7,5,3,0,6,33,78,110,171,299,346,326,129,21,6,1483
SAL89494,0,0,3,3,4,0,0,0,0,11,0,0,3,0,0,0,0,0,0,6,22,36,59,38,32,23,3,0,0,216
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
