SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL80033,30,38,17,13,41,7,0,3,0,160,74,61,29,63,68,12,16,12,9,341,82,72,181,78,103,25,21,28,6,586,0,3,0,5,10,0,0,4,5,27,4,0,4,8,17,4,4,0,4,47,3,5,4,6,7,0,0,0,0,32,0,7,0,0,8,5,0,0,9,40,534,946,309,313,478,101,70,79,69,2897
SAL80034,15,12,0,6,16,0,3,0,0,55,16,24,4,10,17,3,0,5,3,81,16,15,49,13,12,11,5,6,5,129,0,5,3,0,0,0,0,0,0,12,4,4,0,0,5,3,0,5,0,23,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,0,13,287,480,66,69,120,28,13,18,19,1097
SAL80035,7,15,4,11,11,4,0,0,0,58,26,25,19,38,22,0,5,3,0,142,34,23,128,49,54,9,13,19,5,353,0,0,3,5,5,3,3,3,0,30,0,0,4,6,3,6,4,4,0,22,4,0,4,0,0,0,0,0,0,7,3,0,0,5,3,0,0,3,6,23,141,260,174,159,165,43,40,42,24,1046
SAL80036,7,16,3,10,0,0,0,0,3,50,30,20,13,20,18,4,0,11,0,116,14,17,40,16,17,9,10,8,7,130,0,5,0,5,3,3,0,0,0,14,5,0,0,0,3,3,0,3,0,19,0,5,0,0,0,3,0,0,0,12,5,6,0,0,0,0,0,0,8,25,245,464,101,114,125,50,21,82,23,1227
SAL80037,21,19,3,13,33,6,6,5,4,113,38,47,20,48,58,14,6,9,5,230,54,53,231,72,100,32,35,40,20,630,3,0,3,3,9,6,0,0,0,33,7,7,6,3,20,4,7,3,5,60,3,6,3,0,5,3,0,0,0,20,4,4,3,0,7,0,0,4,6,27,314,505,301,196,302,79,56,71,50,1874
SAL80038,15,14,0,8,0,0,0,0,0,52,17,25,12,18,10,10,0,4,4,100,24,29,34,18,23,9,0,4,0,148,0,0,0,3,0,3,5,0,0,18,8,6,0,0,3,0,0,0,0,21,5,8,0,0,0,5,0,0,0,20,4,8,0,5,3,3,0,0,7,32,453,1089,101,164,256,86,12,40,55,2245
SAL80039,27,25,14,20,30,11,0,0,0,115,59,48,21,33,67,6,3,3,7,246,68,31,192,71,113,26,27,30,9,578,0,8,6,0,14,0,0,4,0,37,8,8,3,3,19,4,0,5,0,50,3,4,0,0,0,0,0,0,0,13,5,9,3,4,6,5,4,3,3,43,343,523,265,202,365,64,44,52,39,1894
SAL80040,6,13,3,6,4,0,0,0,4,49,17,19,6,11,16,0,0,8,0,74,9,15,43,25,22,10,0,10,4,133,0,0,0,4,6,3,0,0,0,15,7,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,8,0,3,0,0,4,0,0,0,6,15,302,573,78,95,148,25,14,39,28,1301
SAL80041,20,21,10,15,14,5,7,3,0,91,37,36,26,44,34,8,3,5,6,196,26,28,78,38,47,11,8,13,5,251,0,0,0,4,0,7,0,0,0,13,4,9,0,3,4,0,0,5,0,22,0,5,3,0,4,0,0,0,0,20,7,7,0,10,4,4,0,7,0,32,407,1010,185,249,304,94,38,71,52,2410
SAL80042,21,27,7,19,25,0,0,4,0,97,47,32,26,44,46,5,0,6,3,209,38,31,77,45,48,12,10,16,6,283,4,6,6,5,3,0,0,5,0,32,11,4,3,0,8,3,0,6,0,33,3,6,3,0,0,0,0,0,0,14,4,5,7,0,7,3,0,0,5,28,499,823,172,225,322,61,30,46,41,2225
SAL80043,27,22,11,12,12,4,0,0,0,90,26,26,10,15,24,8,5,6,4,119,30,19,67,38,35,10,5,11,3,210,0,0,9,4,0,7,0,4,0,21,5,10,0,3,6,0,0,0,0,20,5,6,5,6,0,0,0,0,0,11,0,8,0,4,5,5,0,0,3,23,579,1024,149,145,251,50,31,63,45,2327
SAL80044,15,20,3,6,7,0,0,3,0,59,21,10,5,12,11,3,0,0,0,64,15,6,22,15,10,5,0,0,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,3,6,315,645,45,72,146,30,3,15,15,1293
SAL80045,13,18,0,4,8,4,0,0,0,46,26,22,10,11,12,9,0,4,0,95,27,13,45,18,17,9,8,8,0,142,0,0,0,3,0,0,0,0,0,7,4,0,0,0,3,4,0,0,0,17,0,4,0,0,0,0,0,0,0,13,0,8,3,0,0,0,0,0,3,18,278,675,97,91,151,49,20,22,27,1406
SAL80046,13,11,3,4,4,3,0,0,0,50,19,21,14,18,15,0,0,4,5,85,12,19,36,30,18,8,0,3,4,128,0,0,0,0,0,0,0,0,0,7,3,3,0,3,0,5,0,0,0,17,0,0,0,0,3,0,0,0,0,9,4,6,0,3,0,0,0,0,6,15,357,797,101,128,210,45,13,54,33,1739
SAL80047,15,12,5,13,10,0,0,3,0,54,18,11,17,19,25,3,3,8,5,107,23,15,70,35,26,11,3,17,9,210,3,5,0,3,4,4,0,0,0,24,0,4,0,4,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,6,4,4,0,6,3,3,0,0,3,24,427,732,158,154,221,57,25,93,35,1909
